# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271243
# UID: cc791291-d65c-4de8-9a5b-5c7b15460812
# Comment: 
# Start time: 10/18/2023  22:24:18
# Stop time: 10/18/2023  22:24:50
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.554210 4.200591e-01 -1.438400e-03 8.407967e-04 2.456997e-02 1.651106e-05 -1.591079e-05 4.815132e-06 3.883762e-05
11385.554210 8.256148e-01 -2.843885e-03 1.713324e-03 4.834243e-02 3.259560e-05 -3.292941e-05 2.037299e-05 8.107248e-05
11390.554210 8.316262e-01 -2.868020e-03 1.708524e-03 4.904856e-02 3.110402e-05 -2.130088e-05 1.733558e-05 8.452082e-05
11395.554210 8.389644e-01 -2.873153e-03 1.739190e-03 4.974866e-02 4.257264e-05 -1.913208e-05 1.525906e-05 7.770311e-05
11400.554210 8.370843e-01 -2.876323e-03 1.726999e-03 5.006184e-02 4.854521e-05 -1.899862e-05 1.865013e-05 6.158382e-05
11405.554210 8.356406e-01 -2.863279e-03 1.739114e-03 4.998935e-02 5.642773e-05 -2.171071e-05 1.996074e-05 5.923544e-05
11410.554210 8.327921e-01 -2.862990e-03 1.709799e-03 4.952093e-02 5.412590e-05 -1.899978e-05 2.069332e-05 5.715808e-05
11415.554210 8.247053e-01 -2.860877e-03 1.740416e-03 4.877560e-02 4.224816e-05 -1.349368e-05 2.247971e-05 5.837336e-05
11420.554210 8.245125e-01 -2.887708e-03 1.710730e-03 4.890966e-02 2.817471e-05 -1.864774e-05 1.877861e-05 5.603582e-05
11425.554210 8.318647e-01 -2.869851e-03 1.729266e-03 4.945857e-02 3.120350e-05 -2.000571e-05 1.834104e-05 5.716739e-05
11430.554210 8.329090e-01 -2.862963e-03 1.734525e-03 4.958066e-02 4.772977e-05 -1.908793e-05 2.330621e-05 6.105322e-05
11435.554210 8.311096e-01 -2.861141e-03 1.741678e-03 4.939781e-02 4.567245e-05 -1.876627e-05 1.917965e-05 5.963949e-05
11440.554210 8.298722e-01 -2.855032e-03 1.714163e-03 4.956280e-02 4.296866e-05 -2.298108e-05 1.339307e-05 6.612075e-05
11445.554210 8.291034e-01 -2.851008e-03 1.701959e-03 4.955949e-02 4.511081e-05 -2.875736e-05 1.205319e-05 6.946824e-05
11450.554210 8.281968e-01 -2.858191e-03 1.669207e-03 4.990245e-02 4.978151e-05 -3.328213e-05 1.077256e-05 6.856003e-05
11455.554210 8.266419e-01 -2.853044e-03 1.671299e-03 5.045787e-02 3.817444e-05 -4.092940e-05 7.075267e-06 6.814258e-05
11460.554210 8.260322e-01 -2.852680e-03 1.701190e-03 5.059441e-02 3.194779e-05 -3.088846e-05 7.945356e-06 5.869947e-05
11465.554210 8.249220e-01 -2.875549e-03 1.740530e-03 5.014965e-02 3.045746e-05 -2.846859e-05 4.380236e-06 6.097423e-05
11470.554210 8.239035e-01 -2.885595e-03 1.722770e-03 5.019826e-02 2.625264e-05 -3.999536e-05 6.399829e-06 7.094988e-05
11475.554210 8.228883e-01 -2.872806e-03 1.732359e-03 5.014763e-02 2.502166e-05 -4.935097e-05 1.138276e-05 6.385528e-05
11480.554210 8.226634e-01 -2.868337e-03 1.733738e-03 5.030111e-02 2.016002e-05 -4.204486e-05 1.681639e-05 5.657748e-05
11485.554210 8.211555e-01 -2.868602e-03 1.734099e-03 5.065818e-02 2.242713e-05 -4.206423e-05 1.542633e-05 4.282441e-05
11490.554210 8.204335e-01 -2.874405e-03 1.720268e-03 5.132092e-02 3.224105e-05 -4.174136e-05 2.348704e-05 6.185268e-05
11495.554210 8.193092e-01 -2.869475e-03 1.729083e-03 5.090437e-02 3.306736e-05 -3.138937e-05 2.460225e-05 6.870317e-05
11500.554210 8.185635e-01 -2.873463e-03 1.707111e-03 5.071636e-02 2.877506e-05 -2.959976e-05 2.853441e-05 7.077975e-05
11505.554210 8.174083e-01 -2.874859e-03 1.737985e-03 5.072888e-02 3.448590e-05 -3.107497e-05 3.207982e-05 5.679601e-05
11510.554210 8.161987e-01 -2.885635e-03 1.750984e-03 5.083127e-02 3.775436e-05 -3.259885e-05 2.711798e-05 5.921658e-05
11515.554210 8.153014e-01 -2.873182e-03 1.775919e-03 5.113531e-02 3.978417e-05 -2.721361e-05 2.188909e-05 6.458064e-05
11520.554210 8.150323e-01 -2.859985e-03 1.749471e-03 5.160845e-02 3.292184e-05 -2.984246e-05 2.095445e-05 7.616790e-05
11525.554210 8.138871e-01 -2.859640e-03 1.720119e-03 5.178522e-02 2.896143e-05 -2.424762e-05 1.026496e-05 7.161123e-05
11530.554210 8.128414e-01 -2.865765e-03 1.756815e-03 5.228119e-02 4.078029e-05 -2.634605e-05 1.905438e-05 6.424047e-05
11534.000000 8.124995e-01 -2.874571e-03 1.705282e-03 5.245485e-02 4.207546e-05 -2.547101e-05 2.243640e-05 6.674499e-05
11535.000000 8.124915e-01 -2.879611e-03 1.670554e-03 5.236588e-02 4.349465e-05 -2.949808e-05 2.124109e-05 6.620427e-05
11536.000000 8.123750e-01 -2.852833e-03 1.746645e-03 5.247058e-02 4.118934e-05 -2.670430e-05 1.781904e-05 7.663013e-05
11537.000000 8.112337e-01 -2.845746e-03 1.760186e-03 5.264950e-02 3.569938e-05 -2.223479e-05 1.928598e-05 6.973322e-05
11538.000000 8.111877e-01 -2.843201e-03 1.796926e-03 5.363583e-02 3.858948e-05 -8.650377e-06 2.924275e-05 6.606391e-05
11539.000000 8.127263e-01 -2.858335e-03 1.725447e-03 5.297570e-02 3.316093e-05 -2.046769e-05 1.566609e-05 6.791482e-05
11540.000000 8.115354e-01 -2.874625e-03 1.674977e-03 5.272943e-02 3.168903e-05 -2.161188e-05 1.168362e-05 6.653889e-05
11541.000000 8.118334e-01 -2.867519e-03 1.729535e-03 5.229876e-02 3.773689e-05 -3.053215e-05 5.974932e-06 6.122132e-05
11541.200000 8.099525e-01 -2.910019e-03 1.917722e-03 5.260221e-02 4.465540e-05 -3.115730e-05 1.156840e-05 6.080688e-05
11541.400000 8.092865e-01 -2.828991e-03 1.803763e-03 5.419112e-02 4.096009e-05 -2.853699e-05 2.559623e-05 6.941608e-05
11541.600000 8.185348e-01 -2.817828e-03 1.757327e-03 5.546631e-02 4.546283e-05 -4.020418e-05 2.252285e-05 7.583472e-05
11541.800000 8.062601e-01 -2.926036e-03 1.654385e-03 5.258708e-02 6.481726e-05 -3.438466e-05 1.454699e-05 6.541264e-05
11542.000000 8.111769e-01 -2.774899e-03 1.945459e-03 5.176902e-02 5.666203e-05 -3.080746e-05 2.534850e-05 7.333166e-05
11542.200000 8.074510e-01 -2.923191e-03 1.722740e-03 5.079446e-02 6.224319e-05 -2.389414e-05 2.943660e-05 6.793749e-05
11542.400000 8.135114e-01 -2.858120e-03 1.827533e-03 5.478004e-02 5.493319e-05 -2.585850e-05 2.359299e-05 7.946165e-05
11542.600000 8.107328e-01 -2.825574e-03 1.669887e-03 5.517571e-02 5.172760e-05 -3.164574e-05 1.793505e-05 7.508184e-05
