# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271226
# UID: 6b0d8a63-62e4-4e03-baa8-7def74fc754d
# Comment: 
# Start time: 10/18/2023  22:14:02
# Stop time: 10/18/2023  22:14:34
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.558094 4.207542e-01 1.019066e-02 1.553468e-02 2.425431e-02 2.438526e-05 -1.489133e-05 8.137701e-06 4.838710e-05
11385.558094 8.253833e-01 2.018149e-02 3.082653e-02 4.788951e-02 4.304852e-05 -3.248712e-05 1.889305e-05 9.234851e-05
11390.558094 8.315617e-01 2.055443e-02 3.143927e-02 4.804517e-02 4.699052e-05 -4.096435e-05 1.071775e-05 1.076894e-04
11395.558094 8.389517e-01 2.095829e-02 3.200810e-02 4.847094e-02 5.020108e-05 -4.620895e-05 1.140029e-05 1.062888e-04
11400.558094 8.370087e-01 2.093458e-02 3.209357e-02 4.826988e-02 4.719916e-05 -3.925285e-05 1.677344e-05 1.036296e-04
11405.558094 8.355580e-01 2.084040e-02 3.205757e-02 4.830199e-02 5.079602e-05 -3.744830e-05 1.447751e-05 1.056110e-04
11410.558094 8.327044e-01 2.080946e-02 3.207054e-02 4.815835e-02 5.742443e-05 -2.751040e-05 1.474539e-05 1.057882e-04
11415.558094 8.247311e-01 2.077873e-02 3.211486e-02 4.795053e-02 4.955582e-05 -3.095602e-05 6.792342e-06 9.870895e-05
11420.558094 8.247396e-01 2.090522e-02 3.234164e-02 4.806345e-02 5.035427e-05 -3.907246e-05 4.448749e-06 1.030833e-04
11425.558094 8.318867e-01 2.098607e-02 3.253169e-02 4.943716e-02 3.821420e-05 -4.445517e-05 6.374462e-06 9.630508e-05
