# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271231
# UID: 1a9a3828-6b6b-4385-9230-8d2d3d7b1779
# Comment: 
# Start time: 10/18/2023  22:16:57
# Stop time: 10/18/2023  22:17:29
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.208048e-01 1.018060e-02 1.553797e-02 2.425325e-02 1.940453e-05 -2.049877e-05 8.010928e-06 3.761384e-05
11385.468179 8.273287e-01 2.022385e-02 3.090135e-02 4.797071e-02 3.291438e-05 -4.146391e-05 1.981933e-05 6.782542e-05
11390.468179 8.328362e-01 2.059530e-02 3.150842e-02 4.816488e-02 4.507631e-05 -3.379733e-05 1.490669e-05 6.847960e-05
11395.468179 8.405650e-01 2.099807e-02 3.208756e-02 4.849691e-02 4.796571e-05 -3.344730e-05 1.448051e-05 6.498027e-05
11400.468179 8.387575e-01 2.098411e-02 3.212289e-02 4.838341e-02 4.068416e-05 -3.527514e-05 1.429059e-05 6.398230e-05
11405.468179 8.372076e-01 2.090172e-02 3.209021e-02 4.836551e-02 3.351529e-05 -2.927519e-05 1.683663e-05 5.619997e-05
11410.468179 8.346677e-01 2.087578e-02 3.219267e-02 4.847160e-02 2.891637e-05 -3.039526e-05 2.112326e-05 5.589393e-05
11415.468179 8.267093e-01 2.083851e-02 3.218392e-02 4.799905e-02 3.681881e-05 -2.709934e-05 1.989058e-05 6.261600e-05
11420.468179 8.263014e-01 2.094978e-02 3.238090e-02 4.796013e-02 3.076005e-05 -3.067991e-05 1.678377e-05 6.268229e-05
11425.468179 8.330239e-01 2.101215e-02 3.254939e-02 4.935511e-02 3.551796e-05 -2.024927e-05 1.175029e-05 6.142031e-05
11430.468179 8.339547e-01 2.096050e-02 3.254828e-02 4.977608e-02 3.541209e-05 -1.737384e-05 7.164289e-06 6.855418e-05
11435.468179 8.328921e-01 2.099678e-02 3.267620e-02 4.898911e-02 3.210368e-05 -1.611274e-05 1.247114e-06 6.636268e-05
11440.468179 8.312519e-01 2.150545e-02 3.337880e-02 4.893582e-02 4.073565e-05 -1.884332e-05 -4.159489e-06 6.658659e-05
11445.468179 8.306097e-01 2.169682e-02 3.372231e-02 4.918839e-02 3.647706e-05 -3.211777e-05 -3.797756e-06 6.895749e-05
11450.468179 8.294295e-01 2.169705e-02 3.383049e-02 4.949707e-02 2.947330e-05 -3.577787e-05 1.323586e-06 6.422101e-05
11455.468179 8.285896e-01 2.205766e-02 3.432767e-02 4.944820e-02 2.871757e-05 -2.974203e-05 -1.201779e-06 6.295820e-05
11460.468179 8.270574e-01 2.202149e-02 3.437118e-02 4.982688e-02 2.992531e-05 -2.543335e-05 -7.741330e-06 5.987657e-05
11465.468179 8.256544e-01 2.237802e-02 3.490038e-02 5.023413e-02 3.152438e-05 -2.758224e-05 -1.212915e-05 6.603933e-05
11470.468179 8.253980e-01 2.291941e-02 3.568545e-02 5.046706e-02 3.623268e-05 -4.365580e-05 -5.137868e-06 6.960967e-05
11475.468179 8.243107e-01 2.319110e-02 3.615849e-02 5.051614e-02 3.323553e-05 -5.172934e-05 -8.575699e-06 5.758245e-05
11480.468179 8.234674e-01 2.338851e-02 3.644141e-02 5.000399e-02 3.757012e-05 -4.350819e-05 -9.383507e-06 5.124499e-05
11485.468179 8.226980e-01 2.346217e-02 3.665100e-02 4.984701e-02 4.001447e-05 -3.532745e-05 -1.138725e-05 5.117788e-05
11490.468179 8.213703e-01 2.356892e-02 3.682100e-02 5.009327e-02 4.237277e-05 -4.744970e-05 -9.135914e-06 5.256305e-05
11495.468179 8.207605e-01 2.370043e-02 3.703760e-02 5.070121e-02 3.932601e-05 -4.981236e-05 4.237001e-06 5.373954e-05
11500.468179 8.195353e-01 2.375933e-02 3.717960e-02 5.100967e-02 3.465596e-05 -5.012598e-05 6.886306e-06 5.279285e-05
