# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271232
# UID: 5e335122-230d-4bac-9d85-fe66f369aa84
# Comment: 
# Start time: 10/18/2023  22:17:32
# Stop time: 10/18/2023  22:18:04
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.597062 4.206749e-01 1.018714e-02 1.556220e-02 2.432872e-02 2.380041e-05 -1.749171e-05 -2.582950e-06 4.171203e-05
11385.597062 8.265108e-01 2.019920e-02 3.091900e-02 4.802439e-02 5.692430e-05 -3.362989e-05 -3.713365e-06 7.923658e-05
11390.597062 8.331079e-01 2.060124e-02 3.150008e-02 4.835121e-02 6.020399e-05 -3.723587e-05 1.180772e-05 8.294237e-05
11395.597062 8.400667e-01 2.101244e-02 3.208668e-02 4.845334e-02 6.044545e-05 -3.686800e-05 3.405541e-06 8.452775e-05
11400.597062 8.383302e-01 2.099952e-02 3.214841e-02 4.836381e-02 4.755212e-05 -3.402519e-05 -7.607443e-08 7.851811e-05
11405.597062 8.364857e-01 2.091607e-02 3.209839e-02 4.822996e-02 4.369888e-05 -3.155204e-05 1.745919e-06 6.942066e-05
11410.597062 8.336112e-01 2.087940e-02 3.209393e-02 4.844045e-02 4.974430e-05 -3.457035e-05 5.649577e-07 6.624733e-05
11415.597062 8.253084e-01 2.084672e-02 3.214101e-02 4.779234e-02 5.200069e-05 -3.093659e-05 8.302822e-07 6.389406e-05
11420.597062 8.257512e-01 2.095552e-02 3.236774e-02 4.819995e-02 5.150501e-05 -3.423624e-05 3.709740e-06 6.728613e-05
11425.597062 8.333963e-01 2.105106e-02 3.262528e-02 4.960392e-02 4.262749e-05 -3.447735e-05 -3.178036e-06 8.167974e-05
11430.597062 8.341744e-01 2.100967e-02 3.260635e-02 5.006934e-02 4.638103e-05 -4.036534e-05 2.686903e-06 7.844896e-05
11435.597062 8.323975e-01 2.104332e-02 3.269886e-02 4.918277e-02 5.311042e-05 -4.455432e-05 7.051469e-06 8.245023e-05
11440.597062 8.307016e-01 2.154022e-02 3.342912e-02 4.921238e-02 5.779446e-05 -3.733205e-05 -1.013124e-06 8.060328e-05
11445.597062 8.298194e-01 2.170598e-02 3.373426e-02 4.934020e-02 6.723648e-05 -2.246889e-05 -1.933980e-06 7.713066e-05
11450.597062 8.291442e-01 2.172261e-02 3.379293e-02 4.937890e-02 6.271892e-05 -2.986986e-05 -6.146814e-07 8.385366e-05
11455.597062 8.283316e-01 2.206210e-02 3.436174e-02 4.960887e-02 6.065633e-05 -3.102974e-05 -1.519975e-05 7.467103e-05
