# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271219
# UID: 15a07171-066a-46c3-bb2a-9fe17dc95d1a
# Comment: 
# Start time: 10/18/2023  22:09:40
# Stop time: 10/18/2023  22:10:12
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.212743e-01 7.229248e-03 1.177585e-02 2.527014e-02 1.254611e-05 -1.474597e-05 1.196252e-06 2.213860e-05
11385.639917 8.276350e-01 1.424065e-02 2.328993e-02 4.976155e-02 2.170041e-05 -2.466666e-05 3.779541e-06 4.703167e-05
11390.639917 8.343483e-01 1.435898e-02 2.353644e-02 5.019022e-02 1.539987e-05 -2.093680e-05 1.736013e-06 5.041133e-05
11395.639917 8.414507e-01 1.469402e-02 2.402182e-02 5.049989e-02 1.924967e-05 -2.484043e-05 -1.906877e-06 4.095351e-05
11400.639917 8.396898e-01 1.489877e-02 2.431762e-02 5.010004e-02 1.523489e-05 -1.664029e-05 -1.283869e-05 3.563494e-05
11405.639917 8.381078e-01 1.502048e-02 2.451084e-02 5.002281e-02 1.827599e-05 -9.497352e-06 -1.615564e-05 3.393921e-05
11410.639917 8.352681e-01 1.525587e-02 2.490698e-02 5.025903e-02 1.730549e-05 -9.956251e-06 -1.544212e-05 3.670256e-05
11415.639917 8.275324e-01 1.511792e-02 2.476959e-02 4.958441e-02 2.612568e-05 -3.931530e-06 -1.437258e-05 2.638114e-05
11420.639917 8.274680e-01 1.515922e-02 2.490137e-02 4.983492e-02 2.946832e-05 -9.885118e-07 -1.665983e-05 3.388553e-05
11425.639917 8.348150e-01 1.554639e-02 2.540765e-02 5.037139e-02 3.473646e-05 -1.028326e-05 -7.991895e-06 3.283869e-05
