# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271220
# UID: b8dc780d-08c0-4cd5-8ad9-3e03c227b87b
# Comment: 
# Start time: 10/18/2023  22:10:15
# Stop time: 10/18/2023  22:10:47
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.202763e-01 7.210121e-03 1.177600e-02 2.515958e-02 1.877514e-05 -1.034566e-05 -3.253961e-06 1.542324e-05
11385.639917 8.262081e-01 1.424006e-02 2.326950e-02 4.965495e-02 4.083981e-05 -1.983926e-05 -5.442287e-06 4.021781e-05
11390.639917 8.331710e-01 1.435256e-02 2.352763e-02 5.003586e-02 5.475822e-05 -1.329867e-05 -8.303566e-07 4.579822e-05
11395.639917 8.398888e-01 1.466390e-02 2.396610e-02 5.018805e-02 5.357807e-05 -2.484431e-05 1.438929e-05 3.948914e-05
11400.639917 8.381416e-01 1.487520e-02 2.427810e-02 5.005441e-02 3.889675e-05 -1.545748e-05 1.060581e-05 3.620571e-05
11405.639917 8.365266e-01 1.498483e-02 2.444113e-02 5.028099e-02 4.157298e-05 -1.981874e-05 3.499640e-06 5.026307e-05
11410.639917 8.337189e-01 1.521103e-02 2.478097e-02 5.009148e-02 4.619305e-05 -2.201937e-05 8.331896e-06 5.393386e-05
11415.639917 8.254584e-01 1.507066e-02 2.469342e-02 4.941778e-02 4.084937e-05 -1.209113e-05 2.157531e-06 4.438351e-05
11420.639917 8.257188e-01 1.513073e-02 2.483230e-02 4.987217e-02 4.276385e-05 -1.045879e-05 1.331051e-05 4.704946e-05
11425.639917 8.329119e-01 1.549242e-02 2.536653e-02 5.018535e-02 4.057879e-05 -4.143787e-06 5.663950e-06 4.712287e-05
11430.639917 8.336272e-01 1.568120e-02 2.569097e-02 5.061021e-02 3.251306e-05 -3.067161e-06 -6.387472e-06 3.668604e-05
11435.639917 8.316193e-01 1.580425e-02 2.590613e-02 5.065929e-02 4.243120e-05 -4.742337e-06 -8.160810e-06 4.202373e-05
11440.639917 8.305988e-01 1.596040e-02 2.616705e-02 5.085354e-02 4.794512e-05 -1.300379e-05 4.817876e-06 4.730487e-05
11445.639917 8.290145e-01 1.611267e-02 2.641045e-02 5.089503e-02 4.979523e-05 -1.610213e-05 4.853532e-06 5.140656e-05
11450.639917 8.287346e-01 1.616063e-02 2.650717e-02 5.101520e-02 5.325734e-05 1.634209e-06 -7.677906e-07 4.265495e-05
11455.639917 8.282009e-01 1.633714e-02 2.682142e-02 5.078876e-02 5.310932e-05 -1.482733e-06 3.447942e-06 5.244995e-05
11460.639917 8.267428e-01 1.645712e-02 2.706602e-02 5.103885e-02 4.346938e-05 -1.005462e-05 1.080162e-05 4.020232e-05
11465.639917 8.255208e-01 1.629134e-02 2.689250e-02 5.130889e-02 4.360275e-05 -1.215921e-05 6.936908e-06 4.824236e-05
11470.639917 8.246379e-01 1.610366e-02 2.668640e-02 5.176154e-02 3.972876e-05 -1.963944e-05 2.181226e-06 3.434268e-05
11475.639917 8.237318e-01 1.625052e-02 2.690925e-02 5.154184e-02 4.245281e-05 -2.091306e-05 -1.752885e-06 4.367146e-05
11480.639917 8.227048e-01 1.662838e-02 2.747560e-02 5.182531e-02 4.124487e-05 -2.457877e-05 -3.027366e-06 4.824602e-05
11485.639917 8.220363e-01 1.689827e-02 2.784865e-02 5.204720e-02 3.915184e-05 -2.363086e-05 -4.725103e-06 5.382567e-05
11490.639917 8.214605e-01 1.704712e-02 2.811458e-02 5.279800e-02 3.221798e-05 -2.138546e-05 -1.695713e-06 5.002552e-05
11495.639917 8.204277e-01 1.722177e-02 2.842007e-02 5.245118e-02 2.909560e-05 -2.142386e-05 1.576608e-06 2.552733e-05
11500.639917 8.189488e-01 1.727570e-02 2.849657e-02 5.162118e-02 2.196112e-05 -2.070728e-05 -3.775711e-06 2.865801e-05
11505.639917 8.181088e-01 1.757677e-02 2.898207e-02 5.185595e-02 2.420759e-05 -3.142079e-05 -3.792099e-06 2.700686e-05
11510.639917 8.168056e-01 1.773293e-02 2.918991e-02 5.217135e-02 2.510097e-05 -2.288210e-05 -5.935320e-06 2.814800e-05
11515.639917 8.156991e-01 1.776080e-02 2.922345e-02 5.226409e-02 2.748088e-05 -1.631973e-05 6.046268e-06 3.738373e-05
11520.639917 8.157131e-01 1.775563e-02 2.917623e-02 5.278081e-02 3.574407e-05 -1.643416e-05 7.779626e-06 3.028270e-05
11525.639917 8.153261e-01 1.790509e-02 2.933826e-02 5.359001e-02 3.874306e-05 -1.980111e-05 1.509686e-05 3.638025e-05
11530.639917 8.140210e-01 1.797173e-02 2.933578e-02 6.122068e-02 4.507657e-05 -1.841825e-05 2.068776e-05 3.027888e-05
11534.000000 8.125276e-01 1.809086e-02 2.939611e-02 7.965898e-02 4.113899e-05 -1.333584e-05 1.498547e-05 1.187822e-05
11535.000000 8.128431e-01 1.811797e-02 2.934156e-02 8.544968e-02 4.800148e-05 -1.570461e-05 9.253735e-06 1.317246e-05
11536.000000 8.122416e-01 1.810427e-02 2.941448e-02 8.703631e-02 4.227945e-05 -7.494801e-06 5.544134e-06 2.040776e-05
11537.000000 8.123326e-01 1.811376e-02 2.937533e-02 8.727485e-02 4.274287e-05 -1.531342e-06 1.233769e-05 3.033861e-05
11538.000000 8.122241e-01 1.807009e-02 2.918391e-02 8.675163e-02 4.321096e-05 -1.232554e-05 3.489000e-06 1.388862e-05
11539.000000 8.116596e-01 1.798003e-02 2.896350e-02 8.390094e-02 4.866286e-05 -1.281468e-05 9.146249e-06 2.853809e-05
11540.000000 8.116491e-01 1.790367e-02 2.876724e-02 7.828951e-02 4.263537e-05 -2.146589e-05 1.624059e-05 2.194380e-05
11541.000000 8.116518e-01 1.781360e-02 2.875560e-02 7.438767e-02 4.590353e-05 -2.000789e-05 -4.227350e-06 1.627216e-05
11541.200000 8.091623e-01 1.767939e-02 2.867635e-02 7.292413e-02 5.594746e-05 -1.696601e-05 -9.350313e-06 1.385089e-05
11541.400000 8.140916e-01 1.794411e-02 2.882658e-02 7.198424e-02 4.266645e-05 -1.277697e-05 1.776238e-06 1.325472e-05
11541.600000 8.098191e-01 1.768059e-02 2.856324e-02 7.289968e-02 5.216153e-05 -9.714315e-06 1.843264e-05 2.466241e-05
11541.800000 8.151651e-01 1.799300e-02 2.892536e-02 7.045373e-02 3.125970e-05 -6.612715e-06 7.353460e-06 2.618230e-05
11542.000000 8.120425e-01 1.788095e-02 2.876240e-02 7.199486e-02 5.133807e-05 -1.575536e-05 1.793069e-06 3.221260e-05
11542.200000 8.085060e-01 1.779993e-02 2.839839e-02 7.143556e-02 3.852122e-05 -2.280538e-05 2.854865e-06 4.589259e-05
11542.400000 8.191831e-01 1.814953e-02 2.902643e-02 7.229166e-02 4.270816e-05 -1.626053e-05 8.966422e-06 3.889667e-05
11542.600000 8.101162e-01 1.785574e-02 2.882236e-02 7.031592e-02 6.241315e-05 -2.613455e-05 -7.413744e-06 3.571287e-05
11542.800000 8.106493e-01 1.805166e-02 2.877755e-02 6.882117e-02 4.712030e-05 -2.550872e-05 1.166619e-05 2.769404e-05
11543.000000 8.168347e-01 1.810311e-02 2.915538e-02 6.966777e-02 6.766919e-05 -1.261502e-05 2.591473e-06 4.168171e-05
11543.200000 8.223393e-01 1.833812e-02 2.949415e-02 6.953347e-02 4.664616e-05 -2.478028e-05 -1.210009e-06 3.800699e-05
11543.400000 8.157014e-01 1.829604e-02 2.937424e-02 6.541183e-02 5.071300e-05 -3.309045e-05 5.437787e-06 4.349456e-05
11543.600000 8.108660e-01 1.811972e-02 2.858352e-02 6.626805e-02 5.003577e-05 -3.872916e-05 -2.759450e-06 2.965133e-05
11543.800000 8.158434e-01 1.838691e-02 2.905816e-02 6.450780e-02 4.627496e-05 -3.767954e-05 1.008701e-05 3.904711e-05
