# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271222
# UID: d6458aaf-0fa2-45b3-a520-942c1606995b
# Comment: 
# Start time: 10/18/2023  22:11:25
# Stop time: 10/18/2023  22:11:57
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.205726e-01 7.208874e-03 1.179308e-02 2.528852e-02 1.438006e-05 -1.018038e-05 -5.252513e-06 1.929159e-05
11385.468179 8.267184e-01 1.422361e-02 2.330090e-02 4.975921e-02 3.474000e-05 -2.209280e-05 -2.181808e-06 4.696865e-05
11390.468179 8.327531e-01 1.433358e-02 2.351227e-02 4.995828e-02 3.356517e-05 -2.538077e-05 1.342613e-06 6.179568e-05
11395.468179 8.400460e-01 1.465142e-02 2.398295e-02 5.025284e-02 3.340337e-05 -2.666300e-05 9.288807e-06 4.940040e-05
11400.468179 8.386081e-01 1.486864e-02 2.435550e-02 4.998443e-02 3.544834e-05 -3.497514e-05 -1.057926e-07 4.735206e-05
11405.468179 8.366856e-01 1.497683e-02 2.454659e-02 5.003069e-02 3.296872e-05 -4.120144e-05 -5.407773e-06 5.511942e-05
11410.468179 8.342792e-01 1.521813e-02 2.490443e-02 4.993279e-02 3.564014e-05 -3.811930e-05 -5.604853e-06 5.991472e-05
11415.468179 8.264526e-01 1.509220e-02 2.477719e-02 4.946986e-02 3.368515e-05 -3.180861e-05 -5.941150e-06 6.320237e-05
11420.468179 8.260932e-01 1.513171e-02 2.488052e-02 4.959464e-02 3.094062e-05 -2.762607e-05 1.323547e-06 5.723553e-05
11425.468179 8.324050e-01 1.547555e-02 2.537569e-02 5.017977e-02 3.648752e-05 -2.632076e-05 2.469906e-06 6.542131e-05
11430.468179 8.338067e-01 1.569123e-02 2.575802e-02 5.053866e-02 2.290938e-05 -1.753206e-05 6.977578e-06 4.282536e-05
11435.468179 8.320634e-01 1.582487e-02 2.597349e-02 5.055246e-02 2.627076e-05 -1.550852e-05 1.332082e-05 3.171786e-05
11440.468179 8.313893e-01 1.598546e-02 2.619890e-02 5.088179e-02 2.662916e-05 -1.218596e-05 6.013043e-06 4.611405e-05
11445.468179 8.301601e-01 1.610797e-02 2.642411e-02 5.102906e-02 1.904589e-05 -2.470003e-05 -1.049631e-06 5.208453e-05
11450.468179 8.287081e-01 1.614190e-02 2.655542e-02 5.097848e-02 2.599262e-05 -3.294958e-05 3.429027e-06 5.920836e-05
11455.468179 8.278065e-01 1.634683e-02 2.681040e-02 5.095772e-02 3.185353e-05 -4.034923e-05 6.586668e-06 4.911393e-05
11460.468179 8.267814e-01 1.647517e-02 2.707170e-02 5.085706e-02 3.020251e-05 -3.681895e-05 6.836372e-06 3.547136e-05
11465.468179 8.262575e-01 1.632307e-02 2.692511e-02 5.094196e-02 3.011752e-05 -3.373502e-05 2.332264e-07 3.415900e-05
11470.468179 8.247985e-01 1.609799e-02 2.664932e-02 5.133358e-02 2.256217e-05 -2.923276e-05 5.784398e-06 4.071307e-05
11475.468179 8.236222e-01 1.622319e-02 2.695484e-02 5.127062e-02 2.525975e-05 -1.834873e-05 6.237809e-06 4.393779e-05
11480.468179 8.234979e-01 1.663553e-02 2.752789e-02 5.148944e-02 2.942167e-05 -1.092424e-05 7.028309e-07 4.316147e-05
11485.468179 8.224631e-01 1.688633e-02 2.790902e-02 5.176227e-02 1.974933e-05 -2.023473e-05 2.884053e-06 4.214869e-05
11490.468179 8.213196e-01 1.704763e-02 2.822408e-02 5.298711e-02 1.126776e-05 -2.631160e-05 7.036370e-06 4.231270e-05
11495.468179 8.204490e-01 1.719938e-02 2.839412e-02 5.251427e-02 2.017723e-05 -2.620468e-05 8.119136e-06 3.621735e-05
11500.468179 8.194178e-01 1.725952e-02 2.852112e-02 5.184591e-02 1.423515e-05 -2.911477e-05 1.265570e-05 3.452174e-05
11505.468179 8.177344e-01 1.754605e-02 2.896547e-02 5.190121e-02 1.944683e-05 -3.311333e-05 9.045349e-06 3.540392e-05
11510.468179 8.170054e-01 1.771446e-02 2.916427e-02 5.186178e-02 3.108529e-05 -2.852061e-05 8.397854e-06 3.490999e-05
11515.468179 8.160996e-01 1.774573e-02 2.922688e-02 5.228930e-02 1.911867e-05 -2.796777e-05 1.031590e-05 2.283518e-05
11520.468179 8.160842e-01 1.772615e-02 2.920363e-02 5.295891e-02 1.435110e-05 -3.198211e-05 5.845728e-06 2.353928e-05
11525.468179 8.149112e-01 1.787585e-02 2.935444e-02 5.351071e-02 1.976937e-05 -2.101455e-05 1.075871e-05 2.710050e-05
11530.468179 8.138871e-01 1.794968e-02 2.940254e-02 6.038936e-02 2.870420e-05 -1.042712e-05 6.845551e-07 3.580153e-05
11534.000000 8.127171e-01 1.806432e-02 2.941930e-02 7.957954e-02 2.564815e-05 -1.501116e-05 -7.302219e-08 4.445792e-05
11535.000000 8.123873e-01 1.808522e-02 2.935931e-02 8.553656e-02 2.245748e-05 -1.035821e-05 2.151198e-06 4.124641e-05
11536.000000 8.127416e-01 1.809313e-02 2.932966e-02 8.665491e-02 1.558718e-05 -1.443410e-05 3.790652e-06 4.118038e-05
11537.000000 8.137939e-01 1.810932e-02 2.937994e-02 8.670215e-02 1.373297e-05 -1.514316e-05 1.846366e-05 3.574574e-05
11538.000000 8.134898e-01 1.807451e-02 2.932028e-02 8.632841e-02 1.323084e-05 -1.292051e-05 6.500092e-06 2.247780e-05
11539.000000 8.125159e-01 1.796853e-02 2.908084e-02 8.386622e-02 1.317090e-05 -2.289485e-06 7.266709e-06 3.001693e-05
11540.000000 8.123928e-01 1.786059e-02 2.885910e-02 7.912657e-02 2.400854e-05 -9.404720e-06 1.105202e-05 2.342553e-05
11541.000000 8.125084e-01 1.778667e-02 2.879462e-02 7.371038e-02 3.232255e-05 -2.177539e-05 9.191361e-06 2.675475e-05
11541.200000 8.077002e-01 1.782729e-02 2.879581e-02 7.150707e-02 2.498618e-05 -2.149560e-05 4.468353e-06 2.121842e-05
11541.400000 8.114992e-01 1.770223e-02 2.887042e-02 7.251642e-02 2.685912e-05 -2.092960e-05 4.365947e-06 3.226703e-05
