# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271223
# UID: c140f5ce-bc4a-4c26-89e4-2b24b218a80a
# Comment: 
# Start time: 10/18/2023  22:12:00
# Stop time: 10/18/2023  22:12:32
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.199440e-01 7.210261e-03 1.176016e-02 2.523941e-02 5.100545e-06 -1.044288e-05 9.446555e-07 3.697099e-05
11385.468179 8.255183e-01 1.422883e-02 2.326543e-02 4.961465e-02 5.202057e-06 -1.521476e-05 2.451831e-06 7.100063e-05
11390.468179 8.312716e-01 1.433158e-02 2.347729e-02 4.994903e-02 6.528576e-06 -1.418337e-05 3.366129e-06 7.169828e-05
11395.468179 8.385628e-01 1.465021e-02 2.389534e-02 5.026051e-02 1.047597e-05 -1.794370e-05 -8.109408e-07 5.924303e-05
11400.468179 8.369794e-01 1.487048e-02 2.427371e-02 5.001456e-02 1.435139e-05 -2.145729e-05 2.245868e-06 6.194550e-05
11405.468179 8.347995e-01 1.496831e-02 2.447112e-02 5.009458e-02 1.560731e-05 -2.038067e-05 6.133954e-06 6.257112e-05
11410.468179 8.326759e-01 1.521434e-02 2.484258e-02 4.995623e-02 5.194019e-06 -2.734099e-05 -7.005407e-07 6.147846e-05
11415.468179 8.245405e-01 1.508814e-02 2.473194e-02 4.933321e-02 1.354788e-05 -4.133352e-05 -8.697368e-06 7.406634e-05
11420.468179 8.243069e-01 1.514707e-02 2.481737e-02 4.964166e-02 9.803111e-06 -3.635441e-05 -1.091534e-05 8.139768e-05
11425.468179 8.316078e-01 1.550582e-02 2.536409e-02 5.045772e-02 6.779580e-06 -4.033412e-05 -1.168908e-05 8.255189e-05
