# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271204
# UID: e03ddca2-ff65-49c6-91a5-3ad6cfa80363
# Comment: 
# Start time: 10/18/2023  21:41:57
# Stop time: 10/18/2023  21:42:29
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.206085e-01 -1.434646e-03 8.888908e-04 2.401204e-02 2.812425e-05 -5.850919e-06 8.595997e-07 3.013124e-05
11385.468179 8.267957e-01 -2.840424e-03 1.739533e-03 4.752214e-02 6.221152e-05 -7.176479e-06 -7.548216e-08 5.692605e-05
11390.468179 8.325277e-01 -2.868191e-03 1.750059e-03 4.776953e-02 6.502364e-05 -2.198426e-06 4.452555e-06 7.050502e-05
11395.468179 8.403530e-01 -2.852491e-03 1.759597e-03 4.786943e-02 6.482499e-05 -9.637088e-07 8.936753e-06 6.992287e-05
11400.468179 8.386496e-01 -2.843747e-03 1.768162e-03 4.803860e-02 5.804882e-05 3.027769e-06 7.948571e-06 5.208795e-05
11405.468179 8.364004e-01 -2.841928e-03 1.738279e-03 4.781725e-02 6.039874e-05 -5.109188e-06 4.639247e-07 4.843569e-05
11410.468179 8.345215e-01 -2.851931e-03 1.755541e-03 4.814161e-02 6.399558e-05 -1.069775e-06 -9.764500e-07 4.994846e-05
11415.468179 8.261695e-01 -2.866921e-03 1.770818e-03 4.763521e-02 5.742080e-05 -1.636817e-06 2.629706e-06 5.925542e-05
11420.468179 8.257767e-01 -2.869868e-03 1.764935e-03 4.761096e-02 5.224888e-05 -2.273464e-06 7.840177e-06 5.678496e-05
11425.468179 8.332732e-01 -2.863266e-03 1.748717e-03 4.824099e-02 5.665239e-05 -3.603476e-06 -2.580996e-06 5.229813e-05
11430.468179 8.339939e-01 -2.872968e-03 1.801936e-03 4.868661e-02 5.790315e-05 -1.723035e-06 1.562370e-06 4.600106e-05
11435.468179 8.324117e-01 -2.859200e-03 1.766822e-03 4.880893e-02 6.517784e-05 -3.975141e-06 9.775691e-06 4.958707e-05
11440.468179 8.312441e-01 -2.858878e-03 1.730243e-03 4.863807e-02 6.747930e-05 -3.032098e-06 1.653908e-05 4.726096e-05
11445.468179 8.301028e-01 -2.856059e-03 1.713864e-03 4.860165e-02 7.246012e-05 3.408108e-06 1.026566e-05 4.626398e-05
11450.468179 8.294699e-01 -2.871606e-03 1.730906e-03 4.866798e-02 6.526998e-05 2.270484e-06 1.720043e-05 5.250956e-05
11455.468179 8.278126e-01 -2.879103e-03 1.783666e-03 4.878121e-02 6.687769e-05 -5.359529e-06 2.054042e-05 6.206464e-05
11460.468179 8.271816e-01 -2.864942e-03 1.748892e-03 4.891904e-02 6.715348e-05 -1.171438e-05 1.287089e-05 5.642624e-05
11465.468179 8.258101e-01 -2.873170e-03 1.808101e-03 4.906192e-02 6.026466e-05 -1.206816e-05 -2.080675e-06 5.194793e-05
11470.468179 8.244173e-01 -2.872172e-03 1.756338e-03 4.903467e-02 5.588994e-05 -5.676305e-07 -1.925823e-06 5.037023e-05
11475.468179 8.238150e-01 -2.870138e-03 1.809573e-03 4.922670e-02 5.355706e-05 -5.257038e-06 7.438404e-06 4.669719e-05
11480.468179 8.229115e-01 -2.855753e-03 1.781432e-03 4.912353e-02 5.860620e-05 -7.774836e-06 1.334699e-06 3.210920e-05
11485.468179 8.221097e-01 -2.846837e-03 1.756045e-03 4.943536e-02 5.946575e-05 -6.699482e-06 -1.763995e-06 3.731737e-05
11490.468179 8.211868e-01 -2.842574e-03 1.752080e-03 4.964698e-02 4.950378e-05 -7.935059e-06 8.145794e-06 5.731975e-05
11495.468179 8.202532e-01 -2.838898e-03 1.722325e-03 4.973770e-02 4.634635e-05 -1.071547e-05 6.166387e-06 6.073900e-05
11500.468179 8.190454e-01 -2.855880e-03 1.746379e-03 4.952009e-02 5.339432e-05 -1.284733e-05 2.023971e-07 7.133197e-05
11505.468179 8.182207e-01 -2.856220e-03 1.733592e-03 4.977885e-02 6.056436e-05 -9.053018e-06 3.817771e-06 7.931492e-05
11510.468179 8.172016e-01 -2.869735e-03 1.739428e-03 4.968551e-02 5.414511e-05 -1.435560e-05 8.774678e-06 6.627720e-05
11515.468179 8.162856e-01 -2.866288e-03 1.760563e-03 4.979861e-02 5.227532e-05 -1.842372e-05 7.571738e-06 7.156549e-05
11520.468179 8.156661e-01 -2.868650e-03 1.743727e-03 5.023263e-02 6.202191e-05 -8.846003e-06 -1.797445e-06 7.093563e-05
11525.468179 8.149131e-01 -2.857730e-03 1.730392e-03 5.018061e-02 5.948220e-05 -3.373169e-06 -2.673625e-06 6.243144e-05
11530.468179 8.137120e-01 -2.857003e-03 1.719006e-03 5.060192e-02 6.027969e-05 1.554083e-06 -1.571987e-06 6.784072e-05
11534.000000 8.129824e-01 -2.842136e-03 1.699781e-03 5.086778e-02 5.545265e-05 4.664475e-06 3.576585e-06 6.673961e-05
