# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271210
# UID: 2fa004ba-074d-4102-a1f5-8c21308f8c06
# Comment: 
# Start time: 10/18/2023  21:45:27
# Stop time: 10/18/2023  21:45:59
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.216762e-01 -1.420666e-03 8.674223e-04 2.383126e-02 3.379826e-05 -1.595480e-05 1.397384e-05 4.203059e-05
11385.639917 8.284574e-01 -2.822792e-03 1.729034e-03 4.738350e-02 6.423021e-05 -2.765853e-05 3.021485e-05 8.830105e-05
11390.639917 8.355870e-01 -2.852233e-03 1.734091e-03 4.763173e-02 5.705979e-05 -1.810798e-05 4.251165e-05 9.049147e-05
11395.639917 8.426866e-01 -2.839103e-03 1.756837e-03 4.815910e-02 5.537496e-05 -3.113085e-05 4.649624e-05 8.857804e-05
11400.639917 8.408920e-01 -2.836552e-03 1.728836e-03 4.811773e-02 6.806737e-05 -3.319005e-05 4.620655e-05 9.102727e-05
11405.639917 8.390426e-01 -2.833799e-03 1.750138e-03 4.779649e-02 7.642787e-05 -2.899841e-05 4.617746e-05 8.954208e-05
11410.639917 8.363954e-01 -2.846420e-03 1.745318e-03 4.781774e-02 7.142143e-05 -3.593947e-05 4.296488e-05 9.284907e-05
11415.639917 8.281087e-01 -2.839024e-03 1.707593e-03 4.762537e-02 6.869249e-05 -3.366324e-05 3.804987e-05 9.357155e-05
11420.639917 8.286307e-01 -2.842403e-03 1.747141e-03 4.786260e-02 7.034850e-05 -3.788354e-05 3.619433e-05 1.002374e-04
11425.639917 8.355636e-01 -2.834516e-03 1.725782e-03 4.836639e-02 7.212121e-05 -3.895283e-05 3.687931e-05 9.380194e-05
11430.639917 8.362213e-01 -2.845831e-03 1.778197e-03 4.840809e-02 7.978694e-05 -3.994253e-05 3.203649e-05 9.264401e-05
11435.639917 8.344617e-01 -2.843439e-03 1.756931e-03 4.853758e-02 7.603629e-05 -3.473193e-05 2.686312e-05 9.143316e-05
11440.639917 8.336843e-01 -2.856496e-03 1.696534e-03 4.850040e-02 6.668513e-05 -3.440458e-05 2.205650e-05 9.206768e-05
11445.639917 8.321512e-01 -2.848143e-03 1.750332e-03 4.867337e-02 6.054990e-05 -3.826841e-05 2.170398e-05 8.820622e-05
11450.639917 8.318430e-01 -2.853049e-03 1.726825e-03 4.869797e-02 6.380413e-05 -3.149492e-05 2.187991e-05 7.400000e-05
11455.639917 8.311159e-01 -2.844815e-03 1.747685e-03 4.872142e-02 6.862220e-05 -2.816748e-05 2.579261e-05 7.934757e-05
11460.639917 8.292967e-01 -2.850435e-03 1.743631e-03 4.881164e-02 6.248471e-05 -3.700221e-05 2.541052e-05 8.520860e-05
11465.639917 8.286039e-01 -2.864627e-03 1.723278e-03 4.898757e-02 6.537768e-05 -3.764984e-05 3.005733e-05 8.440357e-05
11470.639917 8.272566e-01 -2.859696e-03 1.735105e-03 4.899664e-02 5.567348e-05 -2.501305e-05 2.878961e-05 7.687752e-05
11475.639917 8.262582e-01 -2.854168e-03 1.749113e-03 4.900136e-02 6.238957e-05 -2.698060e-05 2.571690e-05 8.958968e-05
11480.639917 8.250491e-01 -2.862275e-03 1.693052e-03 4.907486e-02 6.959588e-05 -2.413337e-05 2.867697e-05 8.255435e-05
11485.639917 8.244837e-01 -2.873085e-03 1.687844e-03 4.915784e-02 5.823706e-05 -2.560774e-05 2.210976e-05 8.607412e-05
11490.639917 8.238424e-01 -2.866267e-03 1.716487e-03 4.943123e-02 5.154862e-05 -2.744069e-05 1.763023e-05 8.756103e-05
11495.639917 8.228510e-01 -2.848070e-03 1.709548e-03 4.954029e-02 5.474604e-05 -2.698914e-05 2.352543e-05 8.665216e-05
11500.639917 8.221199e-01 -2.855108e-03 1.742771e-03 4.981835e-02 6.666827e-05 -3.070234e-05 2.054242e-05 9.012377e-05
11505.639917 8.209078e-01 -2.864031e-03 1.734956e-03 4.952166e-02 5.445468e-05 -2.942333e-05 2.734614e-05 9.186314e-05
11510.639917 8.194344e-01 -2.856292e-03 1.755496e-03 4.986145e-02 5.944022e-05 -2.894480e-05 2.428429e-05 9.661815e-05
11515.639917 8.186837e-01 -2.855907e-03 1.784267e-03 4.984668e-02 6.406426e-05 -3.090843e-05 2.181152e-05 9.880325e-05
11520.639917 8.185956e-01 -2.844309e-03 1.792357e-03 4.993534e-02 6.217510e-05 -3.345058e-05 1.540043e-05 9.374574e-05
11525.639917 8.174884e-01 -2.838695e-03 1.748523e-03 5.023003e-02 5.537824e-05 -4.286710e-05 9.957217e-06 9.748771e-05
