# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271192
# UID: 231ba514-73ab-404a-8a6a-2fc3918d56ee
# Comment: 
# Start time: 10/18/2023  21:33:36
# Stop time: 10/18/2023  21:34:09
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.213471e-01 -1.420198e-03 8.863785e-04 2.524581e-02 2.229227e-05 -9.340652e-06 9.761904e-06 4.656139e-05
11385.468179 8.281154e-01 -2.803851e-03 1.725450e-03 4.994511e-02 5.095466e-05 -2.038078e-05 1.845781e-05 8.731447e-05
11390.468179 8.339328e-01 -2.828830e-03 1.761914e-03 5.065832e-02 4.711081e-05 -1.385169e-05 2.290325e-05 8.241201e-05
11395.468179 8.413931e-01 -2.834392e-03 1.760024e-03 5.145248e-02 4.802689e-05 -2.193635e-05 2.242917e-05 8.169398e-05
11400.468179 8.403206e-01 -2.836500e-03 1.731193e-03 5.177038e-02 5.159684e-05 -2.518745e-05 1.980131e-05 8.592537e-05
11405.468179 8.379178e-01 -2.839225e-03 1.776976e-03 5.123798e-02 4.579796e-05 -2.341828e-05 1.397172e-05 9.321137e-05
11410.468179 8.354641e-01 -2.839358e-03 1.785776e-03 5.078700e-02 5.175601e-05 -9.382115e-06 2.608371e-05 9.809652e-05
11415.468179 8.273302e-01 -2.840058e-03 1.784150e-03 5.039599e-02 5.910717e-05 -6.238227e-06 2.719952e-05 9.577249e-05
11420.468179 8.270373e-01 -2.841552e-03 1.758160e-03 5.070813e-02 6.051125e-05 -1.594582e-05 2.910134e-05 9.562067e-05
11425.468179 8.341989e-01 -2.845708e-03 1.748275e-03 5.131588e-02 7.160964e-05 -2.149760e-05 3.702241e-05 9.979992e-05
11430.468179 8.355298e-01 -2.837957e-03 1.763002e-03 5.131224e-02 6.369626e-05 -1.634018e-05 4.020305e-05 8.729829e-05
11435.468179 8.334376e-01 -2.827860e-03 1.752565e-03 5.113202e-02 6.203446e-05 -1.368514e-05 3.647734e-05 8.126916e-05
11440.468179 8.321197e-01 -2.826432e-03 1.738159e-03 5.113534e-02 6.382447e-05 -1.197837e-05 3.580931e-05 8.233226e-05
11445.468179 8.320207e-01 -2.833026e-03 1.774837e-03 5.143065e-02 6.967314e-05 -1.205169e-05 3.701813e-05 8.362954e-05
11450.468179 8.307210e-01 -2.828847e-03 1.756173e-03 5.177556e-02 7.357979e-05 -1.426215e-05 2.220581e-05 7.757371e-05
11455.468179 8.292785e-01 -2.822672e-03 1.759181e-03 5.234412e-02 6.642896e-05 -2.107067e-05 2.670823e-05 9.221914e-05
11460.468179 8.282872e-01 -2.838894e-03 1.772804e-03 5.179327e-02 5.525572e-05 -2.034275e-05 2.468843e-05 8.775291e-05
