# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271193
# UID: 6e539624-abc0-4795-815d-5214bc556944
# Comment: 
# Start time: 10/18/2023  21:34:12
# Stop time: 10/18/2023  21:34:44
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.597033 4.211961e-01 -1.431579e-03 8.611545e-04 2.524788e-02 3.319883e-05 -8.329497e-06 1.402381e-06 3.889718e-05
11385.597033 8.276330e-01 -2.825717e-03 1.713310e-03 4.991637e-02 6.942371e-05 -1.936753e-05 2.859370e-06 7.273422e-05
11390.597033 8.342721e-01 -2.856711e-03 1.732191e-03 5.062698e-02 6.648659e-05 -1.722245e-05 1.296096e-05 7.714451e-05
11395.597033 8.417359e-01 -2.859357e-03 1.772006e-03 5.132950e-02 6.977007e-05 -1.186459e-05 1.302124e-05 6.767847e-05
11400.597033 8.396999e-01 -2.864407e-03 1.759559e-03 5.129525e-02 6.935467e-05 -1.548259e-05 1.667645e-05 5.706371e-05
11405.597033 8.378147e-01 -2.869586e-03 1.755795e-03 5.112649e-02 6.051223e-05 -1.266844e-05 1.799352e-05 5.938116e-05
11410.597033 8.352814e-01 -2.866781e-03 1.706029e-03 5.068923e-02 6.186220e-05 -1.323173e-05 1.775628e-05 5.988769e-05
11415.597033 8.268114e-01 -2.869702e-03 1.711550e-03 5.023319e-02 6.186979e-05 -1.565788e-05 1.168525e-05 7.285859e-05
11420.597033 8.266824e-01 -2.869120e-03 1.740562e-03 5.045498e-02 6.250829e-05 -1.609911e-05 7.291425e-06 8.054914e-05
11425.597033 8.338677e-01 -2.856269e-03 1.757357e-03 5.099955e-02 6.125006e-05 -1.636029e-05 5.007871e-06 8.540971e-05
11430.597033 8.353999e-01 -2.863370e-03 1.764211e-03 5.115145e-02 5.673731e-05 -1.145550e-05 1.076134e-05 7.717183e-05
11435.597033 8.332245e-01 -2.860056e-03 1.775239e-03 5.115468e-02 5.905873e-05 -8.579771e-06 2.044379e-05 7.362015e-05
11440.597033 8.320029e-01 -2.839848e-03 1.751326e-03 5.124837e-02 5.650093e-05 -7.447385e-06 2.772493e-05 7.444534e-05
11445.597033 8.310010e-01 -2.845172e-03 1.790869e-03 5.137208e-02 6.272798e-05 -1.414585e-05 1.720067e-05 7.692580e-05
11450.597033 8.297387e-01 -2.864865e-03 1.745894e-03 5.149939e-02 6.417720e-05 -2.598857e-05 1.648231e-05 8.230498e-05
11455.597033 8.286776e-01 -2.865216e-03 1.745725e-03 5.198122e-02 5.874931e-05 -2.149270e-05 1.076097e-05 1.057188e-04
11460.597033 8.280176e-01 -2.846365e-03 1.769926e-03 5.165262e-02 7.509030e-05 -1.668250e-05 7.027124e-06 1.087145e-04
11465.597033 8.264601e-01 -2.852395e-03 1.717472e-03 5.147393e-02 7.164506e-05 -1.739364e-05 1.737578e-05 1.052010e-04
11470.597033 8.253605e-01 -2.841010e-03 1.753225e-03 5.144848e-02 6.359336e-05 -1.992289e-05 2.004528e-05 1.005877e-04
11475.597033 8.250142e-01 -2.861359e-03 1.718571e-03 5.151742e-02 6.611423e-05 -1.409683e-05 1.981488e-05 1.005823e-04
11480.597033 8.243919e-01 -2.850122e-03 1.793380e-03 5.165660e-02 6.130708e-05 -1.464265e-05 9.636119e-06 1.147630e-04
11485.597033 8.228899e-01 -2.841661e-03 1.759524e-03 5.194358e-02 5.618108e-05 -1.826942e-05 4.438956e-06 1.219906e-04
11490.597033 8.219604e-01 -2.831615e-03 1.735417e-03 5.245340e-02 5.148802e-05 -3.267468e-05 1.985006e-05 1.245117e-04
11495.597033 8.213551e-01 -2.847421e-03 1.771376e-03 5.218516e-02 5.234847e-05 -2.583385e-05 1.939764e-05 1.140338e-04
11500.597033 8.202216e-01 -2.858697e-03 1.725756e-03 5.212910e-02 5.307262e-05 -2.810582e-05 2.811698e-05 1.159819e-04
11505.597033 8.198453e-01 -2.848345e-03 1.744013e-03 5.186879e-02 5.710130e-05 -2.312419e-05 2.506791e-05 1.088059e-04
11510.597033 8.185679e-01 -2.858471e-03 1.774147e-03 5.208677e-02 5.780744e-05 -2.131424e-05 2.682404e-05 1.094946e-04
11515.597033 8.179017e-01 -2.863879e-03 1.739970e-03 5.268593e-02 6.161482e-05 -2.465756e-05 1.848720e-05 1.128487e-04
11520.597033 8.175153e-01 -2.856207e-03 1.764741e-03 5.303464e-02 6.166974e-05 -2.371751e-05 1.322040e-05 1.179407e-04
11525.597033 8.159438e-01 -2.854321e-03 1.738591e-03 5.335360e-02 6.056011e-05 -2.437727e-05 2.022368e-05 1.227463e-04
11530.597033 8.146066e-01 -2.865557e-03 1.727697e-03 5.373653e-02 5.784829e-05 -2.211399e-05 1.821410e-05 1.166567e-04
11534.000000 8.142141e-01 -2.858652e-03 1.730516e-03 5.392724e-02 6.459190e-05 -1.536884e-05 2.843471e-05 1.042545e-04
11535.000000 8.148676e-01 -2.859852e-03 1.738698e-03 5.435545e-02 6.301920e-05 -1.451475e-05 2.935049e-05 9.808735e-05
11536.000000 8.148814e-01 -2.876843e-03 1.781631e-03 5.381933e-02 5.373538e-05 -1.683832e-05 2.194992e-05 1.156770e-04
11537.000000 8.141103e-01 -2.880158e-03 1.821655e-03 5.425143e-02 5.427353e-05 -2.173334e-05 2.507987e-05 1.207293e-04
11538.000000 8.132121e-01 -2.851489e-03 1.704572e-03 5.381834e-02 6.073374e-05 -2.374760e-05 2.989394e-05 1.196023e-04
11539.000000 8.138143e-01 -2.859031e-03 1.766897e-03 5.438172e-02 5.532483e-05 -2.236368e-05 3.131938e-05 1.183857e-04
11540.000000 8.133503e-01 -2.883697e-03 1.764139e-03 5.365084e-02 4.681955e-05 -1.766916e-05 3.077637e-05 1.181801e-04
11541.000000 8.133303e-01 -2.861902e-03 1.617769e-03 5.513273e-02 5.749545e-05 -1.261486e-05 3.777363e-05 1.292763e-04
11541.200000 8.204840e-01 -2.904373e-03 1.707805e-03 5.523277e-02 7.197162e-05 -1.605107e-05 3.299722e-05 1.280054e-04
11541.400000 7.877041e-01 -2.728317e-03 1.502721e-03 5.214275e-02 5.918991e-05 -2.052451e-05 3.977860e-05 1.196360e-04
