# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271195
# UID: 4886bd33-9c25-48d1-9980-33b2c6e04f6c
# Comment: 
# Start time: 10/18/2023  21:35:22
# Stop time: 10/18/2023  21:35:54
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.217694e-01 -1.429631e-03 8.695719e-04 2.513058e-02 2.518615e-05 -8.055283e-06 2.520194e-06 2.709058e-05
11385.596982 8.283389e-01 -2.832766e-03 1.758622e-03 4.982113e-02 5.498319e-05 -1.839931e-05 3.685097e-06 5.397294e-05
11390.596982 8.351223e-01 -2.857780e-03 1.759409e-03 5.060484e-02 4.280074e-05 -2.220369e-05 3.680799e-06 5.434445e-05
11395.596982 8.426460e-01 -2.844057e-03 1.729103e-03 5.144050e-02 4.197183e-05 -2.140018e-05 3.301555e-06 5.446968e-05
11400.596982 8.406588e-01 -2.842712e-03 1.755342e-03 5.151260e-02 4.381568e-05 -1.601797e-05 3.710679e-06 5.794417e-05
11405.596982 8.387252e-01 -2.848238e-03 1.723969e-03 5.132637e-02 4.780661e-05 -1.898767e-05 9.480275e-06 6.648824e-05
11410.596982 8.358050e-01 -2.846109e-03 1.753867e-03 5.070688e-02 4.406399e-05 -2.419125e-05 9.664000e-06 8.196530e-05
11415.596982 8.278065e-01 -2.846454e-03 1.749138e-03 5.014925e-02 4.642072e-05 -2.733779e-05 1.695966e-06 6.692666e-05
11420.596982 8.279389e-01 -2.855870e-03 1.769732e-03 5.060422e-02 4.133042e-05 -3.304407e-05 1.526295e-06 6.751134e-05
11425.596982 8.354153e-01 -2.867025e-03 1.753174e-03 5.104549e-02 4.367186e-05 -3.076511e-05 9.041333e-06 6.458331e-05
11430.596982 8.361146e-01 -2.858945e-03 1.766818e-03 5.113010e-02 4.464063e-05 -2.692971e-05 1.002374e-05 7.657460e-05
11435.596982 8.343573e-01 -2.857019e-03 1.790434e-03 5.103547e-02 5.698600e-05 -3.534283e-05 1.050434e-05 7.651522e-05
11440.596982 8.326833e-01 -2.835842e-03 1.768670e-03 5.098480e-02 5.757665e-05 -4.085481e-05 2.045498e-05 6.745878e-05
11445.596982 8.323453e-01 -2.835896e-03 1.747899e-03 5.109617e-02 4.712745e-05 -4.156386e-05 2.337851e-05 6.465883e-05
11450.596982 8.317527e-01 -2.858295e-03 1.751146e-03 5.168684e-02 5.589706e-05 -3.270528e-05 2.569487e-05 6.838711e-05
11455.596982 8.303065e-01 -2.874223e-03 1.728688e-03 5.193169e-02 6.038817e-05 -2.928443e-05 3.051235e-05 6.267810e-05
11460.596982 8.287650e-01 -2.878710e-03 1.735955e-03 5.192397e-02 5.935581e-05 -1.509007e-05 2.717483e-05 6.700983e-05
11465.596982 8.278883e-01 -2.874631e-03 1.779270e-03 5.158155e-02 6.636095e-05 -2.108205e-05 1.387273e-05 6.573033e-05
11470.596982 8.270831e-01 -2.878591e-03 1.782929e-03 5.136488e-02 7.063001e-05 -2.550759e-05 9.902187e-06 6.355899e-05
11475.596982 8.260313e-01 -2.873056e-03 1.741903e-03 5.160387e-02 5.957616e-05 -2.317705e-05 9.392542e-06 5.489147e-05
