# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271196
# UID: 8d7b3d92-8359-4951-aeb5-2435d843595a
# Comment: 
# Start time: 10/18/2023  21:35:57
# Stop time: 10/18/2023  21:36:32
# Total time: 00:34
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.209854e-01 -1.430986e-03 8.766816e-04 2.510868e-02 2.442954e-05 -1.023337e-05 1.776082e-05 3.797941e-05
11385.468179 8.271221e-01 -2.825487e-03 1.725280e-03 4.964018e-02 4.624100e-05 -2.659159e-05 3.790478e-05 7.071584e-05
11390.468179 8.329377e-01 -2.862138e-03 1.735587e-03 5.045248e-02 5.022083e-05 -2.980939e-05 3.711563e-05 6.031980e-05
11395.468179 8.405482e-01 -2.854543e-03 1.731999e-03 5.128317e-02 3.978503e-05 -3.196488e-05 3.517055e-05 5.378461e-05
11400.468179 8.388009e-01 -2.859205e-03 1.721500e-03 5.153224e-02 3.207102e-05 -2.629470e-05 2.658848e-05 5.502332e-05
11405.468179 8.375730e-01 -2.866207e-03 1.761611e-03 5.131468e-02 3.067974e-05 -3.306393e-05 1.945473e-05 6.450804e-05
11410.468179 8.343669e-01 -2.851040e-03 1.750498e-03 5.060310e-02 3.675984e-05 -3.052756e-05 3.205794e-05 6.305294e-05
11415.468179 8.265468e-01 -2.847572e-03 1.758421e-03 4.986888e-02 3.928418e-05 -2.812584e-05 4.161838e-05 6.556958e-05
11420.468179 8.255954e-01 -2.844978e-03 1.760790e-03 5.041286e-02 4.608191e-05 -2.940553e-05 3.601017e-05 7.011183e-05
11425.468179 8.328821e-01 -2.861753e-03 1.730911e-03 5.108856e-02 3.810616e-05 -2.992169e-05 4.042478e-05 7.366985e-05
11430.468179 8.343790e-01 -2.853481e-03 1.753903e-03 5.106127e-02 4.616168e-05 -2.891925e-05 4.011083e-05 7.724648e-05
11435.468179 8.325743e-01 -2.851245e-03 1.745026e-03 5.115054e-02 5.767063e-05 -3.053678e-05 3.134652e-05 7.422024e-05
11440.468179 8.317502e-01 -2.841482e-03 1.771349e-03 5.126772e-02 4.759994e-05 -2.414476e-05 2.347197e-05 6.447262e-05
11445.468179 8.309537e-01 -2.848559e-03 1.730872e-03 5.131903e-02 4.227908e-05 -2.573035e-05 1.497027e-05 6.575852e-05
11450.468179 8.300826e-01 -2.844093e-03 1.729281e-03 5.162897e-02 4.496408e-05 -3.674272e-05 2.034437e-05 5.942553e-05
