# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271198
# UID: 80d32250-79f0-4c37-a46e-7dbba6e22ce2
# Comment: 
# Start time: 10/18/2023  21:37:10
# Stop time: 10/18/2023  21:37:42
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.597019 4.193493e-01 -1.426752e-03 8.777328e-04 2.499211e-02 1.932294e-05 -1.627838e-05 2.619142e-06 4.363329e-05
11385.597019 8.239158e-01 -2.835369e-03 1.751995e-03 4.944671e-02 3.481732e-05 -2.484355e-05 5.711696e-06 7.713732e-05
11390.597019 8.304996e-01 -2.857710e-03 1.769641e-03 5.020663e-02 3.634159e-05 -2.981334e-05 1.101357e-05 7.604059e-05
11395.597019 8.375750e-01 -2.844393e-03 1.757593e-03 5.092763e-02 3.993750e-05 -3.106107e-05 2.042416e-05 7.062462e-05
11400.597019 8.360354e-01 -2.843837e-03 1.721193e-03 5.108223e-02 3.846363e-05 -3.786355e-05 1.514465e-05 7.428977e-05
11405.597019 8.342060e-01 -2.851937e-03 1.754696e-03 5.079903e-02 3.097478e-05 -3.914186e-05 1.733726e-05 6.909379e-05
11410.597019 8.319495e-01 -2.835740e-03 1.749402e-03 5.039336e-02 3.161216e-05 -4.411943e-05 1.205744e-05 6.282193e-05
11415.597019 8.234284e-01 -2.825527e-03 1.746166e-03 4.980826e-02 3.527519e-05 -4.075806e-05 6.560290e-06 8.237141e-05
11420.597019 8.232473e-01 -2.834536e-03 1.762882e-03 4.978799e-02 3.533605e-05 -3.544272e-05 1.423979e-05 7.876218e-05
11425.597019 8.305421e-01 -2.853907e-03 1.743259e-03 5.029421e-02 4.525125e-05 -3.495426e-05 2.438537e-06 7.088672e-05
11430.597019 8.311706e-01 -2.855949e-03 1.768336e-03 5.053060e-02 4.780989e-05 -4.219776e-05 1.059161e-06 7.629837e-05
11435.597019 8.294247e-01 -2.843968e-03 1.720871e-03 5.070880e-02 4.570276e-05 -4.409778e-05 8.965067e-06 7.274552e-05
11440.597019 8.286298e-01 -2.840332e-03 1.715031e-03 5.054373e-02 4.172292e-05 -3.773063e-05 1.951036e-05 7.890761e-05
11445.597019 8.279637e-01 -2.852074e-03 1.754377e-03 5.078275e-02 3.682916e-05 -3.630062e-05 1.726374e-05 7.163505e-05
11450.597019 8.268901e-01 -2.866979e-03 1.710937e-03 5.125502e-02 3.963325e-05 -4.434404e-05 1.930907e-05 6.377124e-05
11455.597019 8.250068e-01 -2.864729e-03 1.715577e-03 5.164312e-02 4.611820e-05 -4.269570e-05 1.610430e-05 8.104525e-05
11460.597019 8.247898e-01 -2.864977e-03 1.768549e-03 5.141882e-02 4.806206e-05 -4.565458e-05 1.248095e-05 8.602314e-05
11465.597019 8.230744e-01 -2.859743e-03 1.754008e-03 5.104116e-02 4.109233e-05 -4.406545e-05 1.540166e-05 8.750678e-05
11470.597019 8.221302e-01 -2.858025e-03 1.762112e-03 5.123225e-02 3.866467e-05 -4.385860e-05 1.490640e-05 9.207281e-05
11475.597019 8.211389e-01 -2.848745e-03 1.773846e-03 5.122271e-02 4.376260e-05 -3.239844e-05 1.007561e-05 8.991157e-05
11480.597019 8.207153e-01 -2.844921e-03 1.720468e-03 5.122647e-02 4.454455e-05 -2.777217e-05 7.587410e-06 8.094718e-05
11485.597019 8.204377e-01 -2.846025e-03 1.786977e-03 5.183994e-02 4.882873e-05 -3.133879e-05 1.204083e-05 8.110290e-05
11490.597019 8.188490e-01 -2.851801e-03 1.716445e-03 5.198284e-02 4.403725e-05 -2.225933e-05 1.182011e-05 9.423300e-05
11495.597019 8.179614e-01 -2.845427e-03 1.748891e-03 5.171018e-02 5.123824e-05 -1.908588e-05 1.260639e-05 8.485599e-05
11500.597019 8.169154e-01 -2.838854e-03 1.754933e-03 5.164750e-02 5.058872e-05 -2.682234e-05 2.392103e-05 7.791900e-05
11505.597019 8.163478e-01 -2.838091e-03 1.748105e-03 5.186795e-02 5.014744e-05 -2.008080e-05 2.520549e-05 8.150300e-05
11510.597019 8.150342e-01 -2.848197e-03 1.711811e-03 5.202397e-02 4.269625e-05 -1.835786e-05 2.756691e-05 8.969002e-05
11515.597019 8.139512e-01 -2.860960e-03 1.764377e-03 5.222856e-02 3.647406e-05 -3.007720e-05 3.141976e-05 7.185776e-05
11520.597019 8.135139e-01 -2.853621e-03 1.766209e-03 5.238855e-02 4.369467e-05 -3.166487e-05 2.662400e-05 8.522668e-05
11525.597019 8.124322e-01 -2.845640e-03 1.741319e-03 5.285925e-02 4.768611e-05 -3.470779e-05 2.641589e-05 7.552913e-05
11530.597019 8.116289e-01 -2.853499e-03 1.780407e-03 5.337465e-02 5.188613e-05 -2.500906e-05 2.865635e-05 7.734180e-05
11534.000000 8.106331e-01 -2.853778e-03 1.808470e-03 5.337289e-02 4.399369e-05 -2.494114e-05 3.103181e-05 7.444229e-05
11535.000000 8.100992e-01 -2.857551e-03 1.763734e-03 5.372653e-02 4.571469e-05 -2.253442e-05 3.095180e-05 6.669604e-05
11536.000000 8.096266e-01 -2.852237e-03 1.798956e-03 5.379904e-02 4.025654e-05 -1.537876e-05 3.671300e-05 7.441530e-05
11537.000000 8.106409e-01 -2.869345e-03 1.687649e-03 5.389235e-02 4.624096e-05 -1.476359e-05 3.403207e-05 7.797501e-05
11538.000000 8.098389e-01 -2.861106e-03 1.663715e-03 5.384175e-02 4.761589e-05 -2.028284e-05 2.738743e-05 7.534425e-05
11539.000000 8.092097e-01 -2.871103e-03 1.752242e-03 5.427818e-02 5.073271e-05 -2.852809e-05 2.727351e-05 7.104850e-05
11540.000000 8.102300e-01 -2.872992e-03 1.697244e-03 5.419464e-02 5.530062e-05 -1.934138e-05 3.738024e-05 7.717027e-05
11541.000000 8.108017e-01 -2.873679e-03 1.774037e-03 5.483794e-02 4.494059e-05 -1.981963e-05 3.719249e-05 8.714298e-05
11541.200000 8.091516e-01 -2.935088e-03 1.626278e-03 5.544580e-02 4.785275e-05 -1.534507e-05 3.002069e-05 9.321533e-05
11541.400000 8.096144e-01 -2.780147e-03 1.794064e-03 5.248439e-02 2.940443e-05 -1.777426e-05 4.205945e-05 9.731368e-05
11541.600000 8.019393e-01 -2.898246e-03 1.902795e-03 5.386527e-02 5.326685e-05 -1.701862e-05 5.059105e-05 8.877808e-05
11541.800000 8.147181e-01 -2.897949e-03 1.546068e-03 5.429150e-02 4.319730e-05 -2.432232e-05 4.965517e-05 8.457848e-05
11542.000000 8.147265e-01 -2.854114e-03 1.815959e-03 5.481668e-02 4.816888e-05 -2.930671e-05 3.778287e-05 8.049778e-05
11542.200000 8.084799e-01 -2.903834e-03 1.682526e-03 5.404475e-02 5.558108e-05 -2.692779e-05 3.101538e-05 7.775701e-05
11542.400000 8.146393e-01 -2.797583e-03 1.893042e-03 5.357372e-02 4.273312e-05 -2.712567e-05 3.805671e-05 8.324301e-05
11542.600000 8.039273e-01 -2.942974e-03 1.738822e-03 5.499625e-02 5.262530e-05 -2.323572e-05 4.399644e-05 9.072130e-05
11542.800000 8.101504e-01 -2.806773e-03 1.750081e-03 5.396223e-02 2.961642e-05 -9.463802e-06 6.013690e-05 9.099296e-05
11543.000000 8.111358e-01 -2.874852e-03 1.903762e-03 5.462848e-02 3.925907e-05 -9.081630e-06 5.150118e-05 8.149719e-05
11543.200000 8.138266e-01 -2.886405e-03 1.778727e-03 5.390279e-02 5.192289e-05 -1.472128e-05 2.830921e-05 7.856034e-05
11543.400000 8.090578e-01 -2.808583e-03 1.660564e-03 5.579457e-02 3.739321e-05 -1.983076e-05 1.610664e-05 7.001466e-05
11543.600000 8.109687e-01 -2.947713e-03 2.103433e-03 5.315755e-02 4.111051e-05 -1.849822e-05 2.952925e-05 8.264297e-05
11543.800000 8.065222e-01 -2.800032e-03 1.763908e-03 5.659396e-02 3.389805e-05 -1.296877e-05 1.015559e-05 7.569034e-05
11544.000000 8.091990e-01 -2.954222e-03 1.721974e-03 5.372602e-02 4.885584e-05 -2.133084e-05 2.968691e-05 8.426645e-05
11544.200000 8.085981e-01 -2.827531e-03 1.751250e-03 5.531535e-02 3.647731e-05 -1.429662e-05 2.748662e-05 7.910361e-05
11544.400000 8.082655e-01 -2.903360e-03 1.504683e-03 5.306772e-02 3.884292e-05 -6.197150e-06 3.510080e-05 7.791889e-05
11544.600000 8.122132e-01 -2.887473e-03 1.786457e-03 5.349156e-02 3.099912e-05 -9.012023e-06 3.474035e-05 7.973433e-05
11544.800000 8.107182e-01 -2.835266e-03 1.833026e-03 5.473421e-02 3.015706e-05 -1.945490e-05 9.299221e-06 4.736516e-05
11545.000000 8.082657e-01 -2.941827e-03 1.712980e-03 5.578153e-02 4.323668e-05 -1.641773e-05 7.402859e-06 5.049065e-05
11545.200000 8.151255e-01 -2.775688e-03 1.760916e-03 5.674270e-02 4.149049e-05 -2.195378e-05 3.077789e-05 6.212628e-05
11545.400000 8.087979e-01 -2.942457e-03 1.673803e-03 5.468893e-02 5.428908e-05 -1.794593e-05 4.291216e-05 6.360369e-05
11545.600000 8.098667e-01 -2.800791e-03 1.852980e-03 5.317883e-02 4.423100e-05 -2.034468e-05 3.288148e-05 6.475076e-05
11545.800000 8.074171e-01 -2.912578e-03 1.781540e-03 5.434333e-02 4.154112e-05 -2.089906e-05 3.208799e-05 5.914083e-05
11546.000000 8.118073e-01 -2.835180e-03 1.776258e-03 5.516288e-02 3.804143e-05 -2.251641e-05 3.199384e-05 6.146782e-05
11546.200000 8.119375e-01 -2.847245e-03 1.889888e-03 5.628346e-02 4.639233e-05 -2.036564e-05 3.793144e-05 5.925740e-05
11546.400000 8.125460e-01 -2.909402e-03 1.668479e-03 5.499135e-02 5.370960e-05 -1.293675e-05 2.140881e-05 4.157767e-05
11546.600000 8.043101e-01 -2.777950e-03 2.055660e-03 5.603912e-02 3.137336e-05 -1.221862e-05 2.373930e-05 1.418012e-05
11546.800000 8.097971e-01 -2.941685e-03 1.671302e-03 5.377333e-02 4.559691e-05 -1.233906e-05 3.008377e-05 2.853710e-05
11547.000000 8.011847e-01 -2.798693e-03 1.753746e-03 5.558246e-02 3.282746e-05 -1.110067e-05 3.253833e-05 5.418705e-05
11547.200000 8.091708e-01 -2.948163e-03 1.638454e-03 5.366707e-02 4.117996e-05 -1.934231e-05 2.007412e-05 5.729182e-05
