# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271199
# UID: e3cfda73-9d5e-4a4d-9a07-b5ec8aa3c41d
# Comment: 
# Start time: 10/18/2023  21:37:45
# Stop time: 10/18/2023  21:38:17
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.202232e-01 -1.420417e-03 8.672842e-04 2.481777e-02 1.948200e-05 -1.776338e-05 3.839130e-06 3.427184e-05
11385.468179 8.258789e-01 -2.812890e-03 1.713475e-03 4.935730e-02 4.245480e-05 -3.432781e-05 1.404528e-05 7.130511e-05
11390.468179 8.316753e-01 -2.851776e-03 1.736458e-03 5.015310e-02 4.904590e-05 -3.013275e-05 9.336440e-06 6.553273e-05
11395.468179 8.396259e-01 -2.849325e-03 1.731811e-03 5.089133e-02 5.113228e-05 -2.654743e-05 2.005815e-06 6.039008e-05
11400.468179 8.377141e-01 -2.865486e-03 1.716060e-03 5.119117e-02 5.405411e-05 -1.975868e-05 3.686521e-06 5.562905e-05
11405.468179 8.359094e-01 -2.858168e-03 1.769542e-03 5.101580e-02 5.803078e-05 -1.605839e-05 9.490931e-06 6.602392e-05
11410.468179 8.334382e-01 -2.856214e-03 1.764133e-03 5.032252e-02 5.234375e-05 -2.296333e-05 8.790620e-06 6.417455e-05
11415.468179 8.251510e-01 -2.856571e-03 1.743823e-03 4.974013e-02 4.771626e-05 -2.083792e-05 5.428145e-06 5.492311e-05
11420.468179 8.247865e-01 -2.849300e-03 1.773766e-03 5.004384e-02 5.554527e-05 -7.173101e-06 1.018799e-05 5.266229e-05
11425.468179 8.318964e-01 -2.856034e-03 1.734758e-03 5.057307e-02 6.233392e-05 -9.512774e-06 1.662049e-05 5.332118e-05
