# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271201
# UID: 4de51116-8fd1-4c7c-806a-d4faaf536123
# Comment: 
# Start time: 10/18/2023  21:38:55
# Stop time: 10/18/2023  21:39:28
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.198964e-01 -1.426699e-03 8.749681e-04 2.487611e-02 1.851312e-05 -2.437118e-07 4.372607e-06 4.087343e-05
11385.468179 8.252718e-01 -2.839002e-03 1.713722e-03 4.925767e-02 4.223989e-05 -5.340300e-06 1.549429e-05 8.009142e-05
11390.468179 8.313598e-01 -2.862335e-03 1.758644e-03 5.010259e-02 4.035285e-05 -7.071401e-06 1.609291e-05 7.626133e-05
11395.468179 8.385001e-01 -2.852832e-03 1.732564e-03 5.084550e-02 4.993191e-05 4.562329e-06 7.252420e-06 8.029868e-05
11400.468179 8.370435e-01 -2.856847e-03 1.710682e-03 5.094431e-02 6.126081e-05 -9.784466e-07 8.873770e-06 7.191641e-05
11405.468179 8.353611e-01 -2.847050e-03 1.692788e-03 5.078588e-02 5.458633e-05 -1.324081e-06 1.546489e-05 7.470957e-05
11410.468179 8.327069e-01 -2.836245e-03 1.743342e-03 5.031965e-02 5.593444e-05 -6.707499e-06 3.041417e-05 7.370970e-05
11415.468179 8.246900e-01 -2.845121e-03 1.768370e-03 4.986392e-02 5.562310e-05 -1.322954e-05 3.274693e-05 7.257688e-05
11420.468179 8.245744e-01 -2.848062e-03 1.722050e-03 5.002045e-02 5.653221e-05 -1.645566e-05 2.757059e-05 6.970893e-05
11425.468179 8.315135e-01 -2.840253e-03 1.702680e-03 5.047158e-02 5.210752e-05 -1.409812e-05 2.854230e-05 7.646333e-05
11430.468179 8.326719e-01 -2.846423e-03 1.737117e-03 5.048670e-02 4.896043e-05 -3.710418e-06 2.249629e-05 7.336849e-05
11435.468179 8.308544e-01 -2.842178e-03 1.718014e-03 5.057934e-02 5.345432e-05 -4.200589e-06 2.569048e-05 7.982265e-05
11440.468179 8.292450e-01 -2.847593e-03 1.746082e-03 5.050819e-02 5.882430e-05 -3.733536e-06 2.966735e-05 7.895925e-05
11445.468179 8.280420e-01 -2.837986e-03 1.743450e-03 5.084130e-02 6.013862e-05 2.545433e-06 2.747400e-05 8.276201e-05
11450.468179 8.277077e-01 -2.833697e-03 1.741940e-03 5.105081e-02 5.036887e-05 4.553915e-06 2.651078e-05 8.243379e-05
11455.468179 8.268797e-01 -2.825833e-03 1.786476e-03 5.163776e-02 4.907698e-05 -4.577141e-06 1.846617e-05 8.755286e-05
