# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271182
# UID: ab72c229-206d-44b3-ab4f-26d3e907abc5
# Comment: 
# Start time: 10/18/2023  21:27:33
# Stop time: 10/18/2023  21:28:04
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.196526e-01 1.019647e-02 1.552686e-02 2.507840e-02 2.111180e-05 -9.202466e-06 9.848211e-06 3.277160e-05
11385.468179 8.248799e-01 2.016520e-02 3.076584e-02 4.975905e-02 5.053217e-05 -1.916816e-05 9.079805e-06 4.879767e-05
11390.468179 8.305033e-01 2.049374e-02 3.130452e-02 5.000691e-02 5.387652e-05 -1.815518e-05 3.043960e-06 3.853909e-05
11395.468179 8.380836e-01 2.085623e-02 3.183933e-02 5.005284e-02 3.708951e-05 -1.487545e-05 9.711320e-06 4.895407e-05
11400.468179 8.365488e-01 2.075971e-02 3.178856e-02 5.010087e-02 4.611749e-05 -2.015459e-05 7.982657e-06 6.260606e-05
11405.468179 8.348192e-01 2.077580e-02 3.188942e-02 5.018950e-02 3.807310e-05 -2.204903e-05 1.333911e-05 7.275912e-05
11410.468179 8.322887e-01 2.079498e-02 3.196493e-02 5.002713e-02 3.147489e-05 -2.267677e-05 2.028325e-05 7.184075e-05
11415.468179 8.234811e-01 2.075101e-02 3.202634e-02 4.970021e-02 2.745836e-05 -1.793691e-05 2.506085e-05 7.567550e-05
11420.468179 8.233556e-01 2.069457e-02 3.201444e-02 5.016319e-02 3.357807e-05 -2.107379e-05 3.413757e-05 8.274185e-05
11425.468179 8.306200e-01 2.079646e-02 3.220608e-02 5.124736e-02 3.716796e-05 -2.021126e-05 3.625795e-05 9.671497e-05
11430.468179 8.319669e-01 2.084574e-02 3.230450e-02 5.094699e-02 5.074155e-05 -2.308604e-05 3.293547e-05 9.554541e-05
11435.468179 8.307278e-01 2.123286e-02 3.291187e-02 5.044314e-02 5.037488e-05 -2.010602e-05 2.048992e-05 8.198543e-05
11440.468179 8.293888e-01 2.158722e-02 3.344753e-02 5.084452e-02 4.244923e-05 -2.096740e-05 3.287014e-05 7.951724e-05
11445.468179 8.281792e-01 2.145170e-02 3.328924e-02 5.110654e-02 4.762651e-05 -2.666994e-05 3.029616e-05 7.315401e-05
11450.468179 8.267370e-01 2.178144e-02 3.379434e-02 5.133019e-02 3.748252e-05 -2.768873e-05 2.136636e-05 9.012165e-05
11455.468179 8.255544e-01 2.183164e-02 3.395843e-02 5.133277e-02 2.644925e-05 -3.492462e-05 4.145467e-06 7.716828e-05
11460.468179 8.247564e-01 2.209942e-02 3.437444e-02 5.168400e-02 2.561860e-05 -3.590791e-05 6.596927e-06 7.329129e-05
11465.468179 8.237414e-01 2.262772e-02 3.517581e-02 5.208141e-02 3.025303e-05 -3.426768e-05 1.299529e-05 7.057686e-05
11470.468179 8.231981e-01 2.296182e-02 3.569027e-02 5.234960e-02 3.387779e-05 -3.355935e-05 1.060999e-05 7.131699e-05
11475.468179 8.224566e-01 2.317631e-02 3.601627e-02 5.172135e-02 4.669491e-05 -2.661454e-05 1.343534e-05 7.761929e-05
11480.468179 8.210854e-01 2.324551e-02 3.619342e-02 5.150267e-02 5.336535e-05 -2.089119e-05 1.500602e-05 8.799118e-05
11485.468179 8.198821e-01 2.336361e-02 3.640860e-02 5.164293e-02 5.815901e-05 -2.001041e-05 2.676180e-05 9.182825e-05
11490.468179 8.188725e-01 2.345573e-02 3.658458e-02 5.217653e-02 6.057816e-05 -2.384848e-05 2.079830e-05 8.681384e-05
11495.468179 8.180422e-01 2.358211e-02 3.682721e-02 5.243558e-02 5.140548e-05 -2.660541e-05 2.494545e-05 9.149482e-05
11500.468179 8.165416e-01 2.360462e-02 3.691164e-02 5.237274e-02 5.805749e-05 -3.284235e-05 2.809869e-05 8.891369e-05
11505.468179 8.162069e-01 2.376519e-02 3.716551e-02 5.196917e-02 5.168624e-05 -4.623350e-05 2.962558e-05 8.178416e-05
11510.468179 8.158559e-01 2.413272e-02 3.769912e-02 5.197071e-02 4.967430e-05 -4.301668e-05 2.510714e-05 7.359568e-05
11515.468179 8.146380e-01 2.441871e-02 3.812305e-02 5.220640e-02 4.470258e-05 -4.420963e-05 1.955506e-05 7.806842e-05
11520.468179 8.139302e-01 2.460073e-02 3.834574e-02 5.218811e-02 3.782086e-05 -4.273345e-05 2.885185e-06 7.015732e-05
11525.468179 8.131384e-01 2.464611e-02 3.833112e-02 5.274246e-02 4.059957e-05 -4.385924e-05 1.504922e-05 6.449486e-05
11530.468179 8.124953e-01 2.477409e-02 3.841155e-02 5.287035e-02 5.174586e-05 -3.897309e-05 2.058157e-05 6.577039e-05
11534.000000 8.114910e-01 2.473329e-02 3.826686e-02 5.334650e-02 5.174836e-05 -3.492725e-05 2.097563e-05 7.524065e-05
11535.000000 8.103895e-01 2.466457e-02 3.811966e-02 5.349664e-02 4.631646e-05 -4.320498e-05 2.248291e-05 7.472537e-05
11536.000000 8.104980e-01 2.464640e-02 3.798778e-02 5.290124e-02 5.112155e-05 -4.724121e-05 2.043338e-05 7.344606e-05
11537.000000 8.115564e-01 2.468368e-02 3.804904e-02 5.340159e-02 4.543398e-05 -5.231514e-05 1.815431e-05 8.051608e-05
11538.000000 8.111340e-01 2.466518e-02 3.789879e-02 5.368963e-02 3.785628e-05 -4.625262e-05 2.198378e-05 7.230744e-05
11539.000000 8.107159e-01 2.464803e-02 3.783750e-02 5.432080e-02 3.481866e-05 -4.666458e-05 2.637032e-05 8.493920e-05
11540.000000 8.099993e-01 2.470526e-02 3.785927e-02 5.451816e-02 3.485794e-05 -4.401386e-05 3.623412e-05 9.205233e-05
11541.000000 8.091696e-01 2.482283e-02 3.790832e-02 5.384408e-02 3.875094e-05 -4.470211e-05 2.370344e-05 7.380570e-05
11541.200000 8.168209e-01 2.496339e-02 3.835333e-02 5.461978e-02 4.944594e-05 -4.817170e-05 1.098593e-05 6.735141e-05
11541.400000 8.041766e-01 2.479702e-02 3.788427e-02 5.222945e-02 3.366615e-05 -4.045495e-05 8.809586e-06 6.828902e-05
11541.600000 8.098024e-01 2.486658e-02 3.809146e-02 5.372838e-02 4.788111e-05 -4.566056e-05 1.649292e-05 6.130872e-05
11541.800000 8.133998e-01 2.508205e-02 3.798140e-02 5.335245e-02 3.483636e-05 -4.871016e-05 -1.279153e-06 5.532566e-05
11542.000000 8.027527e-01 2.481045e-02 3.753106e-02 5.583475e-02 4.254808e-05 -3.672518e-05 -5.467032e-06 4.575045e-05
11542.200000 8.108592e-01 2.497691e-02 3.795263e-02 5.550758e-02 4.998006e-05 -5.122877e-05 2.190520e-05 3.973752e-05
11542.400000 8.053571e-01 2.502475e-02 3.812212e-02 5.293302e-02 3.040918e-05 -4.220594e-05 1.816291e-05 7.216079e-05
11542.600000 8.143941e-01 2.511902e-02 3.795873e-02 5.467620e-02 4.727508e-05 -4.477129e-05 3.063099e-05 7.738709e-05
11542.800000 8.066188e-01 2.511679e-02 3.804210e-02 5.220758e-02 3.614589e-05 -4.374552e-05 7.986572e-06 8.351495e-05
11543.000000 8.143730e-01 2.527701e-02 3.810206e-02 5.300112e-02 2.607541e-05 -3.533688e-05 1.527016e-05 8.316318e-05
11543.200000 8.097976e-01 2.506769e-02 3.786639e-02 5.460632e-02 3.461766e-05 -3.589903e-05 -3.039993e-06 8.606743e-05
11543.400000 8.123283e-01 2.531758e-02 3.827760e-02 5.582740e-02 2.722346e-05 -3.174544e-05 2.189989e-05 8.809103e-05
11543.600000 8.091672e-01 2.505037e-02 3.780322e-02 5.534978e-02 2.983173e-05 -3.728361e-05 1.987195e-05 8.127361e-05
11543.800000 8.081270e-01 2.520878e-02 3.784602e-02 5.588479e-02 2.610185e-05 -4.448699e-05 -2.312143e-06 7.374007e-05
11544.000000 8.058182e-01 2.501652e-02 3.766578e-02 5.291051e-02 4.308292e-05 -4.144400e-05 -2.006413e-05 6.577441e-05
