# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271184
# UID: ec65370d-495d-4546-9918-a27bb3357cca
# Comment: 
# Start time: 10/18/2023  21:28:43
# Stop time: 10/18/2023  21:29:14
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.190461e-01 1.019140e-02 1.552010e-02 2.494652e-02 9.337364e-06 -1.944967e-05 -5.128785e-06 2.818005e-05
11385.639917 8.231850e-01 2.014273e-02 3.076218e-02 4.948268e-02 2.099075e-05 -3.389366e-05 -2.202496e-06 6.221936e-05
11390.639917 8.301138e-01 2.051051e-02 3.134010e-02 4.964116e-02 2.130144e-05 -3.720457e-05 4.959652e-07 6.552750e-05
11395.639917 8.370054e-01 2.084391e-02 3.180602e-02 5.007471e-02 1.402625e-05 -4.100344e-05 4.986859e-06 6.905710e-05
11400.639917 8.355037e-01 2.074107e-02 3.176854e-02 4.987533e-02 2.480596e-05 -4.320870e-05 8.925971e-06 6.632098e-05
11405.639917 8.335767e-01 2.073248e-02 3.178890e-02 4.984345e-02 2.823041e-05 -3.514613e-05 1.684596e-05 7.099847e-05
11410.639917 8.308510e-01 2.075431e-02 3.192644e-02 4.987003e-02 2.443078e-05 -2.653906e-05 1.969501e-05 6.972156e-05
11415.639917 8.223945e-01 2.073039e-02 3.200467e-02 4.942747e-02 2.708376e-05 -2.126879e-05 1.658651e-05 7.530402e-05
11420.639917 8.225110e-01 2.067854e-02 3.195917e-02 5.004138e-02 2.820499e-05 -2.694209e-05 2.288329e-05 7.902886e-05
11425.639917 8.304407e-01 2.079616e-02 3.217653e-02 5.131135e-02 2.693218e-05 -2.763259e-05 1.812535e-05 7.371736e-05
11430.639917 8.308967e-01 2.082068e-02 3.223492e-02 5.090315e-02 3.420214e-05 -2.866589e-05 1.510858e-05 6.790458e-05
11435.639917 8.291746e-01 2.120659e-02 3.283704e-02 5.053006e-02 3.524907e-05 -3.758173e-05 2.817813e-05 7.179460e-05
11440.639917 8.272993e-01 2.155062e-02 3.339730e-02 5.024956e-02 3.194840e-05 -4.076470e-05 2.276040e-05 8.995648e-05
11445.639917 8.265352e-01 2.142445e-02 3.329085e-02 5.051773e-02 4.097486e-05 -3.615118e-05 2.418071e-05 1.017004e-04
11450.639917 8.255556e-01 2.176909e-02 3.381919e-02 5.097788e-02 3.302893e-05 -3.438779e-05 1.598897e-05 9.164588e-05
11455.639917 8.244469e-01 2.182079e-02 3.397273e-02 5.107902e-02 2.649267e-05 -3.238075e-05 1.465413e-05 8.707653e-05
11460.639917 8.242165e-01 2.208340e-02 3.435754e-02 5.137080e-02 2.186206e-05 -3.713044e-05 1.559447e-05 7.961757e-05
