# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271185
# UID: 8b228591-b793-4e4d-aaf1-385aeec3683f
# Comment: 
# Start time: 10/18/2023  21:29:18
# Stop time: 10/18/2023  21:29:49
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.193747e-01 1.018724e-02 1.551124e-02 2.495930e-02 1.764140e-05 -1.450846e-05 -2.196155e-06 2.988975e-05
11385.468179 8.241100e-01 2.017445e-02 3.079363e-02 4.954049e-02 2.766747e-05 -2.522520e-05 -6.848174e-06 5.453403e-05
11390.468179 8.303719e-01 2.051110e-02 3.132128e-02 4.964852e-02 3.692046e-05 -2.660709e-05 3.546509e-06 5.723920e-05
11395.468179 8.381485e-01 2.086484e-02 3.183465e-02 4.987485e-02 3.517900e-05 -3.675030e-05 2.343384e-06 6.046395e-05
11400.468179 8.360178e-01 2.074943e-02 3.178440e-02 4.994072e-02 4.289483e-05 -3.252697e-05 2.165574e-06 6.153672e-05
11405.468179 8.340074e-01 2.074298e-02 3.187142e-02 4.992949e-02 4.417551e-05 -2.418715e-05 1.224930e-05 5.629609e-05
11410.468179 8.309491e-01 2.073539e-02 3.196862e-02 4.984687e-02 4.375278e-05 -3.214909e-05 1.135240e-05 6.005907e-05
11415.468179 8.227588e-01 2.072186e-02 3.199456e-02 4.954274e-02 4.139507e-05 -1.924317e-05 1.480124e-05 5.441495e-05
11420.468179 8.228340e-01 2.067837e-02 3.200017e-02 4.999823e-02 5.340284e-05 -1.561831e-05 2.506247e-05 5.141251e-05
11425.468179 8.308616e-01 2.078141e-02 3.218820e-02 5.129752e-02 5.052317e-05 -2.495820e-05 2.217970e-05 6.287773e-05
