# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271189
# UID: fc240cac-fd0f-4b4d-b332-34355ed50a34
# Comment: 
# Start time: 10/18/2023  21:31:38
# Stop time: 10/18/2023  21:32:09
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468238 4.208789e-01 1.020622e-02 1.555076e-02 2.496176e-02 3.219120e-05 -6.054991e-06 8.805846e-06 3.658054e-05
11385.468238 8.265871e-01 2.020233e-02 3.085150e-02 4.946836e-02 6.389967e-05 -1.209993e-05 2.417863e-05 7.550947e-05
11390.468238 8.327193e-01 2.055210e-02 3.144152e-02 4.963074e-02 6.092307e-05 -1.278584e-05 2.174745e-05 7.139703e-05
11395.468238 8.404704e-01 2.092222e-02 3.193656e-02 4.973631e-02 5.477386e-05 -2.525267e-05 2.452825e-05 7.059382e-05
11400.468238 8.388304e-01 2.083147e-02 3.189821e-02 4.976837e-02 5.037522e-05 -3.419715e-05 3.782788e-05 7.223748e-05
11405.468238 8.366868e-01 2.081600e-02 3.197876e-02 4.991919e-02 4.993457e-05 -3.465210e-05 3.862727e-05 6.655884e-05
11410.468238 8.340891e-01 2.081371e-02 3.201954e-02 4.981504e-02 5.232679e-05 -1.925665e-05 3.077939e-05 7.407499e-05
11415.468238 8.257823e-01 2.080868e-02 3.207051e-02 4.934432e-02 5.190043e-05 -1.238387e-05 2.415352e-05 8.218789e-05
11420.468238 8.259216e-01 2.078937e-02 3.214528e-02 4.975782e-02 5.928795e-05 -1.281795e-05 1.491303e-05 7.560900e-05
11425.468238 8.335239e-01 2.087830e-02 3.236715e-02 5.103494e-02 6.352914e-05 -1.619052e-05 1.152304e-05 7.577033e-05
