# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271172
# UID: 8aff5b6a-4bf1-4c29-b452-09560e310a27
# Comment: 
# Start time: 10/18/2023  21:21:26
# Stop time: 10/18/2023  21:21:58
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.205431e-01 7.182066e-03 1.172468e-02 2.640967e-02 2.574214e-05 -1.121580e-05 1.868144e-05 3.452356e-05
11385.639917 8.263071e-01 1.406441e-02 2.303520e-02 5.213355e-02 4.502961e-05 -2.857105e-05 4.264500e-05 6.642213e-05
11390.639917 8.330753e-01 1.432319e-02 2.346189e-02 5.226581e-02 4.970791e-05 -2.922409e-05 3.758084e-05 6.175531e-05
11395.639917 8.403947e-01 1.470662e-02 2.404723e-02 5.231646e-02 5.897502e-05 -2.784741e-05 3.887510e-05 6.674742e-05
11400.639917 8.385649e-01 1.482787e-02 2.423326e-02 5.247708e-02 5.577029e-05 -2.815331e-05 4.185952e-05 7.351328e-05
11405.639917 8.369198e-01 1.507748e-02 2.461928e-02 5.260467e-02 5.584897e-05 -2.895595e-05 3.307809e-05 6.673562e-05
11410.639917 8.333938e-01 1.506561e-02 2.467451e-02 5.225118e-02 6.281143e-05 -3.234516e-05 3.766670e-05 5.894475e-05
11415.639917 8.256881e-01 1.498146e-02 2.460073e-02 5.196352e-02 5.729713e-05 -3.678608e-05 4.514302e-05 4.828445e-05
11420.639917 8.254325e-01 1.510687e-02 2.484537e-02 5.196667e-02 5.316942e-05 -3.229474e-05 4.815469e-05 4.071928e-05
11425.639917 8.325231e-01 1.544186e-02 2.533915e-02 5.281459e-02 5.509928e-05 -3.377319e-05 4.939038e-05 4.063395e-05
