# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271174
# UID: ae4abb9b-b14b-45ef-bdd4-efa86b238dae
# Comment: 
# Start time: 10/18/2023  21:22:37
# Stop time: 10/18/2023  21:23:08
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.213678e-01 7.201425e-03 1.173370e-02 2.625114e-02 2.230904e-05 -1.022495e-05 1.299530e-05 2.589376e-05
11385.639917 8.276472e-01 1.410187e-02 2.303228e-02 5.211115e-02 4.680101e-05 -2.154898e-05 2.288138e-05 5.268199e-05
11390.639917 8.344022e-01 1.435389e-02 2.350192e-02 5.228186e-02 5.339715e-05 -2.717484e-05 2.190730e-05 5.131360e-05
11395.639917 8.416928e-01 1.474302e-02 2.401847e-02 5.244903e-02 4.271617e-05 -2.475130e-05 2.290516e-05 4.306691e-05
11400.639917 8.401330e-01 1.488134e-02 2.426966e-02 5.253665e-02 5.694888e-05 -3.021501e-05 2.663171e-05 4.199469e-05
11405.639917 8.383446e-01 1.513391e-02 2.468083e-02 5.263660e-02 5.168999e-05 -3.138768e-05 2.375317e-05 4.792440e-05
11410.639917 8.353864e-01 1.512461e-02 2.471115e-02 5.239396e-02 5.784178e-05 -2.737875e-05 2.888508e-05 4.292937e-05
11415.639917 8.268882e-01 1.502744e-02 2.462356e-02 5.182715e-02 4.768341e-05 -2.347182e-05 3.411691e-05 3.630405e-05
11420.639917 8.269044e-01 1.516020e-02 2.481195e-02 5.207780e-02 3.921524e-05 -1.739121e-05 2.820558e-05 2.544638e-05
11425.639917 8.345924e-01 1.551957e-02 2.537398e-02 5.283004e-02 5.115006e-05 -2.540161e-05 2.707535e-05 1.989190e-05
11430.639917 8.358485e-01 1.573298e-02 2.570429e-02 5.312658e-02 6.142223e-05 -2.366613e-05 1.915257e-05 3.432328e-05
11435.639917 8.342401e-01 1.584847e-02 2.590047e-02 5.319456e-02 4.653371e-05 -1.593273e-05 3.336097e-05 3.216445e-05
11440.639917 8.324264e-01 1.598413e-02 2.610489e-02 5.338775e-02 4.212376e-05 -2.959357e-05 3.995004e-05 3.013182e-05
11445.639917 8.307902e-01 1.600121e-02 2.614843e-02 5.327769e-02 4.287022e-05 -2.585046e-05 4.080879e-05 3.440990e-05
11450.639917 8.303527e-01 1.618954e-02 2.649633e-02 5.331002e-02 5.196788e-05 -2.061677e-05 3.719019e-05 1.918449e-05
11455.639917 8.290269e-01 1.631156e-02 2.672329e-02 5.333156e-02 6.401375e-05 -2.356343e-05 2.790501e-05 1.950864e-05
11460.639917 8.282363e-01 1.619368e-02 2.663060e-02 5.333827e-02 5.383139e-05 -2.943957e-05 2.625329e-05 3.163808e-05
11465.639917 8.275783e-01 1.597952e-02 2.646431e-02 5.356243e-02 5.487553e-05 -2.037159e-05 2.654670e-05 3.236431e-05
11470.639917 8.264137e-01 1.617183e-02 2.680373e-02 5.349073e-02 5.264223e-05 -1.482869e-05 2.137094e-05 2.855639e-05
11475.639917 8.256469e-01 1.655386e-02 2.733261e-02 5.389601e-02 5.014716e-05 -1.979446e-05 2.444621e-05 1.803199e-05
11480.639917 8.248878e-01 1.677959e-02 2.759250e-02 5.406839e-02 4.629009e-05 -2.222881e-05 2.730113e-05 3.173325e-05
11485.639917 8.237351e-01 1.693605e-02 2.782211e-02 5.526606e-02 4.651965e-05 -2.726251e-05 2.591384e-05 3.654606e-05
11490.639917 8.222208e-01 1.706441e-02 2.807349e-02 5.460147e-02 4.527838e-05 -3.218245e-05 3.775094e-05 4.055792e-05
11495.639917 8.212853e-01 1.712438e-02 2.826204e-02 5.394888e-02 4.527102e-05 -2.980125e-05 3.391677e-05 2.717820e-05
11500.639917 8.211097e-01 1.744379e-02 2.871870e-02 5.417455e-02 4.215159e-05 -3.642628e-05 3.723118e-05 3.271740e-05
11505.639917 8.204429e-01 1.763591e-02 2.897769e-02 5.444837e-02 4.936561e-05 -3.744084e-05 3.798600e-05 3.304083e-05
11510.639917 8.193509e-01 1.766558e-02 2.906300e-02 5.471740e-02 4.231183e-05 -4.229342e-05 3.111724e-05 4.220660e-05
11515.639917 8.179804e-01 1.763512e-02 2.905056e-02 5.480638e-02 4.686398e-05 -3.573595e-05 2.758439e-05 4.826238e-05
11520.639917 8.174259e-01 1.776281e-02 2.918096e-02 5.546972e-02 6.088472e-05 -2.627937e-05 2.420910e-05 5.239651e-05
