# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271175
# UID: 986ce73f-e5d5-40ad-8510-1ede27462f93
# Comment: 
# Start time: 10/18/2023  21:23:11
# Stop time: 10/18/2023  21:23:43
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.209307e-01 7.198329e-03 1.175715e-02 2.626462e-02 2.509154e-05 -8.089345e-06 8.005478e-07 2.175070e-05
11385.468179 8.270787e-01 1.409469e-02 2.306107e-02 5.201934e-02 3.899621e-05 -2.748106e-05 -7.611338e-06 5.049033e-05
11390.468179 8.335191e-01 1.431982e-02 2.344860e-02 5.217192e-02 3.522315e-05 -3.893268e-05 3.706972e-06 4.846966e-05
11395.468179 8.407733e-01 1.470070e-02 2.398227e-02 5.210258e-02 3.503508e-05 -3.375398e-05 1.958638e-05 4.752182e-05
11400.468179 8.387756e-01 1.480142e-02 2.416338e-02 5.223159e-02 4.071112e-05 -3.676375e-05 1.671582e-05 3.350771e-05
11405.468179 8.368844e-01 1.508158e-02 2.457987e-02 5.261127e-02 4.497678e-05 -2.933248e-05 2.007545e-05 3.535685e-05
11410.468179 8.348920e-01 1.510810e-02 2.470493e-02 5.225763e-02 3.188992e-05 -2.094322e-05 3.838061e-05 3.218645e-05
11415.468179 8.269046e-01 1.499958e-02 2.462887e-02 5.186841e-02 3.759015e-05 -2.913117e-05 3.620680e-05 3.364654e-05
11420.468179 8.261602e-01 1.510796e-02 2.479460e-02 5.183076e-02 3.341464e-05 -3.100534e-05 3.695579e-05 2.099999e-05
11425.468179 8.333213e-01 1.546796e-02 2.531724e-02 5.249342e-02 3.641381e-05 -2.353997e-05 4.129707e-05 3.595712e-05
11430.468179 8.349225e-01 1.568317e-02 2.559684e-02 5.314702e-02 3.296398e-05 -1.529968e-05 4.599468e-05 3.954064e-05
11435.468179 8.323641e-01 1.579325e-02 2.586476e-02 5.307911e-02 2.561827e-05 -2.922578e-05 4.270977e-05 3.735616e-05
11440.468179 8.318044e-01 1.595368e-02 2.615320e-02 5.330217e-02 3.180079e-05 -3.271481e-05 4.713918e-05 3.880476e-05
11445.468179 8.310150e-01 1.600344e-02 2.624687e-02 5.345005e-02 2.547483e-05 -4.076789e-05 3.862824e-05 3.425594e-05
11450.468179 8.298135e-01 1.616535e-02 2.648291e-02 5.335671e-02 3.538343e-05 -3.635068e-05 2.624870e-05 4.060672e-05
11455.468179 8.289107e-01 1.630923e-02 2.672874e-02 5.313286e-02 4.357993e-05 -3.021348e-05 7.215523e-06 3.436318e-05
11460.468179 8.274834e-01 1.619041e-02 2.667931e-02 5.313653e-02 4.591268e-05 -3.130714e-05 7.875103e-06 3.631209e-05
11465.468179 8.258519e-01 1.594061e-02 2.636829e-02 5.376250e-02 5.136049e-05 -3.033341e-05 2.361818e-05 4.222328e-05
11470.468179 8.249910e-01 1.608538e-02 2.658903e-02 5.385481e-02 5.795178e-05 -3.280749e-05 2.765625e-05 3.951291e-05
11475.468179 8.241923e-01 1.646083e-02 2.716075e-02 5.377731e-02 5.826783e-05 -2.513567e-05 1.405380e-05 3.957313e-05
11480.468179 8.235180e-01 1.669514e-02 2.753085e-02 5.399717e-02 4.917223e-05 -1.464291e-05 1.933055e-05 4.350015e-05
11485.468179 8.234417e-01 1.688719e-02 2.788198e-02 5.492710e-02 4.859515e-05 -1.377796e-05 1.256364e-05 3.546208e-05
11490.468179 8.216793e-01 1.701717e-02 2.806184e-02 5.476915e-02 4.752347e-05 -9.526535e-06 1.380701e-05 4.151474e-05
11495.468179 8.209028e-01 1.708705e-02 2.823049e-02 5.405100e-02 5.184562e-05 -1.698523e-05 1.631243e-05 3.376937e-05
11500.468179 8.199656e-01 1.737327e-02 2.863128e-02 5.425281e-02 4.653341e-05 -1.860436e-05 1.467952e-05 4.777309e-05
11505.468179 8.188240e-01 1.755774e-02 2.890863e-02 5.410638e-02 4.570338e-05 -2.994854e-05 1.312024e-05 4.912674e-05
11510.468179 8.178622e-01 1.760869e-02 2.900315e-02 5.437994e-02 4.436256e-05 -2.354739e-05 1.253061e-05 5.062662e-05
11515.468179 8.165884e-01 1.756940e-02 2.896194e-02 5.489151e-02 4.139577e-05 -2.094535e-05 1.350406e-05 5.298599e-05
11520.468179 8.164331e-01 1.771165e-02 2.913657e-02 5.561139e-02 3.462641e-05 -2.344726e-05 2.117401e-05 5.811173e-05
11525.468179 8.155885e-01 1.779040e-02 2.917916e-02 6.213486e-02 3.284292e-05 -2.108402e-05 2.209605e-05 6.363435e-05
11530.468179 8.144839e-01 1.789935e-02 2.929716e-02 8.238351e-02 3.916876e-05 -1.728545e-05 2.526329e-05 5.246918e-05
11534.000000 8.133588e-01 1.785904e-02 2.907067e-02 8.355216e-02 3.880408e-05 -4.286964e-06 2.763157e-05 4.020386e-05
11535.000000 8.129103e-01 1.782620e-02 2.899044e-02 8.018970e-02 3.240062e-05 -2.870941e-06 2.456120e-05 4.978600e-05
11536.000000 8.128558e-01 1.770870e-02 2.882968e-02 7.595790e-02 3.626719e-05 -7.802212e-06 1.949517e-05 5.594448e-05
11537.000000 8.134335e-01 1.759042e-02 2.869573e-02 7.254804e-02 2.896417e-05 -8.411145e-06 1.584084e-05 4.357349e-05
11538.000000 8.123485e-01 1.765469e-02 2.865106e-02 7.048850e-02 3.244635e-05 -1.312977e-05 1.787095e-05 4.668416e-05
11539.000000 8.128129e-01 1.782536e-02 2.895877e-02 6.644642e-02 3.527244e-05 -1.051130e-05 2.663387e-05 4.985002e-05
11540.000000 8.126751e-01 1.804261e-02 2.906306e-02 6.119231e-02 4.106121e-05 -1.186172e-05 1.788388e-05 5.536824e-05
11541.000000 8.123517e-01 1.820556e-02 2.911868e-02 5.717923e-02 4.353380e-05 -1.079846e-05 8.143974e-06 5.129862e-05
11541.200000 8.077341e-01 1.815070e-02 2.873562e-02 5.791853e-02 4.135840e-05 -9.786356e-06 8.157402e-06 6.234609e-05
11541.400000 8.179864e-01 1.830558e-02 2.946215e-02 5.944984e-02 5.600142e-05 -1.616096e-05 6.732515e-06 5.677532e-05
11541.600000 8.118975e-01 1.837739e-02 2.933667e-02 5.960214e-02 3.875954e-05 -3.146037e-05 2.977702e-06 4.987814e-05
11541.800000 8.170152e-01 1.833383e-02 2.940609e-02 5.656552e-02 5.271299e-05 -3.476442e-05 2.315004e-05 4.370539e-05
11542.000000 8.109303e-01 1.831169e-02 2.944538e-02 5.678788e-02 3.742204e-05 -2.887581e-05 2.690426e-05 5.591413e-05
11542.200000 8.149275e-01 1.840820e-02 2.928803e-02 5.783249e-02 3.250392e-05 -2.632086e-05 1.608258e-05 5.773544e-05
11542.400000 8.126019e-01 1.824352e-02 2.933444e-02 5.684234e-02 3.957945e-05 -1.212153e-05 2.577193e-05 4.865957e-05
11542.600000 8.133807e-01 1.849274e-02 2.921417e-02 5.821621e-02 3.248221e-05 -1.373815e-05 3.686080e-06 4.331757e-05
11542.800000 8.170061e-01 1.842536e-02 2.958266e-02 5.814196e-02 3.365410e-05 -2.381770e-05 2.590162e-06 4.472172e-05
11543.000000 8.115941e-01 1.845869e-02 2.915157e-02 5.746130e-02 2.242546e-05 -2.797912e-05 -7.889448e-07 3.754932e-05
11543.200000 8.154252e-01 1.845825e-02 2.927690e-02 5.770037e-02 3.663012e-05 -3.184479e-05 -6.039236e-07 3.812572e-05
11543.400000 8.131059e-01 1.838259e-02 2.919930e-02 5.682399e-02 4.211658e-05 -2.788565e-05 1.172588e-05 4.527266e-05
11543.600000 8.133265e-01 1.847482e-02 2.912053e-02 5.619558e-02 3.894039e-05 -3.110268e-05 7.881263e-07 3.958779e-05
11543.800000 8.088146e-01 1.828409e-02 2.892104e-02 5.825647e-02 4.638003e-05 -3.830365e-05 -7.877895e-06 4.114918e-05
11544.000000 8.099435e-01 1.849215e-02 2.920593e-02 5.768866e-02 3.015795e-05 -3.915060e-05 -6.713638e-06 4.550185e-05
11544.200000 8.110409e-01 1.832330e-02 2.909740e-02 5.829025e-02 5.036616e-05 -3.849941e-05 2.300457e-05 4.914922e-05
11544.400000 8.121347e-01 1.847944e-02 2.912820e-02 5.726817e-02 4.050199e-05 -4.193375e-05 2.175323e-05 4.515343e-05
11544.600000 8.124200e-01 1.841946e-02 2.920288e-02 5.832131e-02 4.051799e-05 -2.525709e-05 1.237280e-05 4.166735e-05
11544.800000 8.148753e-01 1.851268e-02 2.922488e-02 5.936761e-02 4.488313e-05 -2.840729e-05 1.376503e-05 5.339846e-05
11545.000000 8.118613e-01 1.848787e-02 2.918608e-02 5.658266e-02 5.297788e-05 -3.608899e-05 2.387587e-05 4.876237e-05
11545.200000 8.125217e-01 1.846277e-02 2.901517e-02 5.658861e-02 5.333110e-05 -2.988955e-05 2.037801e-05 5.882458e-05
11545.400000 8.113879e-01 1.851346e-02 2.913266e-02 5.799639e-02 4.109332e-05 -2.345930e-05 1.197492e-05 3.940917e-05
11545.600000 8.088574e-01 1.834333e-02 2.895442e-02 5.740670e-02 4.812685e-05 -1.751277e-05 2.568496e-05 5.293331e-05
11545.800000 8.213390e-01 1.874001e-02 2.949815e-02 5.885517e-02 3.955022e-05 -2.646806e-05 2.898485e-05 5.793148e-05
11546.000000 8.027771e-01 1.819753e-02 2.845174e-02 5.778481e-02 6.487088e-05 -2.283687e-05 2.703842e-05 7.118773e-05
11546.200000 8.172986e-01 1.861968e-02 2.919112e-02 5.931434e-02 5.160854e-05 -1.559978e-05 2.335214e-05 7.219862e-05
11546.400000 8.005873e-01 1.823284e-02 2.888932e-02 5.659941e-02 4.639181e-05 -1.118803e-05 3.269881e-05 7.345644e-05
11546.600000 8.132081e-01 1.853310e-02 2.898733e-02 5.834688e-02 4.465329e-05 -6.814806e-06 3.817673e-05 6.118672e-05
11546.800000 8.084740e-01 1.849386e-02 2.875065e-02 5.800099e-02 3.503424e-05 -8.574997e-06 3.164801e-05 5.816065e-05
11547.000000 8.158655e-01 1.859169e-02 2.913648e-02 5.898853e-02 4.673842e-05 -1.278961e-05 2.332548e-05 4.658924e-05
11547.200000 8.080689e-01 1.854090e-02 2.881896e-02 5.850513e-02 3.150984e-05 -1.659384e-06 2.396245e-05 4.354840e-05
11547.400000 8.141976e-01 1.853073e-02 2.895975e-02 5.725130e-02 4.413801e-05 -1.060844e-05 1.923318e-05 4.610979e-05
11547.600000 8.111428e-01 1.859045e-02 2.902065e-02 5.852160e-02 4.035452e-05 -1.370764e-05 2.716598e-05 3.762509e-05
11547.800000 8.168575e-01 1.865458e-02 2.887649e-02 5.667632e-02 5.113832e-05 -1.830251e-05 2.646694e-05 5.330422e-05
11548.000000 8.059221e-01 1.851717e-02 2.848490e-02 5.744905e-02 4.767229e-05 -2.503489e-05 1.549054e-05 3.670168e-05
11548.200000 8.150041e-01 1.870400e-02 2.902890e-02 5.833959e-02 4.507035e-05 -3.030565e-05 8.191461e-06 2.237325e-05
11548.400000 8.039762e-01 1.848555e-02 2.860595e-02 5.853995e-02 5.367621e-05 -2.425404e-05 1.423003e-05 1.014088e-05
11548.600000 8.101195e-01 1.862744e-02 2.861099e-02 5.835979e-02 4.269099e-05 -2.251877e-05 2.298885e-05 2.449990e-05
11548.800000 8.152638e-01 1.869921e-02 2.878114e-02 5.850448e-02 5.274497e-05 -2.061447e-05 3.109588e-05 2.152649e-05
11549.000000 8.052715e-01 1.855414e-02 2.860050e-02 6.015900e-02 4.128964e-05 -1.389634e-05 1.065821e-05 1.250305e-05
11549.200000 8.182993e-01 1.872677e-02 2.901447e-02 5.930337e-02 5.053240e-05 -2.019019e-05 1.610431e-05 1.549291e-05
11549.400000 8.148052e-01 1.885209e-02 2.885712e-02 5.811375e-02 4.206190e-05 -2.512513e-05 1.908422e-05 2.694610e-05
11549.600000 8.089367e-01 1.852646e-02 2.835505e-02 5.875145e-02 5.233171e-05 -2.727176e-05 1.462166e-05 2.814254e-05
11549.800000 8.138344e-01 1.867228e-02 2.872448e-02 6.153516e-02 5.299609e-05 -1.907343e-05 2.964171e-05 2.968282e-05
11550.000000 8.171197e-01 1.882805e-02 2.912052e-02 5.758296e-02 3.943110e-05 -1.793967e-05 2.385805e-05 2.654865e-05
11550.200000 8.112627e-01 1.862254e-02 2.818917e-02 5.959549e-02 3.161279e-05 -2.021674e-05 3.269167e-05 3.940951e-05
11550.400000 8.156764e-01 1.880805e-02 2.851254e-02 5.856008e-02 3.651573e-05 -2.765643e-05 2.193001e-05 2.977157e-05
11550.600000 8.048893e-01 1.844632e-02 2.804449e-02 5.834702e-02 4.870819e-05 -3.317153e-05 3.201978e-05 3.359808e-05
11550.800000 8.173427e-01 1.891722e-02 2.860202e-02 5.932428e-02 4.230802e-05 -2.054029e-05 1.450085e-05 3.582724e-05
11551.000000 8.128796e-01 1.868778e-02 2.837730e-02 6.344217e-02 4.127393e-05 -1.583197e-05 1.721204e-05 2.891115e-05
11551.200000 8.080816e-01 1.867779e-02 2.794755e-02 5.965028e-02 2.851206e-05 -2.664496e-05 2.782996e-05 2.709387e-05
11551.400000 8.108057e-01 1.863122e-02 2.798110e-02 6.213895e-02 3.837958e-05 -1.617245e-05 2.362023e-05 1.837057e-05
11551.600000 8.116061e-01 1.873951e-02 2.818692e-02 5.916247e-02 4.084125e-05 -1.245844e-05 3.666015e-05 1.688497e-05
11551.800000 8.119672e-01 1.865597e-02 2.819709e-02 5.947251e-02 5.600213e-05 -1.803361e-05 3.949445e-05 6.334314e-06
11552.000000 8.097516e-01 1.873359e-02 2.800035e-02 6.186685e-02 3.425822e-05 -1.927166e-05 4.786256e-05 1.160904e-05
11552.200000 8.129769e-01 1.869522e-02 2.801926e-02 6.053360e-02 4.553799e-05 -2.213371e-05 5.706987e-05 2.834551e-05
11552.400000 8.085056e-01 1.867780e-02 2.770340e-02 5.948039e-02 3.704892e-05 -2.736891e-05 3.393042e-05 1.262360e-05
11552.600000 8.124240e-01 1.870992e-02 2.760985e-02 5.882148e-02 5.110407e-05 -2.686650e-05 2.376859e-05 1.708885e-05
11552.800000 8.073851e-01 1.866703e-02 2.720445e-02 6.225309e-02 3.214983e-05 -2.813387e-05 1.299124e-05 4.057353e-06
11553.000000 8.186622e-01 1.884709e-02 2.758637e-02 6.254825e-02 3.917222e-05 -2.194752e-05 2.679796e-05 1.087377e-05
11553.200000 8.142172e-01 1.882688e-02 2.751363e-02 6.050227e-02 2.559695e-05 -1.642102e-05 4.703389e-06 1.798291e-05
11553.400000 8.049741e-01 1.852889e-02 2.711407e-02 6.039460e-02 3.856311e-05 -1.051720e-05 -4.524506e-07 2.073495e-05
11553.600000 8.094697e-01 1.874013e-02 2.733112e-02 6.286129e-02 2.725066e-05 -9.252058e-06 -3.333097e-06 -1.434614e-05
11553.800000 8.116015e-01 1.868953e-02 2.713433e-02 5.997736e-02 4.282558e-05 -1.265321e-05 -3.749655e-06 2.829654e-07
11554.000000 8.102544e-01 1.878144e-02 2.697079e-02 6.015251e-02 3.562916e-05 -1.152501e-05 -2.125912e-05 1.517367e-05
11554.200000 8.125261e-01 1.873385e-02 2.711902e-02 5.970208e-02 4.253945e-05 -1.466564e-05 -5.125135e-06 2.154950e-05
11554.400000 8.167960e-01 1.894656e-02 2.710698e-02 6.520343e-02 3.147186e-05 -2.253651e-05 -3.304121e-06 1.403906e-05
11554.600000 8.013978e-01 1.842979e-02 2.659088e-02 6.331604e-02 3.895165e-05 -3.059766e-05 1.013012e-05 1.461241e-05
11554.800000 8.161619e-01 1.884929e-02 2.669318e-02 6.255852e-02 3.229774e-05 -2.552558e-05 8.791419e-06 -2.274339e-06
11555.000000 8.132621e-01 1.866686e-02 2.644177e-02 6.344096e-02 3.332911e-05 -1.711915e-05 1.489993e-05 2.280478e-05
11555.200000 8.096645e-01 1.868218e-02 2.629340e-02 6.311064e-02 3.707651e-05 -2.958669e-05 1.037191e-05 2.428464e-05
11555.400000 8.119624e-01 1.863230e-02 2.639229e-02 6.196792e-02 4.441470e-05 -2.429312e-05 6.899667e-06 2.641771e-05
11555.600000 8.080850e-01 1.866175e-02 2.607995e-02 6.296023e-02 3.131363e-05 -1.900498e-05 3.520530e-06 2.271959e-05
11555.800000 8.147093e-01 1.872676e-02 2.589044e-02 6.530452e-02 4.032751e-05 -1.912087e-05 3.444680e-07 5.662007e-06
11556.000000 8.095015e-01 1.870159e-02 2.560376e-02 6.263262e-02 4.842370e-05 -1.531623e-05 1.868520e-06 2.103192e-05
11556.200000 8.124925e-01 1.869418e-02 2.550942e-02 6.318411e-02 5.366041e-05 -1.623355e-05 2.034321e-05 1.189551e-05
11556.400000 8.069721e-01 1.859727e-02 2.502981e-02 6.563592e-02 4.939446e-05 -1.873917e-05 2.402195e-05 -3.650026e-06
11556.600000 8.136071e-01 1.872446e-02 2.529867e-02 6.499659e-02 4.602419e-05 -1.455990e-05 2.153319e-05 2.568228e-05
11556.800000 8.079002e-01 1.859679e-02 2.487305e-02 6.400555e-02 5.071893e-05 -1.433003e-05 1.321539e-05 2.505081e-05
11557.000000 8.120534e-01 1.877203e-02 2.471614e-02 6.433693e-02 5.824660e-05 -1.511409e-05 2.157364e-05 1.904813e-05
11557.200000 8.090630e-01 1.864776e-02 2.454376e-02 6.523354e-02 6.756642e-05 -1.355311e-05 3.009429e-05 2.484185e-05
11557.400000 8.129210e-01 1.875091e-02 2.437036e-02 6.511785e-02 4.492160e-05 -8.435626e-06 2.772113e-05 2.500579e-05
11557.600000 8.071060e-01 1.855092e-02 2.396014e-02 6.700935e-02 4.518335e-05 -1.290317e-05 2.368544e-05 2.745971e-05
11557.800000 8.099478e-01 1.867805e-02 2.400866e-02 6.703830e-02 3.316969e-05 -8.147805e-06 3.239205e-05 2.113259e-05
11558.000000 8.120016e-01 1.868014e-02 2.389141e-02 6.964747e-02 5.474839e-05 -7.321266e-06 2.982247e-05 2.793844e-05
11558.200000 8.087895e-01 1.873143e-02 2.343119e-02 6.931543e-02 5.497234e-05 -1.509941e-05 1.942176e-05 2.182695e-05
11558.400000 8.077789e-01 1.861706e-02 2.301359e-02 6.758485e-02 6.638105e-05 -1.583349e-05 8.681772e-06 2.094552e-05
11558.600000 8.110082e-01 1.879463e-02 2.284188e-02 6.715590e-02 6.702041e-05 -1.170530e-05 3.385569e-05 1.935047e-05
11558.800000 8.140342e-01 1.872303e-02 2.282252e-02 7.043381e-02 6.620161e-05 -1.401681e-05 3.420365e-05 2.075544e-05
11559.000000 7.977895e-01 1.839726e-02 2.176612e-02 6.960060e-02 5.785574e-05 -4.349482e-06 3.625589e-05 1.652222e-05
11559.200000 8.114282e-01 1.875063e-02 2.204552e-02 7.133081e-02 5.679988e-05 -1.543085e-05 3.233975e-05 2.424857e-05
