# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271178
# UID: fd4a787e-f571-4a5d-be68-59a0581fbf47
# Comment: 
# Start time: 10/18/2023  21:24:56
# Stop time: 10/18/2023  21:25:28
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468720 4.204430e-01 7.194074e-03 1.173420e-02 2.615115e-02 2.957591e-05 -6.572889e-06 4.931323e-06 3.586498e-05
11385.468720 8.263564e-01 1.408509e-02 2.309367e-02 5.180084e-02 6.015043e-05 -7.745946e-06 7.321548e-06 6.134022e-05
11390.468720 8.323241e-01 1.427560e-02 2.346162e-02 5.199533e-02 6.148508e-05 -1.089100e-05 8.989917e-06 6.328364e-05
11395.468720 8.397505e-01 1.470054e-02 2.398861e-02 5.197453e-02 6.032932e-05 -1.564531e-05 1.726417e-05 6.940759e-05
11400.468720 8.382381e-01 1.482207e-02 2.416881e-02 5.215538e-02 5.982411e-05 -1.180904e-05 2.372549e-05 6.852883e-05
11405.468720 8.361751e-01 1.507698e-02 2.455030e-02 5.214686e-02 5.532142e-05 -1.409387e-05 1.871281e-05 7.434508e-05
11410.468720 8.338496e-01 1.511388e-02 2.471085e-02 5.193356e-02 5.579851e-05 -9.601439e-06 4.566530e-06 5.576798e-05
11415.468720 8.253874e-01 1.499744e-02 2.459800e-02 5.146243e-02 5.486818e-05 -1.362912e-05 7.594664e-06 5.842504e-05
11420.468720 8.253531e-01 1.510341e-02 2.474560e-02 5.142172e-02 4.887405e-05 -7.021814e-06 1.046653e-05 5.952963e-05
11425.468720 8.329646e-01 1.545344e-02 2.530261e-02 5.228871e-02 5.262003e-05 -1.111169e-05 2.526039e-05 4.219817e-05
11430.468720 8.327235e-01 1.564636e-02 2.562668e-02 5.265777e-02 5.740574e-05 -2.104147e-05 2.655048e-05 4.360988e-05
11435.468720 8.316052e-01 1.578239e-02 2.584715e-02 5.257299e-02 6.284066e-05 -2.906063e-05 2.386723e-05 5.596815e-05
11440.468720 8.311534e-01 1.593829e-02 2.610128e-02 5.300414e-02 6.831529e-05 -2.469591e-05 2.053475e-05 5.330298e-05
11445.468720 8.301044e-01 1.598827e-02 2.625547e-02 5.308891e-02 7.169608e-05 -2.145015e-05 2.101503e-05 6.741597e-05
11450.468720 8.284955e-01 1.613438e-02 2.651655e-02 5.280787e-02 7.665888e-05 -1.530063e-05 2.587256e-05 7.965479e-05
11455.468720 8.273049e-01 1.628136e-02 2.671958e-02 5.286909e-02 7.136725e-05 -3.494225e-06 2.937464e-05 7.217064e-05
11460.468720 8.260291e-01 1.621356e-02 2.667822e-02 5.323041e-02 7.131739e-05 -3.503999e-06 2.294053e-05 7.761021e-05
11465.468720 8.253570e-01 1.597914e-02 2.641625e-02 5.330069e-02 6.771511e-05 -8.190918e-06 3.842596e-05 7.809753e-05
11470.468720 8.243110e-01 1.605636e-02 2.661129e-02 5.349705e-02 5.749384e-05 -2.246779e-05 4.645446e-05 7.519184e-05
11475.468720 8.234351e-01 1.645260e-02 2.716197e-02 5.369084e-02 5.376698e-05 -1.613470e-05 3.253340e-05 7.488134e-05
11480.468720 8.230278e-01 1.670568e-02 2.753877e-02 5.374157e-02 4.877186e-05 -1.321442e-05 3.688966e-05 7.416882e-05
