# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271180
# UID: b43a702b-714e-4ff8-9d33-fd9137cc1254
# Comment: 
# Start time: 10/18/2023  21:26:07
# Stop time: 10/18/2023  21:26:39
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425286 4.190264e-01 7.170985e-03 1.171895e-02 2.598102e-02 1.609037e-05 -5.002253e-06 9.356615e-06 2.847831e-05
11385.425286 8.235750e-01 1.406916e-02 2.304265e-02 5.143406e-02 2.764007e-05 -1.810430e-06 2.490806e-05 5.531589e-05
11390.425286 8.292498e-01 1.421729e-02 2.333472e-02 5.154809e-02 2.906224e-05 2.753264e-06 2.468282e-05 5.894442e-05
11395.425286 8.365488e-01 1.463564e-02 2.392584e-02 5.155577e-02 3.756183e-05 -1.100737e-05 1.801473e-05 6.617472e-05
11400.425286 8.352091e-01 1.474406e-02 2.411125e-02 5.184024e-02 3.827370e-05 -1.119662e-05 5.171933e-06 6.324434e-05
11405.425286 8.337426e-01 1.503519e-02 2.448599e-02 5.184878e-02 4.315687e-05 1.799737e-06 3.125523e-06 5.821685e-05
11410.425286 8.306525e-01 1.507874e-02 2.463204e-02 5.159208e-02 4.404635e-05 -5.826286e-06 1.485246e-05 6.214915e-05
11415.425286 8.229421e-01 1.496859e-02 2.457540e-02 5.114794e-02 4.194849e-05 -1.380828e-05 1.698496e-05 5.497197e-05
11420.425286 8.224057e-01 1.504984e-02 2.471282e-02 5.144485e-02 4.653929e-05 -1.179258e-05 3.071360e-05 4.657812e-05
11425.425286 8.296961e-01 1.540213e-02 2.529025e-02 5.219923e-02 4.399544e-05 -9.154884e-06 4.022987e-05 5.482649e-05
11430.425286 8.304876e-01 1.559732e-02 2.556909e-02 5.233831e-02 4.661822e-05 -9.044253e-06 3.342636e-05 4.424597e-05
11435.425286 8.288527e-01 1.572359e-02 2.577523e-02 5.253343e-02 4.463823e-05 -9.310357e-06 1.734605e-05 3.206861e-05
11440.425286 8.281728e-01 1.587903e-02 2.606174e-02 5.245676e-02 4.621200e-05 4.787026e-06 2.885173e-05 4.596004e-05
11445.425286 8.274008e-01 1.594051e-02 2.622974e-02 5.260278e-02 4.367730e-05 4.400223e-06 2.933985e-05 6.136945e-05
11450.425286 8.255208e-01 1.606580e-02 2.642263e-02 5.255460e-02 4.229087e-05 -7.528153e-07 4.199015e-05 6.374568e-05
11455.425286 8.245426e-01 1.620934e-02 2.669129e-02 5.237431e-02 4.874082e-05 5.849916e-07 3.767521e-05 6.139407e-05
11460.425286 8.234378e-01 1.616627e-02 2.670461e-02 5.265928e-02 4.238009e-05 -5.892368e-06 3.224512e-05 5.781923e-05
11465.425286 8.222992e-01 1.591314e-02 2.639601e-02 5.303680e-02 5.433007e-05 -1.875216e-05 2.600089e-05 5.692355e-05
11470.425286 8.214825e-01 1.596317e-02 2.649509e-02 5.310352e-02 4.506586e-05 -2.480852e-05 3.561542e-05 5.814768e-05
11475.425286 8.208292e-01 1.637088e-02 2.704433e-02 5.331173e-02 4.743400e-05 -1.293470e-05 3.059656e-05 5.814027e-05
11480.425286 8.201444e-01 1.661832e-02 2.747701e-02 5.349379e-02 5.272801e-05 -6.352762e-06 1.586140e-05 4.653172e-05
11485.425286 8.187841e-01 1.679848e-02 2.778168e-02 5.379442e-02 5.005408e-05 -2.695419e-06 2.424168e-05 5.385338e-05
11490.425286 8.173169e-01 1.692983e-02 2.796615e-02 5.419829e-02 4.541056e-05 -1.059296e-05 2.563832e-05 6.664621e-05
11495.425286 8.167023e-01 1.701490e-02 2.812458e-02 5.343809e-02 4.233478e-05 -1.109179e-05 2.731863e-05 6.454950e-05
11500.425286 8.161293e-01 1.725635e-02 2.849444e-02 5.371499e-02 3.899825e-05 -1.299658e-05 1.966539e-05 6.352592e-05
11505.425286 8.150636e-01 1.749189e-02 2.889285e-02 5.351194e-02 4.145035e-05 -2.558911e-06 2.493735e-05 5.450779e-05
11510.425286 8.139965e-01 1.756302e-02 2.899596e-02 5.368361e-02 5.267938e-05 -3.675784e-06 3.129737e-05 4.945521e-05
11515.425286 8.131547e-01 1.753979e-02 2.895132e-02 5.423545e-02 5.011944e-05 -5.407949e-06 3.569325e-05 4.422328e-05
11520.425286 8.136026e-01 1.765748e-02 2.906919e-02 5.468438e-02 3.977465e-05 -1.347122e-05 3.665004e-05 6.019903e-05
11525.425286 8.123071e-01 1.774129e-02 2.911771e-02 5.887834e-02 3.682657e-05 -1.203913e-05 3.018252e-05 6.564049e-05
11530.425286 8.109776e-01 1.785251e-02 2.922823e-02 7.855180e-02 4.255659e-05 1.609937e-06 2.887722e-05 6.664791e-05
11534.000000 8.102036e-01 1.784690e-02 2.916440e-02 8.500023e-02 4.008785e-05 -6.642370e-06 3.609277e-05 7.256580e-05
11535.000000 8.097246e-01 1.780089e-02 2.903682e-02 8.326731e-02 3.785664e-05 -6.711244e-06 3.523578e-05 7.577124e-05
11536.000000 8.093263e-01 1.773325e-02 2.899955e-02 7.939712e-02 3.461105e-05 -1.108167e-05 2.418443e-05 5.927507e-05
11537.000000 8.097113e-01 1.763743e-02 2.872406e-02 7.434770e-02 3.950478e-05 -1.139530e-05 2.950137e-05 6.338063e-05
11538.000000 8.098116e-01 1.757821e-02 2.858724e-02 7.284249e-02 4.858901e-05 -5.269050e-06 2.896614e-05 5.822558e-05
11539.000000 8.089264e-01 1.766090e-02 2.865166e-02 7.015804e-02 4.607429e-05 -9.461375e-06 2.665376e-05 5.814700e-05
11540.000000 8.087563e-01 1.788063e-02 2.880971e-02 6.457928e-02 4.074396e-05 -7.343680e-06 2.307820e-05 6.584957e-05
11541.000000 8.089205e-01 1.808128e-02 2.905914e-02 6.005360e-02 5.095352e-05 -5.994060e-06 4.016304e-05 6.471010e-05
