# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271181
# UID: b8b7baa0-0387-4a44-ae54-72e016862606
# Comment: 
# Start time: 10/18/2023  21:26:42
# Stop time: 10/18/2023  21:27:14
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.187501e-01 7.170306e-03 1.171348e-02 2.585831e-02 2.069833e-05 -5.042695e-06 7.241956e-06 2.576966e-05
11385.468179 8.230883e-01 1.405967e-02 2.304808e-02 5.130513e-02 4.711028e-05 -1.360620e-05 1.075774e-05 5.242806e-05
11390.468179 8.289752e-01 1.422177e-02 2.334767e-02 5.156862e-02 5.413806e-05 -1.342601e-05 9.596008e-06 5.279622e-05
11395.468179 8.365424e-01 1.465100e-02 2.393312e-02 5.165572e-02 4.572210e-05 -1.323973e-05 1.366493e-05 4.267370e-05
11400.468179 8.348868e-01 1.473739e-02 2.412288e-02 5.163194e-02 4.551924e-05 -1.581846e-05 8.630573e-06 3.026678e-05
11405.468179 8.330542e-01 1.499930e-02 2.450189e-02 5.146366e-02 3.836813e-05 -1.281942e-05 3.938425e-06 4.537208e-05
11410.468179 8.299485e-01 1.504109e-02 2.463666e-02 5.142652e-02 3.310958e-05 -1.296253e-05 2.292309e-06 3.345363e-05
11415.468179 8.221838e-01 1.492526e-02 2.451797e-02 5.101348e-02 3.307136e-05 -1.139795e-05 4.032912e-06 4.723370e-05
11420.468179 8.226198e-01 1.504247e-02 2.475406e-02 5.118294e-02 3.397261e-05 -7.854530e-06 1.584075e-05 5.515605e-05
11425.468179 8.295425e-01 1.540508e-02 2.527364e-02 5.189396e-02 4.333864e-05 -1.435989e-05 1.842503e-05 5.721170e-05
11430.468179 8.304426e-01 1.560884e-02 2.556558e-02 5.217648e-02 4.362635e-05 -4.225878e-06 2.188790e-05 4.738413e-05
11435.468179 8.286292e-01 1.572868e-02 2.577095e-02 5.201658e-02 4.232005e-05 -2.453494e-06 2.021083e-05 5.539637e-05
11440.468179 8.273305e-01 1.587435e-02 2.599461e-02 5.243512e-02 4.373443e-05 -6.888955e-06 1.967519e-05 5.993193e-05
