# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270775
# UID: 11e21c16-9275-439d-8785-f99b0ca56f7c
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:19:39
# Stop time: 10/18/2023  12:20:11
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.213813e-01 4.522166e-01 5.874615e-01 8.658424e-02 1.644348e-05 -2.310000e-05 -1.572542e-06 2.319809e-05
11385.425245 8.281076e-01 8.901258e-01 1.157966e+00 1.713262e-01 3.953802e-05 -4.710301e-05 -4.706956e-06 4.671974e-05
11390.425245 8.339295e-01 8.983688e-01 1.171831e+00 1.720300e-01 3.969318e-05 -4.642990e-05 -4.591428e-06 4.759236e-05
11395.425245 8.416905e-01 9.091670e-01 1.189231e+00 1.733112e-01 2.530974e-05 -4.609015e-05 8.963494e-08 4.902195e-05
11400.425245 8.401043e-01 9.096508e-01 1.192562e+00 1.734150e-01 2.568134e-05 -4.712208e-05 2.895469e-09 5.015117e-05
11405.425245 8.384135e-01 9.099760e-01 1.195783e+00 1.737072e-01 2.416338e-05 -5.130562e-05 -7.071183e-06 4.856234e-05
11410.425245 8.350011e-01 9.082732e-01 1.196442e+00 1.733606e-01 2.629056e-05 -5.322850e-05 -7.031226e-06 4.360850e-05
11415.425245 8.269324e-01 9.015895e-01 1.190195e+00 1.719476e-01 3.264243e-05 -5.286727e-05 -5.375582e-06 4.182304e-05
11420.425245 8.262642e-01 9.029112e-01 1.194952e+00 1.723283e-01 3.107804e-05 -4.969448e-05 1.510077e-06 4.250476e-05
11425.425245 8.341833e-01 9.140657e-01 1.213258e+00 1.748033e-01 3.583391e-05 -4.372398e-05 2.809534e-06 4.120439e-05
