# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270776
# UID: 0053a9c2-f3cc-446c-88c0-b096c6aaa908
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:20:14
# Stop time: 10/18/2023  12:20:46
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.226277e-01 4.536176e-01 5.895566e-01 8.698444e-02 1.143496e-05 -1.189840e-05 5.597064e-06 1.720540e-06
11385.425245 8.308257e-01 8.931502e-01 1.162299e+00 1.720537e-01 1.749046e-05 -1.857700e-05 1.063075e-05 4.538867e-06
11390.425245 8.366646e-01 9.014260e-01 1.176095e+00 1.727272e-01 2.489431e-05 -2.441855e-05 1.597996e-05 7.767000e-06
11395.425245 8.439651e-01 9.117222e-01 1.192785e+00 1.739018e-01 2.371770e-05 -3.158321e-05 3.091118e-05 1.362033e-05
11400.425245 8.425986e-01 9.124049e-01 1.196344e+00 1.741972e-01 2.195321e-05 -3.058977e-05 3.338180e-05 1.797390e-05
11405.425245 8.409119e-01 9.127468e-01 1.199712e+00 1.741839e-01 1.846870e-05 -3.446623e-05 2.192594e-05 6.142938e-06
11410.425245 8.381191e-01 9.117759e-01 1.201417e+00 1.742184e-01 2.233825e-05 -2.459192e-05 2.329004e-05 3.302833e-06
11415.425245 8.296713e-01 9.046385e-01 1.194726e+00 1.727994e-01 1.747808e-05 -2.319556e-05 1.052442e-05 -2.040310e-06
11420.425245 8.290467e-01 9.059724e-01 1.199549e+00 1.732192e-01 1.815164e-05 -2.675970e-05 1.806673e-05 2.028630e-07
11425.425245 8.367892e-01 9.169392e-01 1.217492e+00 1.754622e-01 1.843027e-05 -2.601105e-05 2.699191e-05 1.261307e-05
11430.425245 8.381235e-01 9.207252e-01 1.225722e+00 1.763248e-01 1.274013e-05 -2.986446e-05 2.790505e-05 1.080085e-05
11435.425245 8.363240e-01 9.208244e-01 1.228882e+00 1.759523e-01 1.532175e-05 -3.039541e-05 2.217387e-05 2.793307e-05
11440.425245 8.349045e-01 9.213875e-01 1.232640e+00 1.759796e-01 1.417274e-05 -2.976934e-05 1.589992e-05 1.776237e-05
11445.425245 8.339942e-01 9.225139e-01 1.237336e+00 1.763676e-01 1.627803e-06 -2.550146e-05 1.497467e-05 2.163440e-05
11450.425245 8.330163e-01 9.235875e-01 1.241640e+00 1.772254e-01 2.743855e-06 -4.203079e-05 1.300245e-05 2.091237e-05
11455.425245 8.325613e-01 9.252819e-01 1.246604e+00 1.776853e-01 9.126971e-06 -4.389821e-05 2.740245e-05 1.509005e-05
11460.425245 8.307597e-01 9.254085e-01 1.249677e+00 1.777727e-01 1.528597e-05 -3.994581e-05 2.829931e-05 1.596905e-05
11465.425245 8.291104e-01 9.256328e-01 1.252962e+00 1.776100e-01 1.119915e-05 -4.209128e-05 3.891059e-05 2.194990e-05
11470.425245 8.287125e-01 9.274544e-01 1.258161e+00 1.784663e-01 8.426740e-06 -3.652216e-05 3.161433e-05 2.016204e-05
11475.425245 8.277956e-01 9.286102e-01 1.262265e+00 1.792998e-01 7.809981e-06 -2.747381e-05 2.778461e-05 9.916748e-06
