# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270779
# UID: 309260f1-4edf-4e05-9618-16c9d54bfb29
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:22:00
# Stop time: 10/18/2023  12:22:32
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.221503e-01 4.529280e-01 5.885678e-01 8.718487e-02 2.052368e-06 -1.329234e-05 1.367989e-05 1.543915e-05
11385.425245 8.295101e-01 8.912568e-01 1.159839e+00 1.722412e-01 -2.409087e-06 -2.587186e-05 2.727237e-05 3.962158e-05
11390.425245 8.353121e-01 8.993966e-01 1.173320e+00 1.729519e-01 -4.381918e-06 -2.815322e-05 2.849812e-05 3.741946e-05
11395.425245 8.429947e-01 9.101735e-01 1.190711e+00 1.738538e-01 -4.629825e-06 -2.504278e-05 2.869769e-05 3.230641e-05
11400.425245 8.415441e-01 9.109353e-01 1.194363e+00 1.745325e-01 -4.303026e-06 -2.606150e-05 2.390385e-05 2.061427e-05
11405.425245 8.394064e-01 9.107814e-01 1.197138e+00 1.743229e-01 -1.795980e-06 -3.586024e-05 2.870808e-05 3.053071e-05
11410.425245 8.371727e-01 9.105530e-01 1.199711e+00 1.745958e-01 -9.190956e-07 -3.392188e-05 2.974428e-05 2.218376e-05
11415.425245 8.288782e-01 9.034844e-01 1.193059e+00 1.732080e-01 2.298376e-06 -3.482447e-05 3.275494e-05 1.798387e-05
11420.425245 8.282572e-01 9.048291e-01 1.197816e+00 1.739080e-01 2.745048e-06 -2.625733e-05 2.733323e-05 2.872517e-05
11425.425245 8.354352e-01 9.149619e-01 1.214774e+00 1.759721e-01 7.513014e-06 -1.912524e-05 2.499921e-05 2.668834e-05
11430.425245 8.368070e-01 9.187839e-01 1.222801e+00 1.766241e-01 4.096718e-06 -2.727865e-05 3.288797e-05 3.212351e-05
11435.425245 8.349838e-01 9.188232e-01 1.225980e+00 1.766850e-01 -1.085861e-06 -2.804667e-05 3.775080e-05 4.726230e-05
11440.425245 8.340573e-01 9.199156e-01 1.230414e+00 1.767981e-01 -4.275514e-06 -3.084208e-05 2.834867e-05 5.009070e-05
11445.425245 8.332282e-01 9.212539e-01 1.235244e+00 1.774408e-01 -3.120733e-06 -3.336210e-05 3.468832e-05 5.356127e-05
11450.425245 8.318375e-01 9.219441e-01 1.238974e+00 1.775387e-01 5.976663e-06 -3.678484e-05 3.387959e-05 6.000612e-05
11455.425245 8.309650e-01 9.231534e-01 1.243574e+00 1.776585e-01 7.328944e-06 -2.811399e-05 3.122402e-05 5.956143e-05
11460.425245 8.292730e-01 9.233225e-01 1.246759e+00 1.781992e-01 8.602675e-06 -2.930265e-05 3.239052e-05 5.160955e-05
11465.425245 8.285467e-01 9.246011e-01 1.251308e+00 1.787961e-01 4.726949e-06 -2.930149e-05 2.406029e-05 4.913964e-05
11470.425245 8.277152e-01 9.257796e-01 1.255831e+00 1.788287e-01 7.305069e-06 -2.486970e-05 2.088477e-05 4.859036e-05
11475.425245 8.259716e-01 9.259840e-01 1.258808e+00 1.790687e-01 8.861824e-06 -2.741887e-05 2.598156e-05 4.316467e-05
11480.425245 8.251275e-01 9.273256e-01 1.263201e+00 1.799281e-01 3.500162e-06 -4.189620e-05 1.442846e-05 4.036053e-05
11485.425245 8.251223e-01 9.295365e-01 1.268765e+00 1.806215e-01 -5.306373e-06 -4.031633e-05 1.768033e-05 3.430764e-05
11490.425245 8.241070e-01 9.305484e-01 1.272348e+00 1.813278e-01 -5.890084e-06 -3.603856e-05 1.513239e-05 3.840450e-05
11495.425245 8.228424e-01 9.311803e-01 1.275417e+00 1.814872e-01 -1.542893e-06 -4.041683e-05 1.374841e-05 2.812393e-05
11500.425245 8.216964e-01 9.319209e-01 1.278453e+00 1.825664e-01 -1.159658e-05 -3.039525e-05 1.638676e-05 2.806664e-05
11505.425245 8.204872e-01 9.327525e-01 1.281062e+00 1.832347e-01 -5.360769e-06 -2.990730e-05 2.189910e-05 2.794612e-05
11510.425245 8.199970e-01 9.342233e-01 1.284267e+00 1.845455e-01 1.792433e-06 -3.114077e-05 2.255806e-05 2.288827e-05
11515.425245 8.187576e-01 9.347974e-01 1.285253e+00 1.854606e-01 5.193116e-06 -3.112955e-05 1.163139e-05 1.476265e-05
11520.425245 8.184356e-01 9.364411e-01 1.286917e+00 1.870250e-01 -2.773907e-06 -3.623442e-05 1.986530e-05 6.412838e-06
11525.425245 8.175078e-01 9.373783e-01 1.286338e+00 1.890799e-01 -7.051341e-06 -4.503370e-05 1.623335e-05 6.488998e-06
11530.425245 8.171039e-01 9.387397e-01 1.284627e+00 1.917663e-01 -3.255371e-06 -5.194229e-05 2.186735e-05 1.462072e-05
11534.000000 8.158405e-01 9.385391e-01 1.279679e+00 1.933963e-01 1.548597e-06 -4.577648e-05 1.907339e-05 8.941506e-06
11535.000000 8.161587e-01 9.392195e-01 1.279029e+00 1.948409e-01 8.202982e-07 -4.537156e-05 1.144626e-05 4.655496e-06
11536.000000 8.167985e-01 9.403095e-01 1.278744e+00 1.954378e-01 -1.694005e-06 -4.345015e-05 7.470969e-06 1.126412e-05
11537.000000 8.155783e-01 9.390699e-01 1.275086e+00 1.958065e-01 -7.929049e-06 -4.346381e-05 1.790070e-05 1.095734e-05
11538.000000 8.148546e-01 9.386269e-01 1.271811e+00 1.969803e-01 -9.825329e-06 -3.864067e-05 2.513939e-05 1.345119e-06
11539.000000 8.160627e-01 9.403122e-01 1.271764e+00 1.981798e-01 -8.670311e-06 -3.560594e-05 3.421549e-05 6.352816e-06
11540.000000 8.152702e-01 9.396450e-01 1.267870e+00 1.977405e-01 5.184333e-07 -3.649771e-05 2.743168e-05 3.560792e-06
11541.000000 8.144612e-01 9.389876e-01 1.263917e+00 1.995063e-01 2.708281e-07 -3.305970e-05 3.279730e-05 1.986512e-06
11541.200000 8.175222e-01 9.426518e-01 1.267893e+00 2.005268e-01 -2.258324e-06 -3.015890e-05 3.406357e-05 1.133957e-05
11541.400000 8.214196e-01 9.469582e-01 1.273158e+00 2.021145e-01 -6.701925e-06 -2.658481e-05 3.250102e-05 -8.119443e-07
11541.600000 8.103856e-01 9.347236e-01 1.255812e+00 2.016570e-01 -6.237580e-07 -2.715089e-05 3.086795e-05 6.065668e-06
11541.800000 8.155737e-01 9.409208e-01 1.263269e+00 1.997382e-01 -8.515518e-06 -3.665020e-05 2.723351e-05 9.766073e-07
11542.000000 8.161685e-01 9.412571e-01 1.263653e+00 2.012414e-01 5.971312e-06 -3.331159e-05 2.717663e-05 4.481895e-06
11542.200000 8.111740e-01 9.354896e-01 1.254764e+00 2.016414e-01 -1.410920e-06 -2.541657e-05 2.136417e-05 5.520357e-06
11542.400000 8.120376e-01 9.368875e-01 1.255981e+00 1.999471e-01 8.525596e-06 -2.464855e-05 9.736030e-06 4.034902e-06
11542.600000 8.200271e-01 9.457038e-01 1.267466e+00 2.014318e-01 -1.516613e-06 -2.565405e-05 5.261700e-06 9.975001e-06
11542.800000 8.142072e-01 9.389861e-01 1.257281e+00 2.013978e-01 -1.232166e-05 -2.275953e-05 2.351386e-05 1.334793e-05
11543.000000 8.155424e-01 9.408688e-01 1.259386e+00 2.032198e-01 8.886893e-06 -2.561255e-05 2.065568e-05 1.958729e-05
11543.200000 8.103420e-01 9.346538e-01 1.249698e+00 2.003500e-01 -6.078354e-06 -2.509496e-05 1.201436e-05 9.445986e-06
11543.400000 8.085144e-01 9.327984e-01 1.245471e+00 2.015134e-01 7.283939e-06 -1.468811e-05 2.252177e-05 9.366139e-06
11543.600000 8.111694e-01 9.356367e-01 1.249152e+00 2.030633e-01 2.288315e-07 -1.553886e-05 -3.659928e-06 3.893776e-06
11543.800000 8.163321e-01 9.418780e-01 1.256421e+00 2.066291e-01 -1.135980e-05 -1.862993e-05 6.477130e-06 8.811915e-06
11544.000000 8.102302e-01 9.351299e-01 1.247040e+00 2.043795e-01 1.339327e-06 -2.304113e-05 1.773163e-05 1.113828e-05
11544.200000 8.211243e-01 9.475899e-01 1.261611e+00 2.083667e-01 -6.152389e-07 -1.901853e-05 2.341747e-05 2.252977e-05
11544.400000 8.112530e-01 9.362801e-01 1.245688e+00 2.031376e-01 1.449156e-05 -2.596341e-05 2.707742e-05 6.123704e-06
11544.600000 8.165068e-01 9.421468e-01 1.252479e+00 2.040191e-01 2.792175e-06 -1.955642e-05 2.224692e-05 2.120593e-05
11544.800000 8.103969e-01 9.354182e-01 1.242123e+00 2.058787e-01 1.589489e-05 -2.386319e-05 1.718800e-05 1.929725e-05
11545.000000 8.125510e-01 9.380337e-01 1.243893e+00 2.056044e-01 -4.646264e-06 -3.749316e-05 2.236202e-05 1.852259e-05
11545.200000 8.160280e-01 9.415886e-01 1.248578e+00 2.081652e-01 -7.984286e-07 -3.287220e-05 8.923581e-06 5.232800e-06
