# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270781
# UID: ec5835dd-76e7-4cd3-a57e-e7c4d2743db7
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:23:11
# Stop time: 10/18/2023  12:23:42
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.228447e-01 4.538219e-01 5.896412e-01 8.741729e-02 -3.505241e-06 -2.009404e-05 1.917809e-06 2.044050e-05
11385.425245 8.310714e-01 8.931995e-01 1.162344e+00 1.729618e-01 -8.011892e-06 -3.377755e-05 2.195758e-06 4.154533e-05
11390.425245 8.368657e-01 9.012864e-01 1.175756e+00 1.737125e-01 -5.718581e-06 -3.184913e-05 3.309335e-06 5.016527e-05
11395.425245 8.447945e-01 9.122624e-01 1.193319e+00 1.746999e-01 -5.814138e-06 -3.056804e-05 1.148646e-05 4.087402e-05
11400.425245 8.430033e-01 9.125059e-01 1.196394e+00 1.749341e-01 -5.419892e-06 -3.562305e-05 6.269779e-06 3.010472e-05
11405.425245 8.410702e-01 9.126243e-01 1.199438e+00 1.750192e-01 -6.046357e-06 -3.156537e-05 1.493682e-06 4.294341e-05
11410.425245 8.377381e-01 9.111409e-01 1.200206e+00 1.748504e-01 -1.750693e-05 -2.677890e-05 -7.119932e-06 4.009743e-05
11415.425245 8.292780e-01 9.039385e-01 1.193250e+00 1.739151e-01 -1.699122e-05 -1.737491e-05 -2.819148e-06 5.092630e-05
11420.425245 8.292455e-01 9.059922e-01 1.199088e+00 1.740822e-01 -1.003918e-05 -1.323600e-05 5.734984e-06 4.221060e-05
11425.425245 8.370328e-01 9.169651e-01 1.217157e+00 1.766754e-01 -1.521137e-05 -2.535554e-05 8.529999e-06 4.037264e-05
