# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270782
# UID: b3cec1f5-43ae-4ae1-96fb-ce7fb31e118e
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:23:46
# Stop time: 10/18/2023  12:24:17
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.224251e-01 4.532182e-01 5.889516e-01 8.744880e-02 4.082282e-06 -8.915717e-06 8.868084e-06 9.776949e-06
11385.425245 8.302130e-01 8.922165e-01 1.161038e+00 1.730208e-01 1.386935e-05 -2.648442e-05 2.022771e-05 2.113482e-05
11390.425245 8.363989e-01 9.009926e-01 1.175391e+00 1.735670e-01 1.215459e-05 -2.612881e-05 1.983945e-05 3.643094e-06
11395.425245 8.436514e-01 9.111882e-01 1.191980e+00 1.746557e-01 7.152506e-06 -2.026042e-05 2.725142e-05 -5.996224e-06
11400.425245 8.424313e-01 9.120585e-01 1.195890e+00 1.752135e-01 7.197747e-06 -1.968205e-05 2.129247e-05 -7.162980e-06
11405.425245 8.398418e-01 9.113766e-01 1.197804e+00 1.752484e-01 5.184673e-06 -2.754955e-05 1.592422e-05 6.020183e-06
11410.425245 8.371422e-01 9.105824e-01 1.199597e+00 1.749639e-01 8.310970e-06 -2.403327e-05 1.996720e-05 4.885573e-06
11415.425245 8.289317e-01 9.036030e-01 1.193054e+00 1.736951e-01 2.896338e-06 -2.048072e-05 2.212240e-05 1.588947e-05
11420.425245 8.288428e-01 9.055918e-01 1.198738e+00 1.743536e-01 -6.954497e-06 -1.614394e-05 2.372744e-05 1.848775e-05
11425.425245 8.362739e-01 9.161406e-01 1.216379e+00 1.767793e-01 -7.166463e-06 -1.275810e-05 1.890230e-05 1.364930e-05
11430.425245 8.382325e-01 9.205639e-01 1.225112e+00 1.772412e-01 3.967821e-07 -1.622975e-05 2.510959e-05 7.093872e-06
11435.425245 8.359098e-01 9.201585e-01 1.227647e+00 1.774944e-01 4.445456e-07 -2.856070e-05 2.008901e-05 2.177340e-06
11440.425245 8.342431e-01 9.204159e-01 1.231057e+00 1.774636e-01 -1.011851e-06 -4.014795e-05 1.643113e-05 3.083540e-06
11445.425245 8.327766e-01 9.209648e-01 1.234877e+00 1.776230e-01 -3.950748e-06 -5.175162e-05 1.893453e-05 3.574792e-06
11450.425245 8.317982e-01 9.220323e-01 1.239318e+00 1.778535e-01 -6.840393e-06 -4.851690e-05 2.083896e-05 6.413946e-06
11455.425245 8.307809e-01 9.230456e-01 1.243486e+00 1.779822e-01 -7.881186e-06 -4.012861e-05 2.524084e-05 4.298772e-06
11460.425245 8.299368e-01 9.242734e-01 1.248181e+00 1.784389e-01 -1.938958e-06 -4.503938e-05 2.334007e-05 -1.234004e-06
11465.425245 8.298049e-01 9.264092e-01 1.254001e+00 1.788505e-01 4.277517e-06 -4.255449e-05 3.809164e-05 4.760887e-06
11470.425245 8.287493e-01 9.273787e-01 1.257985e+00 1.795284e-01 8.120627e-06 -2.833566e-05 3.843789e-05 7.808695e-06
11475.425245 8.276788e-01 9.282804e-01 1.261953e+00 1.797673e-01 8.812585e-06 -2.111174e-05 3.663098e-05 4.419243e-06
11480.425245 8.262039e-01 9.287653e-01 1.265339e+00 1.803490e-01 8.676989e-06 -2.136190e-05 2.763264e-05 6.320162e-06
11485.425245 8.253926e-01 9.299922e-01 1.269525e+00 1.810160e-01 5.832018e-06 -3.263676e-05 4.362521e-05 8.892059e-06
11490.425245 8.243769e-01 9.309071e-01 1.273299e+00 1.814867e-01 2.448070e-06 -3.246599e-05 5.047064e-05 2.813827e-07
11495.425245 8.228501e-01 9.312167e-01 1.275808e+00 1.820407e-01 -8.771274e-06 -2.958925e-05 4.718873e-05 -7.168066e-07
11500.425245 8.226897e-01 9.332123e-01 1.280159e+00 1.829910e-01 -8.004439e-06 -3.346757e-05 5.291285e-05 2.521554e-06
11505.425245 8.224345e-01 9.350778e-01 1.284239e+00 1.843232e-01 -3.271245e-06 -3.884095e-05 4.151746e-05 -1.966458e-06
11510.425245 8.211230e-01 9.355708e-01 1.285898e+00 1.850229e-01 7.380695e-06 -3.700250e-05 4.296396e-05 -1.971547e-05
11515.425245 8.196783e-01 9.359813e-01 1.286835e+00 1.861628e-01 6.989708e-07 -2.809634e-05 4.576904e-05 -9.491861e-06
11520.425245 8.191038e-01 9.373979e-01 1.288274e+00 1.877273e-01 -8.802405e-06 -3.084382e-05 4.404244e-05 3.022418e-06
11525.425245 8.176363e-01 9.376342e-01 1.286689e+00 1.894939e-01 1.383755e-06 -3.151246e-05 3.433438e-05 -9.160945e-07
11530.425245 8.167752e-01 9.385105e-01 1.284197e+00 1.918631e-01 1.180500e-06 -2.534856e-05 3.509038e-05 -1.650978e-05
11534.000000 8.167179e-01 9.397201e-01 1.281621e+00 1.942254e-01 -2.608056e-06 -1.621899e-05 2.681535e-05 -2.496548e-05
11535.000000 8.166728e-01 9.401315e-01 1.280397e+00 1.951964e-01 -1.842788e-06 -1.070979e-05 3.508541e-05 -2.616068e-05
11536.000000 8.161231e-01 9.397241e-01 1.277809e+00 1.952433e-01 -5.254493e-06 -1.892851e-05 3.744553e-05 -2.399609e-05
11537.000000 8.171294e-01 9.412666e-01 1.277898e+00 1.965945e-01 -8.197626e-06 -2.169941e-05 2.948710e-05 -1.957748e-05
11538.000000 8.170416e-01 9.415646e-01 1.276222e+00 1.983477e-01 -1.604939e-05 -2.019907e-05 2.851996e-05 -2.150611e-05
11539.000000 8.176105e-01 9.425072e-01 1.274913e+00 1.983751e-01 -1.988006e-05 -2.668955e-05 2.877244e-05 -2.465317e-05
11540.000000 8.166816e-01 9.417602e-01 1.270863e+00 1.994329e-01 -1.483945e-05 -3.577736e-05 4.160032e-05 -2.258715e-05
11541.000000 8.155254e-01 9.406741e-01 1.266117e+00 2.006276e-01 -1.220250e-05 -3.129698e-05 4.667822e-05 -8.953009e-06
11541.200000 8.115137e-01 9.362217e-01 1.259938e+00 2.026582e-01 -2.445893e-05 -2.994802e-05 5.022143e-05 -3.528430e-06
11541.400000 8.154788e-01 9.400646e-01 1.263263e+00 2.007000e-01 -1.085495e-05 -3.536037e-05 4.167534e-05 -2.273331e-05
11541.600000 8.120390e-01 9.368907e-01 1.258868e+00 2.032522e-01 -5.309279e-06 -3.805746e-05 2.060815e-05 -3.666208e-05
11541.800000 8.169541e-01 9.425527e-01 1.265614e+00 2.018634e-01 1.030828e-05 -3.162605e-05 2.127291e-05 -3.361276e-05
11542.000000 8.208682e-01 9.468604e-01 1.271000e+00 2.047218e-01 2.532606e-06 -3.525182e-05 3.922403e-05 -2.281840e-05
11542.200000 8.106746e-01 9.351749e-01 1.254396e+00 2.014532e-01 5.267380e-06 -3.912968e-05 2.177663e-05 -3.038002e-05
11542.400000 8.144302e-01 9.390811e-01 1.258635e+00 2.049568e-01 -1.524995e-06 -2.794351e-05 2.100052e-05 -2.302829e-05
11542.600000 8.111006e-01 9.362140e-01 1.254203e+00 1.993433e-01 -8.819720e-06 -2.436119e-05 1.918115e-05 -2.337069e-05
11542.800000 8.198824e-01 9.461877e-01 1.266004e+00 2.048632e-01 5.744592e-06 -2.281736e-05 3.241555e-05 -1.993390e-05
11543.000000 8.119050e-01 9.366951e-01 1.253376e+00 2.019449e-01 5.628375e-06 -2.829301e-05 1.945244e-05 -1.911696e-05
11543.200000 8.269778e-01 9.543403e-01 1.276153e+00 2.064989e-01 1.660533e-06 -2.470411e-05 -1.958688e-06 -2.789203e-05
11543.400000 8.079881e-01 9.325612e-01 1.245795e+00 2.011201e-01 -9.192716e-06 -2.906647e-05 1.538241e-06 -3.230324e-05
11543.600000 8.192801e-01 9.456505e-01 1.262113e+00 2.073820e-01 -2.586095e-06 -3.503856e-05 -7.103987e-06 -2.262079e-05
11543.800000 7.987236e-01 9.217650e-01 1.230025e+00 2.023752e-01 6.539334e-06 -3.001790e-05 1.036158e-05 -2.200690e-05
11544.000000 8.213999e-01 9.483962e-01 1.264348e+00 2.049604e-01 -7.055982e-06 -2.219734e-05 1.390309e-05 -2.975529e-05
11544.200000 8.103144e-01 9.351993e-01 1.245889e+00 2.011123e-01 -8.527849e-06 -2.610019e-05 1.312794e-05 -2.975983e-05
11544.400000 8.288991e-01 9.568663e-01 1.272991e+00 2.100914e-01 -2.189847e-05 -3.238751e-05 8.548902e-06 -2.114175e-05
11544.600000 7.864969e-01 9.076048e-01 1.207394e+00 2.001576e-01 -7.384706e-06 -2.726143e-05 1.392242e-05 -2.865611e-05
11544.800000 8.196606e-01 9.462331e-01 1.257147e+00 2.084052e-01 -1.588071e-05 -1.503693e-05 1.715703e-05 -2.446222e-05
11545.000000 8.165883e-01 9.427647e-01 1.251582e+00 2.073448e-01 -8.784804e-06 -1.366588e-05 2.162228e-05 -1.613525e-05
11545.200000 8.138671e-01 9.395698e-01 1.246015e+00 2.071104e-01 -9.528267e-07 -1.275953e-05 2.533492e-05 -2.846477e-05
11545.400000 8.122300e-01 9.373865e-01 1.241737e+00 2.066379e-01 -1.676990e-05 -1.622214e-05 4.259843e-05 -1.976166e-05
11545.600000 8.157595e-01 9.416193e-01 1.246306e+00 2.051928e-01 -1.472103e-05 -1.495249e-05 3.700936e-05 -2.238640e-05
11545.800000 8.124968e-01 9.384806e-01 1.240939e+00 2.081342e-01 -1.200921e-05 -1.713861e-05 3.059101e-05 -2.016292e-05
11546.000000 8.134418e-01 9.394509e-01 1.240609e+00 2.095974e-01 -6.692079e-06 -1.424796e-05 1.692820e-05 -2.649110e-05
11546.200000 8.156401e-01 9.420115e-01 1.243123e+00 2.079304e-01 -2.154894e-05 -1.432694e-05 1.035720e-05 -3.324320e-05
11546.400000 8.164275e-01 9.429532e-01 1.243614e+00 2.094133e-01 -2.377474e-05 -2.035231e-05 5.073657e-06 -3.256487e-05
11546.600000 8.145707e-01 9.405079e-01 1.237996e+00 2.095638e-01 -1.401539e-05 -1.642187e-05 1.698809e-05 -3.580611e-05
11546.800000 8.157717e-01 9.423806e-01 1.239328e+00 2.123810e-01 -2.567621e-05 -2.444056e-05 2.728056e-05 -3.217843e-05
11547.000000 8.171755e-01 9.433316e-01 1.239256e+00 2.126253e-01 -1.046232e-05 -2.505499e-05 2.327237e-05 -2.228355e-05
11547.200000 7.965524e-01 9.195032e-01 1.206500e+00 2.070904e-01 -1.451883e-05 -2.020731e-05 1.986967e-05 -2.318165e-05
11547.400000 8.222611e-01 9.494785e-01 1.244171e+00 2.114460e-01 -7.085144e-06 -2.432368e-05 1.147551e-05 -3.714221e-05
11547.600000 8.005610e-01 9.244301e-01 1.209661e+00 2.105985e-01 -1.261977e-05 -1.343285e-05 1.625354e-05 -3.883439e-05
11547.800000 8.237203e-01 9.513970e-01 1.243793e+00 2.165538e-01 1.042365e-06 -2.261650e-05 3.171948e-05 -2.561908e-05
11548.000000 8.119524e-01 9.376631e-01 1.223803e+00 2.133346e-01 9.946374e-07 -2.710964e-05 1.337256e-05 -2.719334e-05
11548.200000 8.094544e-01 9.350986e-01 1.218736e+00 2.117205e-01 5.253458e-07 -3.030549e-05 -2.099288e-07 -2.656353e-05
11548.400000 8.169891e-01 9.433901e-01 1.228655e+00 2.149712e-01 1.312389e-05 -3.002813e-05 2.705043e-05 -1.994803e-05
11548.600000 8.105056e-01 9.360653e-01 1.217765e+00 2.129456e-01 6.182979e-07 -3.337960e-05 2.562122e-06 -2.587259e-05
11548.800000 8.194657e-01 9.465573e-01 1.228552e+00 2.147410e-01 -2.219693e-06 -2.744613e-05 3.947292e-06 -2.258046e-05
11549.000000 8.168307e-01 9.434568e-01 1.222166e+00 2.158300e-01 -1.530963e-05 -2.456850e-05 1.049096e-05 -1.745116e-05
11549.200000 8.227697e-01 9.503314e-01 1.229186e+00 2.184510e-01 -8.002746e-06 -2.731371e-05 7.711765e-06 -1.214367e-05
11549.400000 8.000247e-01 9.233176e-01 1.191918e+00 2.148874e-01 -1.480829e-05 -2.554324e-05 -2.874394e-06 -2.137855e-05
11549.600000 8.187640e-01 9.458241e-01 1.218780e+00 2.175474e-01 -1.139063e-06 -3.638899e-05 2.069059e-05 -8.819275e-06
11549.800000 8.159758e-01 9.424100e-01 1.211966e+00 2.187847e-01 -2.703997e-06 -5.260811e-05 2.486882e-05 -1.247051e-05
11550.000000 8.133835e-01 9.394214e-01 1.206008e+00 2.203018e-01 -2.425053e-05 -3.849835e-05 1.681537e-05 -9.748593e-06
11550.200000 8.180389e-01 9.448571e-01 1.210460e+00 2.191542e-01 -2.154206e-05 -5.005087e-05 1.501609e-05 -1.769246e-05
11550.400000 8.151610e-01 9.413898e-01 1.203838e+00 2.203349e-01 -1.738148e-05 -4.778212e-05 2.070503e-05 -9.226155e-06
11550.600000 8.121930e-01 9.381570e-01 1.197088e+00 2.210065e-01 -6.804859e-06 -3.840681e-05 -2.337836e-06 -2.195816e-05
11550.800000 8.163124e-01 9.428413e-01 1.201050e+00 2.221353e-01 -4.146717e-06 -4.713145e-05 1.564781e-05 -1.800148e-05
11551.000000 8.134578e-01 9.394016e-01 1.193210e+00 2.220892e-01 -1.624575e-06 -5.276825e-05 1.058514e-05 -2.254298e-05
11551.200000 8.131773e-01 9.390725e-01 1.189984e+00 2.251264e-01 6.766303e-08 -4.438056e-05 -6.472905e-06 -2.639231e-05
11551.400000 8.148175e-01 9.408835e-01 1.189813e+00 2.253187e-01 4.926187e-06 -4.150982e-05 -5.862892e-06 -3.621649e-05
11551.600000 8.146713e-01 9.407576e-01 1.186250e+00 2.260085e-01 5.773050e-07 -3.736973e-05 1.466576e-06 -1.120135e-05
11551.800000 8.127540e-01 9.384997e-01 1.180702e+00 2.259924e-01 1.036945e-05 -3.333935e-05 -2.696530e-07 8.498822e-07
11552.000000 8.128742e-01 9.383714e-01 1.177149e+00 2.253705e-01 -5.242414e-06 -5.274296e-05 4.258673e-06 -2.196366e-05
11552.200000 8.131964e-01 9.385360e-01 1.174569e+00 2.269696e-01 5.435167e-06 -5.202517e-05 5.100600e-06 -7.831629e-06
11552.400000 8.120590e-01 9.378786e-01 1.169896e+00 2.280926e-01 -1.096565e-05 -5.428170e-05 1.024790e-05 -1.064216e-08
11552.600000 8.146675e-01 9.403327e-01 1.169446e+00 2.300144e-01 4.978748e-07 -4.852806e-05 1.539798e-05 1.539327e-06
11552.800000 8.080345e-01 9.325102e-01 1.156000e+00 2.296924e-01 1.108786e-05 -4.976330e-05 1.816598e-05 3.952930e-06
11553.000000 8.166077e-01 9.424905e-01 1.165380e+00 2.329825e-01 2.859730e-05 -4.407577e-05 2.400002e-05 6.968555e-06
11553.200000 8.068915e-01 9.312816e-01 1.147196e+00 2.318133e-01 1.005234e-05 -4.060095e-05 1.812402e-05 -7.945276e-06
11553.400000 8.211215e-01 9.475166e-01 1.163704e+00 2.348308e-01 1.029812e-05 -3.674719e-05 2.152167e-05 -1.027711e-05
11553.600000 8.119769e-01 9.370427e-01 1.145363e+00 2.346808e-01 -1.596049e-06 -3.751040e-05 4.088250e-05 -8.020364e-06
11553.800000 8.094828e-01 9.339624e-01 1.136854e+00 2.379207e-01 9.579752e-06 -4.026421e-05 1.919703e-05 -3.539302e-06
11554.000000 8.181628e-01 9.441170e-01 1.144896e+00 2.379989e-01 4.501982e-06 -3.792634e-05 1.018123e-05 -1.698435e-05
11554.200000 8.084879e-01 9.323400e-01 1.126463e+00 2.374885e-01 1.580813e-05 -3.724280e-05 -2.018895e-06 -8.695865e-06
11554.400000 8.132948e-01 9.384261e-01 1.128805e+00 2.398647e-01 5.487620e-06 -3.511166e-05 1.484697e-06 -1.431433e-06
