# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270783
# UID: 65a898db-e35a-47c2-bac2-4e545f1e2efd
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:24:21
# Stop time: 10/18/2023  12:24:52
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.216714e-01 4.523376e-01 5.878757e-01 8.740766e-02 -9.559175e-08 -1.592470e-05 1.479319e-05 1.186645e-05
11385.425245 8.286217e-01 8.902448e-01 1.158756e+00 1.729249e-01 3.023090e-06 -3.268164e-05 3.098644e-05 2.855238e-05
11390.425245 8.348479e-01 8.990427e-01 1.172969e+00 1.736944e-01 -7.000016e-06 -1.896471e-05 3.190874e-05 2.945790e-05
11395.425245 8.423418e-01 9.095788e-01 1.190088e+00 1.747182e-01 -7.105492e-06 -1.219097e-05 3.262907e-05 2.978969e-05
11400.425245 8.407254e-01 9.099997e-01 1.193440e+00 1.749147e-01 -2.155431e-06 -1.361393e-05 4.469029e-05 3.096223e-05
11405.425245 8.387035e-01 9.098909e-01 1.196163e+00 1.751590e-01 -3.586164e-06 -1.457392e-05 3.237734e-05 3.086162e-05
11410.425245 8.360152e-01 9.091685e-01 1.197945e+00 1.752074e-01 -5.008534e-06 -1.176431e-05 3.100431e-05 3.179252e-05
11415.425245 8.278595e-01 9.022706e-01 1.191576e+00 1.735432e-01 -4.364587e-06 -1.456961e-05 2.305275e-05 3.492524e-05
11420.425245 8.276272e-01 9.039847e-01 1.196992e+00 1.741173e-01 -1.038849e-06 -8.290278e-06 3.980734e-05 4.142614e-05
11425.425245 8.356160e-01 9.152725e-01 1.215329e+00 1.765371e-01 -2.498716e-06 -6.191272e-06 4.354683e-05 4.283130e-05
