# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270785
# UID: 85de057f-a3c6-4098-aa5f-36de1f547528
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:25:31
# Stop time: 10/18/2023  12:26:04
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.215107e-01 4.521655e-01 5.877307e-01 8.742373e-02 5.363441e-06 -5.776126e-06 7.974789e-06 1.349559e-05
11385.425245 8.281902e-01 8.897511e-01 1.158024e+00 1.729715e-01 2.202911e-05 -1.465343e-05 1.097307e-05 2.660968e-05
11390.425245 8.343221e-01 8.983307e-01 1.172050e+00 1.738024e-01 2.653827e-05 -1.896401e-05 4.535245e-06 2.917099e-05
11395.425245 8.421253e-01 9.091154e-01 1.189389e+00 1.747479e-01 2.359938e-05 -2.381422e-05 1.477355e-05 2.894523e-05
11400.425245 8.403188e-01 9.093199e-01 1.192345e+00 1.751377e-01 2.662425e-05 -1.610058e-05 9.819883e-06 4.327011e-06
11405.425245 8.383051e-01 9.093345e-01 1.195220e+00 1.752527e-01 2.870008e-05 -3.061856e-06 5.518269e-06 7.554617e-06
11410.425245 8.357655e-01 9.087299e-01 1.197315e+00 1.749945e-01 2.453417e-05 -1.271444e-05 -1.797169e-06 1.304472e-05
11415.425245 8.274579e-01 9.016665e-01 1.190543e+00 1.736483e-01 1.429146e-05 -1.605811e-05 -5.010035e-07 2.570479e-05
11420.425245 8.266930e-01 9.028080e-01 1.195101e+00 1.742197e-01 2.461715e-05 -9.974383e-06 6.366816e-07 3.236081e-05
11425.425245 8.340085e-01 9.131665e-01 1.212614e+00 1.762610e-01 2.775701e-05 -1.738763e-05 -4.488770e-06 3.638310e-05
