# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270788
# UID: 565e2761-39d2-49f1-8de4-b8c10f214c7b
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:27:18
# Stop time: 10/18/2023  12:27:50
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.201015e-01 4.506961e-01 5.856552e-01 8.744063e-02 1.445635e-05 -7.183042e-06 3.774628e-06 3.649489e-05
11385.425245 8.261418e-01 8.876091e-01 1.155073e+00 1.729672e-01 2.675393e-05 -1.377539e-05 7.519106e-06 7.104591e-05
11390.425245 8.317923e-01 8.956253e-01 1.168477e+00 1.734240e-01 2.058920e-05 -1.368675e-05 1.389411e-05 7.213815e-05
11395.425245 8.390835e-01 9.059846e-01 1.185108e+00 1.744405e-01 1.833115e-05 -2.382942e-05 2.345003e-05 7.220703e-05
11400.425245 8.373540e-01 9.062840e-01 1.188301e+00 1.750373e-01 2.036184e-05 -2.537895e-05 2.365016e-05 8.182227e-05
11405.425245 8.352802e-01 9.061653e-01 1.191124e+00 1.747641e-01 1.290914e-05 -1.392358e-05 1.684889e-05 7.404931e-05
11410.425245 8.332689e-01 9.062303e-01 1.194101e+00 1.747488e-01 2.589449e-05 -1.674318e-05 2.081735e-05 6.500588e-05
11415.425245 8.253153e-01 8.994794e-01 1.187589e+00 1.738848e-01 2.921523e-05 -1.683488e-05 1.666518e-05 6.683866e-05
11420.425245 8.244234e-01 9.004533e-01 1.191884e+00 1.742026e-01 2.142947e-05 -1.179952e-05 1.261365e-05 7.038542e-05
11425.425245 8.316629e-01 9.107822e-01 1.209259e+00 1.764734e-01 2.756300e-05 -1.725945e-05 2.024737e-05 7.054189e-05
11430.425245 8.331107e-01 9.146620e-01 1.217428e+00 1.770484e-01 2.411023e-05 -2.653101e-05 4.689316e-06 6.681195e-05
11435.425245 8.307800e-01 9.142398e-01 1.219668e+00 1.766763e-01 1.829822e-05 -2.690484e-05 1.021002e-05 7.695666e-05
11440.425245 8.300034e-01 9.155161e-01 1.224408e+00 1.772950e-01 3.001069e-05 -3.502028e-05 1.810295e-05 7.351902e-05
11445.425245 8.292179e-01 9.168198e-01 1.229260e+00 1.779792e-01 2.317783e-05 -3.419008e-05 1.513490e-05 7.224727e-05
11450.425245 8.280866e-01 9.177747e-01 1.233443e+00 1.778590e-01 2.652871e-05 -3.028574e-05 1.579910e-05 6.448178e-05
11455.425245 8.275031e-01 9.192264e-01 1.238193e+00 1.782248e-01 1.666105e-05 -2.707664e-05 1.634362e-05 7.928629e-05
11460.425245 8.259937e-01 9.196307e-01 1.241618e+00 1.784524e-01 2.044514e-05 -3.180821e-05 2.670940e-05 7.474168e-05
11465.425245 8.248191e-01 9.204170e-01 1.245593e+00 1.791524e-01 1.545078e-05 -4.364264e-05 2.616842e-05 7.878941e-05
11470.425245 8.234081e-01 9.210412e-01 1.249377e+00 1.791025e-01 1.166577e-05 -4.543556e-05 2.960020e-05 8.303591e-05
11475.425245 8.226949e-01 9.224727e-01 1.253924e+00 1.799111e-01 2.122199e-05 -4.406160e-05 2.696982e-05 8.157769e-05
11480.425245 8.226466e-01 9.246008e-01 1.259307e+00 1.799799e-01 2.229577e-05 -3.885154e-05 2.714777e-05 8.509483e-05
11485.425245 8.219924e-01 9.260344e-01 1.263800e+00 1.805632e-01 1.309732e-05 -4.151304e-05 2.302317e-05 8.965314e-05
11490.425245 8.201028e-01 9.259670e-01 1.265938e+00 1.817228e-01 1.219665e-05 -4.244129e-05 2.119050e-05 9.208889e-05
11495.425245 8.193321e-01 9.271894e-01 1.269754e+00 1.824502e-01 1.273851e-05 -4.718856e-05 2.847751e-05 8.685007e-05
11500.425245 8.185513e-01 9.284564e-01 1.273213e+00 1.832128e-01 1.994502e-05 -5.137847e-05 2.208917e-05 9.428854e-05
11505.425245 8.167243e-01 9.284016e-01 1.274801e+00 1.835540e-01 2.204124e-05 -5.336119e-05 1.742500e-05 9.158064e-05
11510.425245 8.159579e-01 9.296454e-01 1.277553e+00 1.846941e-01 1.932907e-05 -4.681739e-05 1.990774e-05 8.235955e-05
11515.425245 8.152747e-01 9.308898e-01 1.279831e+00 1.862541e-01 1.387949e-05 -4.413584e-05 1.453764e-05 7.702840e-05
11520.425245 8.153449e-01 9.330613e-01 1.282251e+00 1.877490e-01 1.783678e-05 -4.160208e-05 1.480501e-05 8.608236e-05
11525.425245 8.149374e-01 9.345618e-01 1.282576e+00 1.898600e-01 3.492111e-05 -4.474455e-05 3.188611e-05 8.621897e-05
11530.425245 8.132019e-01 9.344485e-01 1.278660e+00 1.918536e-01 2.697289e-05 -4.429125e-05 3.218358e-05 7.910195e-05
11534.000000 8.116597e-01 9.338915e-01 1.273511e+00 1.938512e-01 2.291142e-05 -4.003682e-05 2.771221e-05 8.709474e-05
11535.000000 8.108889e-01 9.333047e-01 1.271032e+00 1.950041e-01 2.375792e-05 -3.866735e-05 2.098420e-05 7.930402e-05
11536.000000 8.116145e-01 9.345932e-01 1.270857e+00 1.952438e-01 1.801053e-05 -4.199011e-05 1.838818e-05 6.976445e-05
11537.000000 8.105438e-01 9.336129e-01 1.267539e+00 1.970062e-01 1.558295e-05 -5.041464e-05 2.221799e-05 7.216111e-05
11538.000000 8.090402e-01 9.321483e-01 1.262998e+00 1.969203e-01 2.012023e-05 -4.983720e-05 4.019415e-06 7.265097e-05
11539.000000 8.109836e-01 9.347536e-01 1.264107e+00 1.981651e-01 2.879109e-05 -5.046365e-05 2.111853e-05 7.518287e-05
11540.000000 8.104629e-01 9.344262e-01 1.260954e+00 1.998896e-01 1.483805e-05 -5.406476e-05 1.342540e-05 7.190244e-05
11541.000000 8.127970e-01 9.374477e-01 1.262172e+00 2.004397e-01 1.433831e-05 -5.326760e-05 2.254213e-05 6.915191e-05
11541.200000 8.169192e-01 9.420834e-01 1.268138e+00 2.031658e-01 1.658305e-05 -5.393195e-05 2.491970e-05 7.077317e-05
11541.400000 8.027124e-01 9.258577e-01 1.245176e+00 1.985114e-01 1.364632e-05 -5.343388e-05 1.658236e-05 8.120335e-05
11541.600000 8.152329e-01 9.404093e-01 1.264068e+00 2.023135e-01 3.265386e-05 -5.310317e-05 3.200101e-05 9.085575e-05
11541.800000 8.092462e-01 9.336487e-01 1.254040e+00 2.006971e-01 2.177543e-05 -4.798784e-05 4.398926e-05 9.596837e-05
11542.000000 8.093665e-01 9.337662e-01 1.253429e+00 2.003974e-01 2.698966e-05 -4.730850e-05 4.476360e-05 8.381494e-05
11542.200000 8.141272e-01 9.393504e-01 1.259844e+00 2.042386e-01 2.465725e-05 -3.956157e-05 3.243211e-05 8.451462e-05
11542.400000 8.096020e-01 9.338504e-01 1.251864e+00 2.023385e-01 1.008381e-05 -4.859837e-05 3.207400e-05 8.351430e-05
11542.600000 8.104762e-01 9.355961e-01 1.253110e+00 2.008928e-01 1.704931e-05 -5.003009e-05 3.369702e-05 8.750222e-05
11542.800000 8.104040e-01 9.352501e-01 1.251998e+00 2.021157e-01 8.152281e-06 -4.767678e-05 3.380008e-05 7.847129e-05
11543.000000 8.148040e-01 9.399544e-01 1.258315e+00 2.037453e-01 2.106359e-05 -5.798974e-05 4.075255e-05 7.746720e-05
11543.200000 8.113090e-01 9.362866e-01 1.252174e+00 2.058392e-01 1.872972e-05 -5.594442e-05 2.552024e-05 7.877741e-05
11543.400000 8.189542e-01 9.452495e-01 1.262500e+00 2.082895e-01 1.506963e-05 -5.530290e-05 2.127850e-05 6.215177e-05
11543.600000 7.900458e-01 9.120300e-01 1.216964e+00 1.991215e-01 3.000342e-05 -5.393015e-05 1.576368e-05 5.535598e-05
11543.800000 8.166279e-01 9.424149e-01 1.257366e+00 2.069318e-01 1.701326e-05 -5.709986e-05 3.229993e-05 7.066939e-05
11544.000000 8.092966e-01 9.337568e-01 1.244897e+00 2.043272e-01 2.423264e-05 -6.860099e-05 5.533822e-05 7.688974e-05
11544.200000 8.090895e-01 9.341100e-01 1.243535e+00 2.046932e-01 2.310422e-05 -5.304442e-05 4.202567e-05 7.917128e-05
11544.400000 8.092686e-01 9.343273e-01 1.242990e+00 2.038798e-01 3.632662e-05 -5.179724e-05 3.866412e-05 8.217406e-05
11544.600000 8.076877e-01 9.323783e-01 1.240150e+00 2.049084e-01 3.211455e-05 -5.768328e-05 3.186697e-05 7.577105e-05
11544.800000 8.079434e-01 9.325608e-01 1.238807e+00 2.053683e-01 3.128978e-05 -4.910681e-05 3.469921e-05 6.850978e-05
11545.000000 8.109839e-01 9.363272e-01 1.241915e+00 2.068064e-01 3.476275e-05 -4.865367e-05 3.804850e-05 6.330576e-05
11545.200000 8.097249e-01 9.351378e-01 1.239389e+00 2.072059e-01 1.524852e-05 -4.979112e-05 2.443396e-05 6.705668e-05
11545.400000 8.094057e-01 9.343221e-01 1.238202e+00 2.072876e-01 3.281568e-05 -4.522338e-05 3.953061e-05 7.125310e-05
11545.600000 8.114498e-01 9.372428e-01 1.240060e+00 2.078663e-01 1.191634e-05 -5.336252e-05 3.721273e-05 7.167315e-05
11545.800000 8.079219e-01 9.326968e-01 1.232913e+00 2.062259e-01 2.805736e-05 -4.721040e-05 1.663098e-05 5.958054e-05
11546.000000 8.048472e-01 9.291702e-01 1.225883e+00 2.078893e-01 1.719793e-05 -5.131683e-05 6.139971e-06 6.543394e-05
11546.200000 8.040573e-01 9.284598e-01 1.224478e+00 2.100731e-01 2.103224e-05 -5.334677e-05 7.047958e-06 7.018811e-05
11546.400000 8.087874e-01 9.337049e-01 1.231550e+00 2.064132e-01 2.677452e-05 -6.116006e-05 8.653764e-06 7.029096e-05
11546.600000 8.113223e-01 9.370166e-01 1.233805e+00 2.106416e-01 3.015953e-05 -5.239967e-05 1.020068e-05 6.800132e-05
11546.800000 8.076976e-01 9.321169e-01 1.225987e+00 2.093241e-01 3.884366e-05 -5.350109e-05 1.726001e-05 7.912930e-05
11547.000000 8.114246e-01 9.368357e-01 1.230670e+00 2.093590e-01 2.640481e-05 -5.362514e-05 2.180815e-05 8.888916e-05
11547.200000 8.047307e-01 9.296352e-01 1.219910e+00 2.120715e-01 3.016504e-05 -6.217456e-05 2.137317e-05 9.389267e-05
11547.400000 8.003256e-01 9.244007e-01 1.211802e+00 2.106178e-01 1.943146e-05 -6.241609e-05 3.087393e-05 7.224496e-05
11547.600000 8.170906e-01 9.436512e-01 1.235040e+00 2.141881e-01 2.877868e-05 -6.070994e-05 2.142583e-05 9.263806e-05
