# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270551
# UID: 66f4ed3d-7d1f-4082-8fef-2e4ecb688991
# Comment: 
# Start time: 10/18/2023  01:43:43
# Stop time: 10/18/2023  01:44:15
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.554047 4.216697e-01 4.529284e-01 5.891541e-01 8.657063e-02 1.144270e-05 -1.924758e-05 1.949795e-06 4.485760e-05
11385.554047 8.282449e-01 8.909432e-01 1.160311e+00 1.709913e-01 1.618077e-05 -4.218724e-05 8.850058e-06 9.512177e-05
11390.554047 8.348425e-01 9.000894e-01 1.175069e+00 1.717791e-01 1.682627e-05 -4.661332e-05 6.450196e-06 1.004221e-04
11395.554047 8.422632e-01 9.106097e-01 1.192032e+00 1.730464e-01 1.259169e-05 -4.176364e-05 3.330039e-06 9.726820e-05
11400.554047 8.406394e-01 9.110242e-01 1.195319e+00 1.733916e-01 1.571302e-05 -3.312154e-05 4.130230e-08 1.071326e-04
11405.554047 8.389203e-01 9.112073e-01 1.198334e+00 1.734061e-01 2.539605e-05 -2.634637e-05 5.033613e-07 1.100031e-04
11410.554047 8.353626e-01 9.093870e-01 1.198799e+00 1.733417e-01 2.790060e-05 -1.888799e-05 5.687471e-06 1.049941e-04
11415.554047 8.275623e-01 9.029510e-01 1.192971e+00 1.719626e-01 2.243492e-05 -2.616797e-05 7.216935e-06 1.072588e-04
11420.554047 8.270123e-01 9.043378e-01 1.197883e+00 1.725470e-01 1.424356e-05 -3.737260e-05 5.353829e-06 1.054410e-04
11425.554047 8.351822e-01 9.158057e-01 1.216506e+00 1.750166e-01 2.509974e-05 -3.736588e-05 4.208079e-06 1.083910e-04
11430.554047 8.360412e-01 9.190468e-01 1.224095e+00 1.756609e-01 2.804103e-05 -3.449383e-05 2.499208e-06 1.070986e-04
11435.554047 8.347067e-01 9.197088e-01 1.227941e+00 1.757701e-01 2.697277e-05 -4.139018e-05 6.506972e-06 1.049786e-04
11440.554047 8.326786e-01 9.196287e-01 1.230677e+00 1.760280e-01 2.281431e-05 -4.345031e-05 5.023668e-06 1.048133e-04
11445.554047 8.310646e-01 9.199410e-01 1.234018e+00 1.762101e-01 2.658447e-05 -3.217642e-05 1.311067e-05 1.035447e-04
11450.554047 8.301211e-01 9.210566e-01 1.238539e+00 1.764193e-01 2.400822e-05 -3.229473e-05 1.498143e-05 1.012428e-04
11455.554047 8.297349e-01 9.229399e-01 1.244012e+00 1.767916e-01 2.213430e-05 -2.423285e-05 2.054188e-05 1.067463e-04
11460.554047 8.288204e-01 9.240351e-01 1.248368e+00 1.767579e-01 2.117359e-05 -2.062853e-05 1.799198e-05 1.054391e-04
11465.554047 8.278033e-01 9.250869e-01 1.252537e+00 1.774281e-01 2.059044e-05 -1.862306e-05 9.336261e-06 1.056192e-04
11470.554047 8.269797e-01 9.263218e-01 1.257131e+00 1.781641e-01 2.685673e-05 -2.739669e-05 8.065796e-06 1.076226e-04
11475.554047 8.257823e-01 9.270660e-01 1.260858e+00 1.785749e-01 2.818111e-05 -1.979569e-05 1.896654e-06 1.098057e-04
11480.554047 8.239260e-01 9.271340e-01 1.263505e+00 1.787489e-01 2.627807e-05 -2.661528e-05 6.463014e-06 1.131906e-04
11485.554047 8.232876e-01 9.285645e-01 1.267887e+00 1.792874e-01 2.580231e-05 -2.149915e-05 1.182218e-05 1.207418e-04
11490.554047 8.221297e-01 9.293857e-01 1.271435e+00 1.800384e-01 3.449101e-05 -1.344208e-05 1.836048e-05 1.248340e-04
11495.554047 8.220948e-01 9.314926e-01 1.276347e+00 1.810882e-01 3.244195e-05 -9.973239e-06 1.824568e-05 1.178498e-04
11500.554047 8.211198e-01 9.325697e-01 1.279563e+00 1.814261e-01 2.725901e-05 -2.162058e-05 1.143330e-05 1.069020e-04
11505.554047 8.201074e-01 9.335037e-01 1.282397e+00 1.822392e-01 3.228287e-05 -3.707783e-05 1.047893e-05 1.075930e-04
11510.554047 8.189023e-01 9.341874e-01 1.284395e+00 1.833558e-01 3.367960e-05 -4.725269e-05 1.587881e-05 1.084236e-04
11515.554047 8.184592e-01 9.357926e-01 1.286800e+00 1.850190e-01 3.400844e-05 -4.277968e-05 1.322931e-05 9.404811e-05
11520.554047 8.177445e-01 9.369682e-01 1.287921e+00 1.861257e-01 3.488938e-05 -3.772959e-05 7.032875e-06 9.910898e-05
11525.554047 8.161204e-01 9.369705e-01 1.286094e+00 1.885311e-01 3.328700e-05 -3.103521e-05 1.032819e-05 1.006021e-04
11530.554047 8.150430e-01 9.376012e-01 1.283025e+00 1.907118e-01 3.152173e-05 -3.039582e-05 1.732498e-05 1.031537e-04
11534.000000 8.145162e-01 9.382078e-01 1.279633e+00 1.929952e-01 3.404490e-05 -3.437430e-05 1.798795e-05 1.093570e-04
11535.000000 8.134729e-01 9.372286e-01 1.276781e+00 1.931610e-01 3.906935e-05 -3.787551e-05 9.499831e-06 1.035601e-04
11536.000000 8.147412e-01 9.392410e-01 1.277649e+00 1.946663e-01 3.569087e-05 -3.787887e-05 2.152031e-06 9.339037e-05
11537.000000 8.140992e-01 9.388765e-01 1.275041e+00 1.957941e-01 2.941978e-05 -4.125430e-05 9.920263e-06 9.886913e-05
11538.000000 8.142015e-01 9.392234e-01 1.273107e+00 1.975421e-01 3.365933e-05 -3.589129e-05 -6.442727e-06 1.047491e-04
11539.000000 8.149083e-01 9.403307e-01 1.271896e+00 1.979395e-01 3.199977e-05 -3.370842e-05 -2.654648e-07 1.023272e-04
11540.000000 8.148121e-01 9.406139e-01 1.269319e+00 1.996447e-01 3.801609e-05 -2.704978e-05 -6.092899e-06 9.851420e-05
