# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270552
# UID: 5a4ab093-483a-41a4-9e3e-a6ea6df69757
# Comment: 
# Start time: 10/18/2023  01:44:19
# Stop time: 10/18/2023  01:44:50
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.382312 4.227621e-01 4.535668e-01 5.902917e-01 8.676880e-02 1.581189e-05 -8.448528e-06 8.038188e-06 4.152319e-05
11385.382312 8.307590e-01 8.927112e-01 1.163635e+00 1.715678e-01 2.468498e-05 -9.671649e-06 1.894861e-05 8.526357e-05
11390.382312 8.365144e-01 9.009355e-01 1.177162e+00 1.723822e-01 1.915685e-05 -6.638751e-06 2.024028e-05 8.723847e-05
11395.382312 8.446811e-01 9.122994e-01 1.195338e+00 1.734579e-01 2.805882e-05 -9.778211e-06 1.304946e-05 8.445112e-05
11400.382312 8.429169e-01 9.126245e-01 1.198531e+00 1.736661e-01 3.765734e-05 -1.132009e-05 1.806535e-05 8.112745e-05
11405.382312 8.409324e-01 9.126061e-01 1.201493e+00 1.738157e-01 3.060127e-05 -9.109333e-06 2.580041e-05 8.296233e-05
11410.382312 8.379586e-01 9.115247e-01 1.202958e+00 1.735416e-01 2.550941e-05 -1.032324e-05 2.432275e-05 8.539032e-05
11415.382312 8.293791e-01 9.041603e-01 1.195682e+00 1.725462e-01 2.165101e-05 -1.675220e-05 1.643076e-05 9.207491e-05
11420.382312 8.293743e-01 9.062222e-01 1.201393e+00 1.730530e-01 2.152161e-05 -2.185510e-05 5.341636e-06 8.596796e-05
11425.382312 8.368392e-01 9.167931e-01 1.218956e+00 1.750026e-01 2.617076e-05 -2.074870e-05 7.313048e-06 8.649299e-05
11430.382312 8.384666e-01 9.208874e-01 1.227705e+00 1.759577e-01 3.170117e-05 -1.892220e-05 6.957618e-06 8.717953e-05
11435.382312 8.365190e-01 9.207770e-01 1.230532e+00 1.760699e-01 3.345427e-05 -7.499911e-06 -2.333818e-06 8.917463e-05
11440.382312 8.354215e-01 9.217749e-01 1.234834e+00 1.762903e-01 3.576567e-05 -9.027476e-06 7.509162e-06 8.886669e-05
11445.382312 8.338303e-01 9.222008e-01 1.238167e+00 1.763179e-01 2.454593e-05 -1.034846e-05 1.088065e-05 9.383429e-05
11450.382312 8.321859e-01 9.224967e-01 1.241616e+00 1.767467e-01 2.049698e-05 -1.163290e-05 9.854261e-06 7.658897e-05
11455.382312 8.321419e-01 9.246159e-01 1.247312e+00 1.768236e-01 2.081932e-05 -1.162248e-05 1.559006e-05 6.977305e-05
11460.382312 8.311438e-01 9.257597e-01 1.251974e+00 1.773518e-01 2.148122e-05 -2.502506e-05 9.522617e-06 7.547652e-05
11465.382312 8.307654e-01 9.275657e-01 1.257179e+00 1.779137e-01 2.874437e-05 -3.293678e-05 1.587268e-05 7.382122e-05
11470.382312 8.297923e-01 9.286403e-01 1.261384e+00 1.785069e-01 3.287482e-05 -3.264641e-05 1.804049e-05 5.804689e-05
11475.382312 8.284732e-01 9.292395e-01 1.264931e+00 1.787627e-01 1.945017e-05 -3.653308e-05 2.049123e-05 5.483368e-05
11480.382312 8.273245e-01 9.300557e-01 1.268677e+00 1.791384e-01 2.975378e-05 -2.874971e-05 1.926980e-05 7.989139e-05
