# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270554
# UID: e2265219-7977-4d65-accf-b45f620ee855
# Comment: 
# Start time: 10/18/2023  01:45:29
# Stop time: 10/18/2023  01:46:00
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.511113 4.215560e-01 4.519449e-01 5.884933e-01 8.660180e-02 1.958585e-05 -1.106043e-05 6.767479e-07 5.035514e-05
11385.511113 8.281168e-01 8.892030e-01 1.159494e+00 1.710492e-01 3.329290e-05 -2.369777e-05 2.631237e-07 1.041647e-04
11390.511113 8.346947e-01 8.982807e-01 1.174259e+00 1.718112e-01 3.402853e-05 -3.833548e-05 1.280714e-05 1.039002e-04
11395.511113 8.420162e-01 9.085726e-01 1.190822e+00 1.731626e-01 3.581377e-05 -3.555046e-05 1.492367e-05 1.019189e-04
11400.511113 8.404836e-01 9.091415e-01 1.194379e+00 1.730958e-01 2.792874e-05 -2.933774e-05 5.932769e-06 1.090506e-04
11405.511113 8.385040e-01 9.091579e-01 1.197203e+00 1.731887e-01 2.577650e-05 -1.619317e-05 1.579511e-05 1.085268e-04
11410.511113 8.355322e-01 9.080368e-01 1.198639e+00 1.731253e-01 3.134213e-05 -1.527618e-05 1.834080e-05 1.089429e-04
11415.511113 8.277906e-01 9.016638e-01 1.193100e+00 1.719841e-01 4.118999e-05 -1.907226e-05 2.276705e-05 1.088115e-04
11420.511113 8.277302e-01 9.036330e-01 1.198814e+00 1.726859e-01 3.327257e-05 -1.710450e-05 3.173264e-05 1.042494e-04
11425.511113 8.355564e-01 9.145353e-01 1.216770e+00 1.749245e-01 2.115458e-05 -1.973474e-05 2.955656e-05 1.044298e-04
11430.511113 8.361896e-01 9.174932e-01 1.223636e+00 1.757242e-01 2.797266e-05 -2.400289e-05 2.636209e-05 1.137518e-04
11435.511113 8.341483e-01 9.173175e-01 1.226218e+00 1.753471e-01 3.655601e-05 -2.762596e-05 2.930466e-05 1.158613e-04
11440.511113 8.329396e-01 9.180884e-01 1.230318e+00 1.753518e-01 3.926959e-05 -2.453826e-05 1.669995e-05 1.169373e-04
11445.511113 8.313932e-01 9.185763e-01 1.233907e+00 1.757288e-01 4.234473e-05 -2.144459e-05 1.180208e-05 1.112195e-04
11450.511113 8.304271e-01 9.196562e-01 1.238282e+00 1.765977e-01 4.407282e-05 -2.447933e-05 2.043317e-05 9.968366e-05
11455.511113 8.294696e-01 9.207342e-01 1.242439e+00 1.769646e-01 4.191411e-05 -2.086532e-05 2.394164e-05 8.598493e-05
11460.511113 8.284682e-01 9.218311e-01 1.246980e+00 1.772444e-01 3.328455e-05 -1.726359e-05 2.300663e-05 8.851966e-05
11465.511113 8.278395e-01 9.232533e-01 1.251858e+00 1.775991e-01 3.572846e-05 -2.668008e-05 2.463599e-05 1.090524e-04
11470.511113 8.267788e-01 9.242106e-01 1.255847e+00 1.779771e-01 3.718851e-05 -2.717530e-05 1.945469e-05 1.181645e-04
11475.511113 8.260311e-01 9.255991e-01 1.260453e+00 1.782280e-01 3.945649e-05 -2.388229e-05 1.776952e-05 1.140284e-04
11480.511113 8.249628e-01 9.266007e-01 1.264315e+00 1.789319e-01 2.912702e-05 -1.252790e-05 2.259072e-05 1.126608e-04
11485.511113 8.236174e-01 9.272793e-01 1.267830e+00 1.793071e-01 2.844306e-05 -1.682436e-05 1.818464e-05 1.163494e-04
11490.511113 8.227381e-01 9.283424e-01 1.271537e+00 1.800489e-01 2.832936e-05 -2.110209e-05 1.946396e-05 1.200888e-04
11495.511113 8.216388e-01 9.292582e-01 1.274719e+00 1.806070e-01 3.179338e-05 -1.390395e-05 2.948869e-05 1.144777e-04
11500.511113 8.210162e-01 9.306851e-01 1.278614e+00 1.816892e-01 3.719085e-05 -1.736590e-05 4.068793e-05 1.078633e-04
11505.511113 8.202646e-01 9.319328e-01 1.282136e+00 1.824716e-01 2.995997e-05 -2.249365e-05 3.187976e-05 1.040861e-04
11510.511113 8.190448e-01 9.325381e-01 1.284155e+00 1.837634e-01 3.041119e-05 -1.955825e-05 2.701455e-05 1.095977e-04
11515.511113 8.183476e-01 9.337666e-01 1.286216e+00 1.842829e-01 2.564238e-05 -9.870152e-06 3.066940e-05 1.083686e-04
11520.511113 8.177268e-01 9.350948e-01 1.287252e+00 1.861119e-01 2.536699e-05 -1.229496e-05 2.525968e-05 1.080458e-04
11525.511113 8.165082e-01 9.356328e-01 1.285949e+00 1.879052e-01 2.806852e-05 -1.646156e-05 3.549977e-05 1.030049e-04
11530.511113 8.152866e-01 9.360352e-01 1.282794e+00 1.908293e-01 3.971290e-05 -1.865324e-05 4.716532e-05 1.088747e-04
11534.000000 8.148851e-01 9.369347e-01 1.279762e+00 1.932731e-01 5.191027e-05 -1.597539e-05 2.995570e-05 1.161470e-04
11535.000000 8.151846e-01 9.377475e-01 1.279363e+00 1.951894e-01 5.067335e-05 -1.362832e-05 3.218252e-05 1.093878e-04
11536.000000 8.140949e-01 9.366943e-01 1.275908e+00 1.950218e-01 5.494509e-05 -1.687159e-05 2.957002e-05 1.038557e-04
11537.000000 8.144110e-01 9.373143e-01 1.274854e+00 1.956225e-01 5.613988e-05 -1.732582e-05 3.614621e-05 1.109555e-04
11538.000000 8.152278e-01 9.386165e-01 1.274526e+00 1.969669e-01 5.208703e-05 -1.691825e-05 3.360039e-05 1.180553e-04
11539.000000 8.140567e-01 9.375462e-01 1.270430e+00 1.984116e-01 3.920366e-05 -2.147138e-05 3.534857e-05 1.108936e-04
11540.000000 8.149937e-01 9.389137e-01 1.269287e+00 1.997406e-01 3.854656e-05 -2.286956e-05 2.831938e-05 1.001119e-04
11541.000000 8.137230e-01 9.378089e-01 1.264424e+00 2.016196e-01 4.485090e-05 -1.315342e-05 2.820128e-05 1.149527e-04
