# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270555
# UID: 6d6be2e5-f980-49f4-b01d-150a60f6e116
# Comment: 
# Start time: 10/18/2023  01:46:04
# Stop time: 10/18/2023  01:46:35
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.339378 4.210180e-01 4.512720e-01 5.875853e-01 8.637215e-02 2.119249e-05 -5.738272e-06 5.949086e-06 5.055205e-05
11385.339378 8.276142e-01 8.884176e-01 1.158433e+00 1.710152e-01 3.734736e-05 -1.091713e-05 3.237504e-06 1.051088e-04
11390.339378 8.331096e-01 8.962962e-01 1.171577e+00 1.718473e-01 2.845426e-05 -3.253455e-06 3.130783e-06 1.077415e-04
11395.339378 8.408653e-01 9.071197e-01 1.189024e+00 1.728244e-01 2.925620e-05 -9.396417e-06 8.506463e-06 1.082008e-04
11400.339378 8.390066e-01 9.072692e-01 1.191914e+00 1.731298e-01 2.500898e-05 -9.195213e-06 1.102435e-05 1.056111e-04
11405.339378 8.372014e-01 9.074533e-01 1.194931e+00 1.732408e-01 2.389662e-05 -3.948851e-06 1.328023e-05 1.006925e-04
11410.339378 8.341754e-01 9.062802e-01 1.196143e+00 1.728897e-01 2.713699e-05 -5.823426e-06 1.365496e-05 9.844530e-05
11415.339378 8.260972e-01 8.995449e-01 1.189902e+00 1.714109e-01 2.209880e-05 -1.202266e-05 1.064446e-05 1.011658e-04
11420.339378 8.253452e-01 9.007683e-01 1.194554e+00 1.719173e-01 2.837206e-05 -1.697327e-05 1.321193e-05 9.111404e-05
11425.339378 8.333305e-01 9.118973e-01 1.212895e+00 1.743228e-01 3.264216e-05 -5.672227e-06 1.768474e-05 9.955264e-05
11430.339378 8.349117e-01 9.158903e-01 1.221414e+00 1.755621e-01 3.165433e-05 -5.810572e-06 1.443337e-05 9.982723e-05
11435.339378 8.330672e-01 9.160444e-01 1.224610e+00 1.756553e-01 3.601016e-05 -1.889536e-06 1.851970e-05 1.024615e-04
11440.339378 8.315065e-01 9.164603e-01 1.228162e+00 1.756478e-01 3.452969e-05 -4.584294e-06 8.137195e-06 9.602988e-05
11445.339378 8.293459e-01 9.161923e-01 1.230708e+00 1.757275e-01 4.065065e-05 -1.353691e-05 1.198985e-05 1.033977e-04
11450.339378 8.289201e-01 9.178473e-01 1.235874e+00 1.760408e-01 2.980310e-05 -1.511804e-06 1.602870e-05 1.082657e-04
11455.339378 8.279557e-01 9.189627e-01 1.240454e+00 1.761271e-01 2.304308e-05 5.325845e-06 1.871038e-05 1.072871e-04
11460.339378 8.270362e-01 9.201135e-01 1.244846e+00 1.764297e-01 2.636082e-05 -3.410606e-06 1.508324e-05 1.012774e-04
11465.339378 8.264204e-01 9.216297e-01 1.249761e+00 1.773229e-01 3.216033e-05 -1.497427e-05 2.271123e-05 9.751705e-05
11470.339378 8.261376e-01 9.234301e-01 1.255162e+00 1.782526e-01 3.607837e-05 -1.758319e-05 2.597215e-05 8.946274e-05
11475.339378 8.248700e-01 9.241393e-01 1.258829e+00 1.786395e-01 3.484357e-05 -1.109779e-05 2.134800e-05 7.762658e-05
11480.339378 8.229909e-01 9.240561e-01 1.261290e+00 1.786960e-01 3.625620e-05 -7.849529e-06 2.147715e-05 9.071830e-05
11485.339378 8.218598e-01 9.249337e-01 1.264835e+00 1.789956e-01 4.651641e-05 -1.469557e-06 1.966524e-05 1.181174e-04
11490.339378 8.210602e-01 9.261378e-01 1.268673e+00 1.796705e-01 4.713474e-05 -3.109394e-06 1.918526e-05 1.126779e-04
11495.339378 8.205211e-01 9.276979e-01 1.272970e+00 1.805733e-01 4.444997e-05 3.853964e-06 1.628893e-05 1.068000e-04
