# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270556
# UID: b6d23fb7-43b6-42af-8a5c-debdbef55260
# Comment: 
# Start time: 10/18/2023  01:46:39
# Stop time: 10/18/2023  01:47:10
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.511237 4.218211e-01 4.521417e-01 5.888235e-01 8.672403e-02 7.333805e-06 -1.289977e-05 1.518172e-05 5.218552e-05
11385.511237 8.287292e-01 8.896666e-01 1.160356e+00 1.711660e-01 2.289170e-05 -2.488370e-05 2.618992e-05 1.102184e-04
11390.511237 8.348716e-01 8.983110e-01 1.174556e+00 1.720541e-01 1.953679e-05 -2.865291e-05 1.937647e-05 1.160393e-04
11395.511237 8.422129e-01 9.086263e-01 1.191307e+00 1.729020e-01 1.839826e-05 -3.166432e-05 1.965092e-05 1.053128e-04
11400.511237 8.406620e-01 9.091199e-01 1.194800e+00 1.735911e-01 2.247150e-05 -2.961348e-05 2.199827e-05 1.107677e-04
11405.511237 8.387253e-01 9.092021e-01 1.197765e+00 1.734971e-01 2.464546e-05 -2.817935e-05 2.042345e-05 1.084241e-04
11410.511237 8.355337e-01 9.079032e-01 1.198826e+00 1.734769e-01 2.202185e-05 -2.575304e-05 1.512525e-05 1.078301e-04
11415.511237 8.271584e-01 9.008214e-01 1.192046e+00 1.719106e-01 2.611420e-05 -2.131439e-05 2.209454e-05 1.112765e-04
11420.511237 8.276674e-01 9.034101e-01 1.198368e+00 1.727962e-01 2.742328e-05 -2.130480e-05 2.526358e-05 1.113240e-04
11425.511237 8.354601e-01 9.143827e-01 1.216590e+00 1.751109e-01 1.850939e-05 -2.365543e-05 2.341584e-05 1.008276e-04
11430.511237 8.365089e-01 9.178176e-01 1.224518e+00 1.759490e-01 2.260146e-05 -2.067534e-05 2.512685e-05 9.859680e-05
11435.511237 8.342783e-01 9.174691e-01 1.226917e+00 1.755606e-01 2.963880e-05 -1.574695e-05 2.231419e-05 1.081732e-04
11440.511237 8.328468e-01 9.180137e-01 1.230527e+00 1.758713e-01 2.816023e-05 -1.339809e-05 2.043668e-05 1.067651e-04
11445.511237 8.312101e-01 9.182454e-01 1.233717e+00 1.758317e-01 4.063496e-05 -8.614288e-06 2.728666e-05 1.009688e-04
11450.511237 8.303007e-01 9.194489e-01 1.238379e+00 1.764298e-01 3.119044e-05 -6.440913e-06 2.137570e-05 1.080976e-04
11455.511237 8.294472e-01 9.206075e-01 1.243053e+00 1.766348e-01 2.929758e-05 -6.216785e-06 2.752524e-05 1.027945e-04
11460.511237 8.287059e-01 9.220226e-01 1.247804e+00 1.778056e-01 2.931916e-05 -5.841574e-06 2.705853e-05 1.004933e-04
11465.511237 8.281272e-01 9.235438e-01 1.252655e+00 1.780824e-01 3.087032e-05 -6.960025e-06 2.822374e-05 1.004653e-04
11470.511237 8.266559e-01 9.241056e-01 1.256222e+00 1.781644e-01 3.818875e-05 -1.571092e-05 3.168829e-05 1.018321e-04
11475.511237 8.258480e-01 9.253499e-01 1.260667e+00 1.787450e-01 2.402658e-05 -3.122058e-05 2.489111e-05 1.180469e-04
11480.511237 8.245361e-01 9.259628e-01 1.264127e+00 1.789478e-01 2.299514e-05 -3.023002e-05 2.612491e-05 1.077085e-04
11485.511237 8.236373e-01 9.271115e-01 1.268186e+00 1.794257e-01 1.802330e-05 -1.612928e-05 2.785265e-05 1.109490e-04
11490.511237 8.227948e-01 9.282850e-01 1.271925e+00 1.802184e-01 2.038693e-05 -1.354252e-05 3.287348e-05 1.124511e-04
11495.511237 8.220938e-01 9.295944e-01 1.275935e+00 1.808001e-01 2.609944e-05 -1.864353e-05 3.429094e-05 1.076755e-04
11500.511237 8.218813e-01 9.314079e-01 1.280493e+00 1.817640e-01 2.834544e-05 -9.993925e-06 3.585078e-05 1.138752e-04
11505.511237 8.208287e-01 9.324057e-01 1.283138e+00 1.824863e-01 2.405778e-05 -1.532442e-05 3.215949e-05 1.032190e-04
11510.511237 8.190738e-01 9.324223e-01 1.284107e+00 1.835665e-01 1.857338e-05 -2.185640e-05 2.303005e-05 1.039693e-04
11515.511237 8.183047e-01 9.336252e-01 1.286174e+00 1.846633e-01 2.417331e-05 -2.380762e-05 2.092629e-05 1.170164e-04
11520.511237 8.175479e-01 9.347018e-01 1.287129e+00 1.864523e-01 3.330118e-05 -2.620552e-05 1.262244e-05 1.212494e-04
11525.511237 8.165264e-01 9.354508e-01 1.286160e+00 1.882309e-01 2.388127e-05 -2.087614e-05 1.597961e-05 1.238111e-04
11530.511237 8.155149e-01 9.361923e-01 1.283127e+00 1.906896e-01 2.458245e-05 -2.899126e-05 2.586991e-05 1.041176e-04
11534.000000 8.152121e-01 9.369666e-01 1.280191e+00 1.931148e-01 2.644488e-05 -2.644847e-05 4.170298e-05 1.113614e-04
11535.000000 8.148952e-01 9.369105e-01 1.278582e+00 1.936822e-01 2.355787e-05 -2.717077e-05 5.365334e-05 1.219184e-04
11536.000000 8.146681e-01 9.369458e-01 1.276919e+00 1.946676e-01 1.965131e-05 -2.157102e-05 4.345446e-05 1.202694e-04
11537.000000 8.143052e-01 9.369839e-01 1.274509e+00 1.958307e-01 2.374119e-05 -3.019620e-05 4.523391e-05 1.186702e-04
11538.000000 8.152666e-01 9.384516e-01 1.274200e+00 1.967831e-01 2.127922e-05 -2.571846e-05 3.622125e-05 1.141060e-04
11539.000000 8.140063e-01 9.371458e-01 1.269874e+00 1.979764e-01 -2.068156e-06 -3.179164e-05 2.741425e-05 1.213310e-04
11540.000000 8.138110e-01 9.371806e-01 1.267034e+00 1.994275e-01 -6.950377e-06 -2.112923e-05 3.294197e-05 1.207652e-04
11541.000000 8.142756e-01 9.380235e-01 1.265167e+00 1.994081e-01 -1.513852e-05 -1.962637e-05 3.107989e-05 1.194160e-04
11541.200000 8.113565e-01 9.347567e-01 1.260192e+00 1.958505e-01 -1.151409e-05 -2.282691e-05 3.439493e-05 1.206226e-04
11541.400000 8.138992e-01 9.378570e-01 1.263336e+00 2.014492e-01 2.538478e-06 -2.285584e-05 3.639552e-05 1.177186e-04
11541.600000 8.116924e-01 9.352260e-01 1.258671e+00 2.023864e-01 -1.998055e-05 -2.017585e-05 3.002473e-05 1.261081e-04
11541.800000 8.165220e-01 9.407981e-01 1.266038e+00 2.035845e-01 -1.115315e-05 -1.745581e-05 1.488325e-05 1.069589e-04
11542.000000 8.166232e-01 9.414646e-01 1.266275e+00 2.036575e-01 -1.135979e-05 -2.165402e-05 2.115319e-05 1.022191e-04
11542.200000 8.036258e-01 9.261969e-01 1.243502e+00 1.980349e-01 -1.812733e-05 -1.621204e-05 4.278772e-05 1.186845e-04
11542.400000 8.198996e-01 9.447851e-01 1.269049e+00 2.030081e-01 9.882908e-06 -1.644799e-05 3.674406e-05 1.095645e-04
11542.600000 8.080270e-01 9.310698e-01 1.249035e+00 2.008672e-01 -8.741020e-06 -1.468514e-05 3.010996e-05 1.050659e-04
11542.800000 8.129075e-01 9.369100e-01 1.256416e+00 2.029718e-01 1.697047e-05 -1.134513e-06 1.336742e-05 1.138760e-04
11543.000000 8.156554e-01 9.400973e-01 1.259797e+00 2.025420e-01 -2.165398e-06 -1.455572e-05 1.036845e-05 1.043951e-04
11543.200000 8.128144e-01 9.368056e-01 1.254184e+00 2.041398e-01 -2.071047e-06 -1.145648e-05 -4.485920e-07 1.041227e-04
11543.400000 8.112392e-01 9.345959e-01 1.250523e+00 2.027894e-01 1.132069e-05 -1.807967e-05 8.327319e-06 9.647743e-05
11543.600000 8.135807e-01 9.379339e-01 1.254148e+00 2.037248e-01 -1.237773e-05 -2.688723e-05 1.931486e-05 1.104538e-04
11543.800000 8.120155e-01 9.358501e-01 1.250429e+00 2.042985e-01 7.619436e-06 -2.250331e-05 3.259725e-05 1.225450e-04
11544.000000 8.093528e-01 9.327270e-01 1.245001e+00 2.041046e-01 1.319014e-05 -1.379237e-05 1.793394e-05 1.074162e-04
11544.200000 8.101266e-01 9.339234e-01 1.246562e+00 2.054498e-01 2.649431e-05 -1.993833e-05 1.466383e-05 1.177820e-04
11544.400000 8.137570e-01 9.379308e-01 1.250258e+00 2.086728e-01 2.423813e-05 -2.173569e-05 2.259693e-05 1.277695e-04
11544.600000 8.134284e-01 9.380300e-01 1.249371e+00 2.051170e-01 2.247546e-05 -2.626278e-05 2.062416e-05 1.288783e-04
11544.800000 8.149891e-01 9.394969e-01 1.250307e+00 2.060530e-01 2.945320e-05 -2.729216e-05 2.195539e-05 1.247585e-04
11545.000000 8.065285e-01 9.298300e-01 1.235803e+00 2.063247e-01 1.436760e-05 -2.381725e-05 2.386427e-05 1.324051e-04
11545.200000 8.191404e-01 9.448793e-01 1.255165e+00 2.096280e-01 1.723409e-05 -2.444389e-05 3.591760e-05 1.322620e-04
11545.400000 8.098729e-01 9.336472e-01 1.239108e+00 2.097762e-01 1.069132e-05 -2.425840e-05 3.268920e-05 1.291063e-04
