# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270559
# UID: 1be1b0a2-fa82-4402-8532-9c5a02a23f8b
# Comment: 
# Start time: 10/18/2023  01:48:24
# Stop time: 10/18/2023  01:48:56
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.339378 4.212250e-01 4.514795e-01 5.880273e-01 8.665199e-02 2.054266e-05 -1.125308e-05 1.053053e-05 4.482738e-05
11385.339378 8.277441e-01 8.884985e-01 1.158900e+00 1.712707e-01 3.385950e-05 -2.560438e-05 1.957098e-05 8.989662e-05
11390.339378 8.337698e-01 8.969243e-01 1.172681e+00 1.721078e-01 3.565163e-05 -3.221699e-05 1.158822e-05 8.006720e-05
11395.339378 8.416021e-01 9.077757e-01 1.190100e+00 1.731653e-01 2.740952e-05 -2.846853e-05 1.719877e-05 6.616343e-05
11400.339378 8.395917e-01 9.077474e-01 1.192842e+00 1.735345e-01 3.163815e-05 -3.122288e-05 2.965899e-05 7.625994e-05
11405.339378 8.373124e-01 9.075091e-01 1.195274e+00 1.737541e-01 3.613806e-05 -2.614473e-05 1.545718e-05 8.096126e-05
11410.339378 8.353306e-01 9.076105e-01 1.198569e+00 1.737940e-01 3.732061e-05 -1.257473e-05 1.221776e-05 7.806732e-05
11415.339378 8.266123e-01 9.001490e-01 1.191391e+00 1.721282e-01 3.118358e-05 -5.795910e-06 1.174977e-05 7.788682e-05
11420.339378 8.259579e-01 9.014616e-01 1.195773e+00 1.727407e-01 3.732410e-05 2.423452e-06 1.107385e-05 7.843845e-05
11425.339378 8.339201e-01 9.125438e-01 1.214033e+00 1.752302e-01 3.902139e-05 -1.788780e-05 2.977042e-05 8.139160e-05
11430.339378 8.339483e-01 9.147539e-01 1.220134e+00 1.757430e-01 3.878905e-05 -2.447994e-05 3.233308e-05 8.289393e-05
11435.339378 8.335505e-01 9.165149e-01 1.225588e+00 1.754034e-01 3.827810e-05 -1.510651e-05 2.589309e-05 8.648837e-05
11440.339378 8.324972e-01 9.174481e-01 1.229728e+00 1.757149e-01 3.397421e-05 -2.685808e-05 2.502789e-05 9.368734e-05
11445.339378 8.310444e-01 9.180048e-01 1.233449e+00 1.761756e-01 3.114126e-05 -2.150415e-05 3.000785e-05 9.785260e-05
11450.339378 8.293342e-01 9.181991e-01 1.236711e+00 1.762430e-01 3.205427e-05 -9.901214e-06 2.751098e-05 1.002462e-04
11455.339378 8.285883e-01 9.195441e-01 1.241630e+00 1.767721e-01 2.803453e-05 -1.877768e-05 2.114748e-05 8.920472e-05
11460.339378 8.276128e-01 9.205894e-01 1.245835e+00 1.773783e-01 2.687860e-05 -3.118149e-05 2.036973e-05 8.826863e-05
11465.339378 8.267189e-01 9.217238e-01 1.250062e+00 1.776209e-01 3.638669e-05 -2.661358e-05 2.037676e-05 9.443010e-05
11470.339378 8.250776e-01 9.219851e-01 1.253426e+00 1.779357e-01 3.566041e-05 -1.854840e-05 2.729920e-05 9.189588e-05
11475.339378 8.245532e-01 9.235661e-01 1.258064e+00 1.783299e-01 2.798852e-05 -1.721227e-05 3.119035e-05 8.949910e-05
11480.339378 8.242066e-01 9.253171e-01 1.263203e+00 1.788611e-01 2.898832e-05 -2.505485e-05 3.604115e-05 8.649404e-05
11485.339378 8.228730e-01 9.259194e-01 1.266510e+00 1.797568e-01 2.659206e-05 -2.630899e-05 3.194496e-05 9.971685e-05
11490.339378 8.216292e-01 9.265953e-01 1.269655e+00 1.799531e-01 2.755762e-05 -2.869972e-05 2.697529e-05 9.480457e-05
11495.339378 8.206056e-01 9.275178e-01 1.273179e+00 1.808530e-01 3.676451e-05 -2.934863e-05 2.804392e-05 9.104881e-05
11500.339378 8.203572e-01 9.293964e-01 1.277718e+00 1.817407e-01 3.943258e-05 -2.703689e-05 1.924129e-05 8.016333e-05
11505.339378 8.191043e-01 9.300955e-01 1.279991e+00 1.824212e-01 3.951338e-05 -2.652498e-05 1.458051e-05 7.210298e-05
11510.339378 8.179842e-01 9.307668e-01 1.281953e+00 1.833697e-01 5.039106e-05 -2.019458e-05 1.970232e-05 7.232047e-05
11515.339378 8.165796e-01 9.311442e-01 1.282762e+00 1.845701e-01 5.362591e-05 -1.315856e-05 1.090091e-05 7.612843e-05
11520.339378 8.164873e-01 9.331810e-01 1.285016e+00 1.865539e-01 4.949346e-05 -1.496014e-05 1.607977e-05 9.661240e-05
11525.339378 8.156430e-01 9.341810e-01 1.284560e+00 1.884360e-01 4.656054e-05 -1.585520e-05 1.925062e-05 1.040366e-04
11530.339378 8.148905e-01 9.351466e-01 1.282480e+00 1.908798e-01 4.253434e-05 -7.670432e-06 2.236448e-05 9.974960e-05
11534.000000 8.143962e-01 9.358690e-01 1.278896e+00 1.931648e-01 5.131879e-05 -8.002123e-06 2.077794e-05 1.005412e-04
11535.000000 8.139697e-01 9.356878e-01 1.277079e+00 1.943071e-01 4.114389e-05 -1.389570e-05 2.582743e-05 1.033003e-04
11536.000000 8.130373e-01 9.349055e-01 1.273841e+00 1.950317e-01 4.841607e-05 -1.698166e-05 2.571166e-05 1.006403e-04
11537.000000 8.143641e-01 9.367794e-01 1.274765e+00 1.960232e-01 5.437586e-05 -1.731434e-05 1.950689e-05 9.687834e-05
11538.000000 8.140827e-01 9.366493e-01 1.272409e+00 1.971833e-01 3.756879e-05 -2.564690e-05 1.902682e-05 9.986478e-05
11539.000000 8.136236e-01 9.366218e-01 1.269749e+00 1.979625e-01 4.479861e-05 -2.506023e-05 1.811406e-05 1.089384e-04
11540.000000 8.125112e-01 9.355288e-01 1.265141e+00 1.989082e-01 4.437250e-05 -2.369511e-05 8.864586e-06 9.841582e-05
11541.000000 8.131411e-01 9.366832e-01 1.263278e+00 1.998179e-01 3.782298e-05 -3.136339e-05 2.584052e-05 9.955365e-05
11541.200000 8.193747e-01 9.438699e-01 1.271848e+00 2.010048e-01 3.850197e-05 -2.375090e-05 2.834695e-05 8.722784e-05
11541.400000 8.100596e-01 9.328878e-01 1.257629e+00 1.976026e-01 3.669844e-05 -2.935093e-05 1.684445e-05 8.194744e-05
11541.600000 8.122099e-01 9.352983e-01 1.259277e+00 2.023832e-01 3.273145e-05 -2.037940e-05 2.978453e-05 9.488829e-05
11541.800000 8.006340e-01 9.226097e-01 1.240420e+00 2.013207e-01 2.380653e-05 -1.239532e-05 1.174940e-05 7.388275e-05
11542.000000 8.158594e-01 9.399219e-01 1.263990e+00 2.025347e-01 4.232410e-05 -5.402579e-06 2.097378e-05 7.287879e-05
11542.200000 8.070565e-01 9.293929e-01 1.249564e+00 2.001135e-01 3.162433e-05 -1.440129e-05 2.255232e-05 8.400274e-05
11542.400000 8.215431e-01 9.468916e-01 1.272329e+00 2.052728e-01 2.609143e-05 -2.628994e-06 3.358023e-05 1.006086e-04
11542.600000 8.169373e-01 9.413275e-01 1.263545e+00 2.028106e-01 3.924749e-05 -9.353856e-06 4.058481e-05 1.056684e-04
11542.800000 8.113977e-01 9.350583e-01 1.253565e+00 2.035252e-01 2.757415e-05 -9.578449e-06 3.447915e-05 1.027052e-04
11543.000000 8.152860e-01 9.393201e-01 1.259041e+00 2.028892e-01 4.196326e-05 -4.985036e-06 3.048150e-05 9.995487e-05
11543.200000 8.093093e-01 9.323097e-01 1.248556e+00 2.032230e-01 2.860203e-05 -6.460297e-06 2.201829e-05 9.366648e-05
11543.400000 8.169715e-01 9.417681e-01 1.260663e+00 2.063666e-01 4.384481e-05 -1.898009e-05 1.751740e-05 9.065097e-05
11543.600000 8.035445e-01 9.259631e-01 1.239246e+00 2.005837e-01 3.871679e-05 -8.297504e-06 4.079061e-05 9.348167e-05
11543.800000 8.143434e-01 9.384493e-01 1.255759e+00 2.068256e-01 2.664014e-05 -7.972760e-06 1.311902e-05 9.332224e-05
11544.000000 8.114982e-01 9.351936e-01 1.249506e+00 2.053670e-01 3.151855e-05 -2.184954e-05 5.006354e-06 1.017103e-04
11544.200000 8.125653e-01 9.365985e-01 1.249333e+00 2.055351e-01 2.271865e-05 -2.004950e-05 2.107766e-05 1.088772e-04
11544.400000 8.126779e-01 9.366241e-01 1.249059e+00 2.041209e-01 3.230232e-05 -1.757342e-05 3.049664e-06 9.511285e-05
11544.600000 8.097915e-01 9.333498e-01 1.243824e+00 2.038422e-01 2.073684e-05 -2.473541e-05 8.885862e-06 9.157640e-05
11544.800000 8.121251e-01 9.363365e-01 1.247052e+00 2.086765e-01 3.385319e-05 -2.550905e-05 1.212803e-05 9.925378e-05
11545.000000 8.131198e-01 9.377357e-01 1.246654e+00 2.097987e-01 2.870843e-05 -3.386911e-05 1.780429e-05 1.105176e-04
11545.200000 8.140620e-01 9.383367e-01 1.246535e+00 2.062391e-01 2.173477e-05 -2.056963e-05 1.770312e-05 9.791365e-05
11545.400000 8.150454e-01 9.395801e-01 1.247863e+00 2.077847e-01 4.055175e-05 -2.340172e-05 1.853348e-05 9.791027e-05
11545.600000 8.068213e-01 9.302257e-01 1.233824e+00 2.090752e-01 3.807943e-05 -1.588600e-05 1.598474e-05 1.014001e-04
11545.800000 8.165446e-01 9.413208e-01 1.247199e+00 2.083470e-01 4.890250e-05 -1.397413e-05 2.791521e-05 1.095160e-04
11546.000000 8.118363e-01 9.364574e-01 1.239030e+00 2.090959e-01 4.216939e-05 -2.322621e-05 2.747304e-05 1.027426e-04
11546.200000 8.145822e-01 9.391017e-01 1.242277e+00 2.120161e-01 5.132019e-05 -1.943676e-05 2.627054e-05 1.005736e-04
11546.400000 8.149972e-01 9.396351e-01 1.240732e+00 2.108469e-01 3.766745e-05 -1.485437e-05 1.453468e-05 9.248349e-05
11546.600000 8.177662e-01 9.430300e-01 1.244590e+00 2.138221e-01 3.793702e-05 -1.674708e-05 -3.212365e-06 7.499478e-05
11546.800000 7.907407e-01 9.117590e-01 1.201708e+00 2.071930e-01 3.917136e-05 -1.745342e-05 4.141999e-06 9.120422e-05
11547.000000 8.174535e-01 9.426416e-01 1.241300e+00 2.140808e-01 3.561905e-05 -1.669876e-05 9.347659e-06 9.875198e-05
11547.200000 8.108735e-01 9.350212e-01 1.229317e+00 2.113097e-01 5.210054e-05 -1.738549e-05 1.652317e-05 1.010237e-04
11547.400000 8.060765e-01 9.297169e-01 1.220200e+00 2.136721e-01 4.160484e-05 -1.348431e-05 9.547485e-06 9.944316e-05
11547.600000 8.076975e-01 9.311477e-01 1.221000e+00 2.088448e-01 4.597064e-05 -1.805738e-05 5.194313e-06 1.040616e-04
11547.800000 8.144271e-01 9.390076e-01 1.230118e+00 2.126777e-01 4.727954e-05 -2.505316e-05 -8.844354e-06 9.104840e-05
11548.000000 8.092905e-01 9.333813e-01 1.220892e+00 2.139987e-01 5.300004e-05 -2.991389e-05 -2.979732e-06 7.935619e-05
11548.200000 8.145489e-01 9.390037e-01 1.226152e+00 2.165971e-01 5.502316e-05 -2.694003e-05 5.059295e-06 8.820955e-05
11548.400000 8.091450e-01 9.334200e-01 1.217602e+00 2.157182e-01 5.701222e-05 -1.425219e-05 1.403156e-05 9.273742e-05
11548.600000 8.109112e-01 9.351713e-01 1.217231e+00 2.156087e-01 5.193951e-05 -1.467585e-05 2.359379e-05 1.028980e-04
11548.800000 8.169311e-01 9.423138e-01 1.224979e+00 2.189309e-01 5.057453e-05 -2.400574e-05 1.796388e-05 1.012892e-04
11549.000000 8.103572e-01 9.343125e-01 1.212351e+00 2.185864e-01 6.790224e-05 -2.445908e-05 1.422525e-05 1.036333e-04
11549.200000 8.138120e-01 9.385430e-01 1.215924e+00 2.161909e-01 4.128066e-05 -1.339830e-05 1.092138e-05 1.010731e-04
11549.400000 8.137023e-01 9.384348e-01 1.213399e+00 2.195307e-01 4.581497e-05 -2.307308e-05 1.429679e-05 1.098005e-04
11549.600000 8.075600e-01 9.311866e-01 1.202245e+00 2.165373e-01 3.506752e-05 -2.482033e-05 4.082332e-06 9.548307e-05
11549.800000 8.145672e-01 9.393804e-01 1.211348e+00 2.167063e-01 4.862499e-05 -2.496645e-05 -4.619472e-06 1.064924e-04
11550.000000 8.105755e-01 9.346673e-01 1.202726e+00 2.189987e-01 4.037471e-05 -1.492005e-05 -1.390302e-08 1.049688e-04
11550.200000 8.112684e-01 9.354269e-01 1.201200e+00 2.235050e-01 5.407630e-05 -2.228684e-05 1.085390e-05 9.634402e-05
11550.400000 8.085877e-01 9.320144e-01 1.194325e+00 2.222396e-01 5.114333e-05 -2.540749e-05 2.637269e-05 1.035829e-04
11550.600000 8.133486e-01 9.379020e-01 1.199543e+00 2.250082e-01 5.995384e-05 -2.034859e-05 2.161999e-05 1.060797e-04
11550.800000 8.134539e-01 9.380373e-01 1.196744e+00 2.223877e-01 5.918253e-05 -2.874889e-05 3.459513e-06 9.958336e-05
11551.000000 8.208183e-01 9.462876e-01 1.205347e+00 2.271267e-01 6.046976e-05 -3.156407e-05 -6.804538e-06 9.998968e-05
11551.200000 7.905657e-01 9.113277e-01 1.157888e+00 2.207775e-01 5.287941e-05 -3.869975e-05 5.510079e-06 9.364977e-05
11551.400000 8.167726e-01 9.416282e-01 1.193047e+00 2.293045e-01 5.813319e-05 -2.935411e-05 1.117911e-05 9.696825e-05
11551.600000 8.080711e-01 9.314889e-01 1.176938e+00 2.264220e-01 4.909388e-05 -1.978793e-05 2.269804e-05 9.886897e-05
11551.800000 8.127156e-01 9.367181e-01 1.181092e+00 2.283655e-01 3.632903e-05 -2.337441e-05 1.076890e-05 9.896524e-05
11552.000000 8.112015e-01 9.354889e-01 1.175662e+00 2.309231e-01 4.044857e-05 -2.283070e-05 1.681539e-05 1.021252e-04
11552.200000 8.116725e-01 9.355263e-01 1.172558e+00 2.308356e-01 3.939098e-05 -2.474407e-05 1.609052e-05 1.154354e-04
11552.400000 8.065759e-01 9.294912e-01 1.161324e+00 2.322023e-01 3.643953e-05 -2.146759e-05 1.226109e-05 1.190378e-04
11552.600000 8.141765e-01 9.381444e-01 1.168708e+00 2.365699e-01 3.746000e-05 -2.363117e-05 7.437832e-06 1.020408e-04
11552.800000 8.095390e-01 9.326198e-01 1.157903e+00 2.337081e-01 3.433750e-05 -1.784109e-05 3.455788e-06 9.295225e-05
11553.000000 8.130114e-01 9.365347e-01 1.159100e+00 2.339946e-01 2.624489e-05 -1.989562e-05 1.089728e-05 9.386395e-05
11553.200000 8.109210e-01 9.338098e-01 1.152359e+00 2.357838e-01 3.799979e-05 -1.965547e-05 -7.194219e-06 9.205604e-05
11553.400000 8.138257e-01 9.374921e-01 1.152438e+00 2.388113e-01 2.670129e-05 -2.160984e-05 2.610100e-06 1.040327e-04
11553.600000 8.059560e-01 9.281757e-01 1.136107e+00 2.388831e-01 2.871882e-05 -1.548651e-05 2.692027e-06 1.142081e-04
11553.800000 8.115232e-01 9.345406e-01 1.139876e+00 2.421376e-01 2.859442e-05 -2.371546e-05 1.324885e-05 1.146920e-04
11554.000000 8.075767e-01 9.297679e-01 1.129783e+00 2.437963e-01 3.491155e-05 -2.933963e-05 2.747478e-05 1.127416e-04
11554.200000 8.157935e-01 9.392674e-01 1.136097e+00 2.473336e-01 3.402684e-05 -3.530964e-05 1.685083e-05 1.052905e-04
11554.400000 8.096075e-01 9.315613e-01 1.122027e+00 2.457992e-01 2.762216e-05 -4.474901e-05 2.073352e-05 1.165141e-04
11554.600000 8.109708e-01 9.333237e-01 1.118665e+00 2.479928e-01 2.597474e-05 -4.350047e-05 1.037086e-05 1.039169e-04
11554.800000 8.113927e-01 9.335018e-01 1.113609e+00 2.506844e-01 3.082864e-05 -3.986243e-05 8.201201e-06 9.254765e-05
11555.000000 8.137607e-01 9.362194e-01 1.111468e+00 2.527876e-01 3.770828e-05 -4.490194e-05 8.336867e-07 9.637811e-05
11555.200000 8.012616e-01 9.211299e-01 1.087869e+00 2.518447e-01 3.183496e-05 -4.452616e-05 2.008023e-05 9.017251e-05
11555.400000 8.114965e-01 9.334213e-01 1.095800e+00 2.549837e-01 4.232730e-05 -3.346177e-05 2.349551e-05 9.826995e-05
11555.600000 8.075488e-01 9.280801e-01 1.082895e+00 2.590556e-01 3.374076e-05 -2.367500e-05 1.802855e-05 1.022181e-04
11555.800000 8.087370e-01 9.295773e-01 1.078546e+00 2.618919e-01 5.607949e-05 -2.467072e-05 1.436261e-05 9.091461e-05
11556.000000 8.124616e-01 9.334807e-01 1.075294e+00 2.656974e-01 4.411420e-05 -2.787050e-05 1.662066e-05 8.700636e-05
11556.200000 8.095831e-01 9.297625e-01 1.064620e+00 2.644927e-01 3.806311e-05 -2.892026e-05 2.331459e-05 8.730475e-05
11556.400000 8.103169e-01 9.301405e-01 1.056819e+00 2.666860e-01 2.583442e-05 -3.151260e-05 2.737284e-05 8.319004e-05
11556.600000 8.127310e-01 9.331839e-01 1.052665e+00 2.729466e-01 2.612285e-05 -3.588587e-05 2.726347e-05 9.444233e-05
11556.800000 8.119372e-01 9.315109e-01 1.041957e+00 2.721398e-01 1.342061e-05 -3.860494e-05 2.897382e-05 9.094561e-05
11557.000000 8.118626e-01 9.314085e-01 1.033598e+00 2.788614e-01 2.753226e-05 -3.237966e-05 2.613673e-05 8.775552e-05
11557.200000 8.103131e-01 9.288381e-01 1.021669e+00 2.780449e-01 1.521346e-05 -2.361205e-05 1.733449e-05 8.541140e-05
11557.400000 8.108089e-01 9.292367e-01 1.012116e+00 2.796475e-01 2.427549e-05 -1.868290e-05 2.575896e-05 9.046759e-05
11557.600000 8.090599e-01 9.264595e-01 9.991370e-01 2.862048e-01 1.448214e-05 -2.900585e-05 2.448602e-05 8.690956e-05
11557.800000 8.140845e-01 9.317463e-01 9.945974e-01 2.923718e-01 2.724599e-05 -3.431480e-05 2.292146e-05 8.038585e-05
11558.000000 8.004794e-01 9.156668e-01 9.667008e-01 2.905972e-01 2.381567e-05 -1.946013e-05 2.402744e-05 8.689882e-05
11558.200000 8.106456e-01 9.268588e-01 9.671364e-01 2.993887e-01 1.325771e-05 -2.924954e-05 3.977039e-05 1.056163e-04
11558.400000 8.136740e-01 9.298032e-01 9.581842e-01 3.043399e-01 1.910595e-05 -4.507944e-05 3.553501e-05 9.692646e-05
11558.600000 8.047842e-01 9.191298e-01 9.336996e-01 3.091417e-01 3.097023e-05 -4.023767e-05 3.145809e-05 9.492837e-05
