# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270767
# UID: 549db156-25c9-44cb-b6ad-1b274f5a7fdd
# Comment: Zn filter 3 um
# Start time: 10/18/2023  11:58:28
# Stop time: 10/18/2023  11:59:00
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.426509 4.216070e-01 4.526020e-01 5.881349e-01 8.139229e-02 4.101349e-06 -2.702310e-05 1.985444e-05 2.666208e-05
11385.426509 8.284147e-01 8.906413e-01 1.158909e+00 1.608762e-01 2.021733e-05 -5.269953e-05 2.966589e-05 4.400651e-05
11390.426509 8.344087e-01 8.990942e-01 1.172824e+00 1.616545e-01 3.379254e-05 -5.657911e-05 1.928992e-05 3.873895e-05
11395.426509 8.417517e-01 9.094549e-01 1.189737e+00 1.627814e-01 4.265084e-05 -5.701360e-05 2.715142e-05 3.766053e-05
11400.426509 8.403139e-01 9.100704e-01 1.193207e+00 1.629686e-01 4.584818e-05 -5.863373e-05 3.109491e-05 1.324370e-05
11405.426509 8.384577e-01 9.102163e-01 1.196240e+00 1.625100e-01 4.081774e-05 -6.231681e-05 3.093535e-05 8.281948e-06
11410.426509 8.352551e-01 9.088878e-01 1.197322e+00 1.625540e-01 2.782322e-05 -6.008818e-05 2.754759e-05 1.057690e-05
11415.426509 8.275522e-01 9.025222e-01 1.191289e+00 1.614616e-01 2.428192e-05 -5.863893e-05 3.780633e-05 2.051659e-05
11420.426509 8.270902e-01 9.041009e-01 1.196424e+00 1.620387e-01 1.386499e-05 -6.690450e-05 3.949217e-05 2.830826e-05
11425.426509 8.341311e-01 9.142333e-01 1.213263e+00 1.640703e-01 1.317060e-05 -7.032916e-05 4.070337e-05 3.069497e-05
