# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270771
# UID: 3223c008-9470-42e5-ae56-137b1f23887c
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:00:49
# Stop time: 10/18/2023  12:01:21
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.219638e-01 4.525295e-01 5.883715e-01 8.221555e-02 -1.326121e-07 -1.832763e-06 1.558275e-05 1.832492e-05
11385.425245 8.293700e-01 8.907382e-01 1.159751e+00 1.625865e-01 1.302343e-05 7.491759e-07 3.395931e-05 3.895624e-05
11390.425245 8.352973e-01 8.990519e-01 1.173557e+00 1.633055e-01 2.111605e-05 1.119595e-06 3.808340e-05 3.627641e-05
11395.425245 8.424284e-01 9.091504e-01 1.190029e+00 1.640984e-01 2.025217e-05 -1.091995e-06 2.787934e-05 3.039221e-05
11400.425245 8.406684e-01 9.094681e-01 1.193045e+00 1.646335e-01 1.091462e-05 -1.106344e-05 3.799040e-05 3.503790e-05
11405.425245 8.391211e-01 9.100201e-01 1.196750e+00 1.650408e-01 6.090626e-06 -6.176508e-06 3.801183e-05 4.494534e-05
11410.425245 8.371514e-01 9.101547e-01 1.199860e+00 1.648893e-01 1.891114e-06 -5.765250e-06 3.420693e-05 3.529148e-05
11415.425245 8.279838e-01 9.021568e-01 1.191751e+00 1.629164e-01 -9.642572e-06 -1.324335e-05 2.438946e-05 2.849330e-05
11420.425245 8.276229e-01 9.038447e-01 1.197097e+00 1.637743e-01 -8.219129e-06 -4.894167e-06 3.667156e-05 2.673837e-05
11425.425245 8.351089e-01 9.144896e-01 1.214537e+00 1.660674e-01 -1.519241e-05 -1.034285e-05 4.412153e-05 2.384726e-05
11430.425245 8.366437e-01 9.184009e-01 1.222967e+00 1.666092e-01 -1.417207e-05 -6.204999e-07 4.181519e-05 2.661968e-05
11435.425245 8.344992e-01 9.181845e-01 1.225781e+00 1.665274e-01 -1.239361e-05 -9.276229e-06 3.869090e-05 2.993552e-05
11440.425245 8.334335e-01 9.192059e-01 1.229956e+00 1.669301e-01 -8.463189e-06 -8.604734e-06 4.720157e-05 3.385377e-05
11445.425245 8.328204e-01 9.207414e-01 1.235140e+00 1.673890e-01 -4.925033e-06 -9.393183e-06 4.362643e-05 3.700768e-05
