# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270772
# UID: da2c4147-b7d6-4dd2-a6f4-e9772decb2c9
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:01:24
# Stop time: 10/18/2023  12:01:56
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.217328e-01 4.524486e-01 5.880940e-01 8.241505e-02 1.002800e-05 -6.628218e-06 1.622748e-05 1.879808e-05
11385.425245 8.289081e-01 8.907031e-01 1.159312e+00 1.626778e-01 1.895044e-05 -1.560099e-05 4.080649e-05 4.302008e-05
11390.425245 8.346324e-01 8.988690e-01 1.172960e+00 1.634552e-01 1.972216e-05 -2.556041e-05 3.940709e-05 3.627120e-05
11395.425245 8.423410e-01 9.095287e-01 1.190263e+00 1.643005e-01 2.006814e-05 -3.284797e-05 3.095897e-05 4.282665e-05
11400.425245 8.406612e-01 9.099894e-01 1.193483e+00 1.648634e-01 2.523897e-05 -3.141141e-05 3.220162e-05 4.301982e-05
11405.425245 8.386291e-01 9.099854e-01 1.196272e+00 1.652001e-01 2.098863e-05 -3.438291e-05 3.872963e-05 3.660948e-05
11410.425245 8.357672e-01 9.089714e-01 1.197792e+00 1.647145e-01 2.600960e-05 -3.553258e-05 3.876912e-05 4.030833e-05
11415.425245 8.282876e-01 9.028170e-01 1.192443e+00 1.635137e-01 3.261850e-05 -2.896964e-05 2.851557e-05 4.329247e-05
11420.425245 8.274136e-01 9.038638e-01 1.196738e+00 1.640721e-01 3.800532e-05 -2.693913e-05 2.321454e-05 4.451882e-05
11425.425245 8.351993e-01 9.147317e-01 1.214598e+00 1.663720e-01 2.709692e-05 -3.783504e-05 1.869063e-05 4.345644e-05
11430.425245 8.357296e-01 9.175425e-01 1.221517e+00 1.670216e-01 3.149681e-05 -2.862240e-05 1.721496e-05 3.499889e-05
11435.425245 8.337717e-01 9.175618e-01 1.224490e+00 1.667283e-01 2.507865e-05 -2.349251e-05 2.358315e-05 3.462778e-05
11440.425245 8.323985e-01 9.182284e-01 1.228537e+00 1.666776e-01 2.354103e-05 -1.984988e-05 3.254619e-05 3.748536e-05
11445.425245 8.322351e-01 9.203254e-01 1.234465e+00 1.671367e-01 2.443271e-05 -1.572784e-05 2.670365e-05 3.272500e-05
11450.425245 8.312293e-01 9.212846e-01 1.238539e+00 1.681235e-01 2.359440e-05 -2.294848e-05 3.760217e-05 3.032856e-05
11455.425245 8.306498e-01 9.227695e-01 1.243642e+00 1.683456e-01 1.567358e-05 -2.130633e-05 3.889149e-05 2.199394e-05
