# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270773
# UID: 15d809d8-a917-4ddb-98b0-60c3726cfcdb
# Comment: Zn filter 3 um
# Start time: 10/18/2023  12:01:59
# Stop time: 10/18/2023  12:02:31
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.221982e-01 4.530414e-01 5.889603e-01 8.250301e-02 5.509468e-06 -1.475336e-05 9.624908e-06 1.967538e-05
11385.425245 8.294283e-01 8.913301e-01 1.160240e+00 1.629979e-01 1.008788e-05 -3.067405e-05 2.629386e-05 3.336032e-05
11390.425245 8.354704e-01 8.997680e-01 1.174222e+00 1.640095e-01 2.724768e-06 -3.252921e-05 3.455278e-05 3.106583e-05
11395.425245 8.427137e-01 9.099660e-01 1.190927e+00 1.649221e-01 -3.012078e-06 -3.214950e-05 3.082658e-05 3.490974e-05
11400.425245 8.414009e-01 9.107396e-01 1.194826e+00 1.652853e-01 5.089207e-06 -3.155871e-05 2.012646e-05 2.532417e-05
11405.425245 8.395225e-01 9.108543e-01 1.197932e+00 1.653786e-01 4.037349e-06 -3.737756e-05 2.147156e-05 2.850361e-05
11410.425245 8.370445e-01 9.103539e-01 1.200145e+00 1.653022e-01 8.755542e-06 -4.218456e-05 3.382193e-05 3.869669e-05
11415.425245 8.288421e-01 9.033842e-01 1.193523e+00 1.638224e-01 3.817409e-06 -3.308027e-05 2.773982e-05 3.976969e-05
11420.425245 8.290082e-01 9.055603e-01 1.199365e+00 1.647328e-01 2.504281e-06 -2.781318e-05 2.290664e-05 4.300474e-05
11425.425245 8.362937e-01 9.159165e-01 1.216696e+00 1.665535e-01 -2.266883e-06 -3.384993e-05 2.511943e-05 3.975593e-05
