# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270839
# UID: 2d157c8c-d4f7-420d-90a7-1ec1992893dd
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:46:15
# Stop time: 10/18/2023  14:46:48
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.215430e-01 4.407080e-01 5.720197e-01 7.821757e-02 6.837568e-06 -1.070217e-05 -6.039355e-06 2.432975e-05
11385.425245 8.286694e-01 8.675440e-01 1.127831e+00 1.546405e-01 1.959132e-05 -1.397894e-05 -1.924376e-05 4.961907e-05
11390.425245 8.346453e-01 8.757821e-01 1.141247e+00 1.552867e-01 1.960416e-05 -1.780231e-05 -1.020262e-05 4.520843e-05
11395.425245 8.421114e-01 8.859918e-01 1.157837e+00 1.562459e-01 1.758437e-05 -2.304375e-05 -1.850550e-05 4.980625e-05
11400.425245 8.409958e-01 8.869570e-01 1.161939e+00 1.565579e-01 2.063791e-05 -3.652750e-05 -1.714884e-05 4.731001e-05
11405.425245 8.383923e-01 8.862621e-01 1.163758e+00 1.568214e-01 2.126384e-05 -3.390034e-05 -8.715808e-06 4.957552e-05
11410.425245 8.362990e-01 8.861039e-01 1.166410e+00 1.567957e-01 1.493888e-05 -3.394567e-05 -8.172624e-06 5.048678e-05
11415.425245 8.275361e-01 8.787033e-01 1.159228e+00 1.553960e-01 2.103396e-05 -3.535688e-05 -7.196751e-06 4.791015e-05
11420.425245 8.266397e-01 8.797865e-01 1.163548e+00 1.556783e-01 1.629563e-05 -3.710779e-05 -1.548185e-05 5.153447e-05
11425.425245 8.347058e-01 8.907676e-01 1.181395e+00 1.580352e-01 1.312229e-05 -3.056702e-05 -1.666699e-05 4.548430e-05
11430.425245 8.359987e-01 8.942993e-01 1.189160e+00 1.589245e-01 1.493120e-05 -2.932750e-05 -1.455773e-05 4.484832e-05
11435.425245 8.339292e-01 8.942146e-01 1.192029e+00 1.588921e-01 1.800376e-05 -2.835856e-05 -1.574186e-05 5.541260e-05
11440.425245 8.330006e-01 8.954329e-01 1.196524e+00 1.588907e-01 1.905629e-05 -3.309571e-05 -1.531389e-05 5.658038e-05
11445.425245 8.321674e-01 8.967598e-01 1.201235e+00 1.595061e-01 2.331284e-05 -2.811627e-05 -1.210789e-05 5.238811e-05
11450.425245 8.308221e-01 8.974743e-01 1.204996e+00 1.598806e-01 1.035252e-05 -2.988791e-05 -2.349204e-06 4.741035e-05
11455.425245 8.296810e-01 8.984128e-01 1.208995e+00 1.602416e-01 1.747968e-05 -4.696936e-05 -6.001686e-06 5.220531e-05
11460.425245 8.282442e-01 8.989644e-01 1.212656e+00 1.603803e-01 1.423172e-05 -4.393695e-05 2.802065e-07 5.135225e-05
11465.425245 8.275212e-01 9.002312e-01 1.217274e+00 1.609051e-01 1.251604e-05 -4.213756e-05 1.036439e-05 4.636704e-05
11470.425245 8.265774e-01 9.013135e-01 1.221219e+00 1.611287e-01 2.147744e-05 -4.236469e-05 2.057398e-06 5.424520e-05
11475.425245 8.259287e-01 9.028263e-01 1.226102e+00 1.616698e-01 2.591858e-05 -3.212267e-05 -8.291987e-06 3.894588e-05
11480.425245 8.252421e-01 9.042377e-01 1.230631e+00 1.619910e-01 3.169049e-05 -3.271010e-05 5.269358e-06 2.843043e-05
11485.425245 8.237648e-01 9.047298e-01 1.233760e+00 1.624624e-01 3.156869e-05 -3.254169e-05 -1.585323e-06 2.225885e-05
11490.425245 8.225041e-01 9.054591e-01 1.236942e+00 1.629932e-01 2.399879e-05 -3.640942e-05 -1.616979e-06 3.161913e-05
11495.425245 8.215191e-01 9.063890e-01 1.240127e+00 1.641312e-01 1.741507e-05 -3.702106e-05 3.213974e-07 3.787672e-05
11500.425245 8.208828e-01 9.077060e-01 1.243866e+00 1.644663e-01 1.405223e-05 -3.180928e-05 -7.773562e-09 3.215666e-05
11505.425245 8.201908e-01 9.090776e-01 1.247108e+00 1.652052e-01 1.273136e-05 -3.779016e-05 -1.620705e-06 3.476273e-05
11510.425245 8.186284e-01 9.094347e-01 1.248638e+00 1.665995e-01 2.054276e-05 -3.649368e-05 -8.535408e-06 4.795121e-05
11515.425245 8.187598e-01 9.116654e-01 1.252395e+00 1.679392e-01 1.388193e-05 -3.086060e-05 -2.679868e-08 4.717889e-05
11520.425245 8.176587e-01 9.123967e-01 1.252914e+00 1.693944e-01 4.506228e-06 -3.361043e-05 5.671513e-07 4.500233e-05
11525.425245 8.165720e-01 9.130083e-01 1.251665e+00 1.711756e-01 1.077131e-05 -3.307840e-05 -3.331500e-06 4.283885e-05
11530.425245 8.154830e-01 9.135533e-01 1.248820e+00 1.733152e-01 2.356601e-05 -3.855732e-05 7.065486e-06 3.999494e-05
11534.000000 8.160082e-01 9.155351e-01 1.247362e+00 1.751228e-01 3.206876e-05 -3.840540e-05 6.610891e-06 3.366442e-05
11535.000000 8.169332e-01 9.170840e-01 1.247886e+00 1.761115e-01 3.082209e-05 -2.975591e-05 1.080378e-05 3.560284e-05
11536.000000 8.132841e-01 9.130371e-01 1.240649e+00 1.768370e-01 2.628626e-05 -3.441404e-05 6.778505e-06 4.029517e-05
11537.000000 8.152838e-01 9.156439e-01 1.242385e+00 1.780714e-01 2.562493e-05 -4.003203e-05 4.497660e-06 4.949018e-05
11538.000000 8.148938e-01 9.154076e-01 1.239799e+00 1.798096e-01 2.209505e-05 -3.864251e-05 1.888161e-06 4.863398e-05
11539.000000 8.145813e-01 9.154480e-01 1.237224e+00 1.791395e-01 1.798767e-05 -3.877994e-05 6.751324e-06 5.080501e-05
11540.000000 8.135422e-01 9.145737e-01 1.233015e+00 1.802219e-01 1.990911e-05 -3.668611e-05 5.971280e-06 4.548056e-05
11541.000000 8.128841e-01 9.140863e-01 1.229364e+00 1.814197e-01 1.821383e-05 -4.037293e-05 1.381591e-05 4.325437e-05
11541.200000 8.147873e-01 9.160096e-01 1.231394e+00 1.820975e-01 2.537505e-05 -4.094464e-05 1.332097e-05 4.774525e-05
