# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270840
# UID: 8ee5f9b3-8205-43d0-ab80-b37d6f037b0a
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:46:51
# Stop time: 10/18/2023  14:47:23
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.212922e-01 4.403422e-01 5.717545e-01 7.813144e-02 -1.055930e-06 -1.962966e-05 1.826698e-05 2.898283e-06
11385.425245 8.283238e-01 8.670845e-01 1.127418e+00 1.546727e-01 -1.318296e-06 -3.832815e-05 3.488456e-05 5.520358e-06
11390.425245 8.343225e-01 8.754095e-01 1.140962e+00 1.552417e-01 4.370789e-06 -2.680337e-05 3.055308e-05 7.080402e-06
11395.425245 8.420348e-01 8.859747e-01 1.157981e+00 1.562099e-01 -4.440082e-06 -2.665578e-05 2.972086e-05 1.387217e-05
11400.425245 8.399507e-01 8.860575e-01 1.160909e+00 1.569068e-01 -9.310583e-07 -3.567472e-05 3.426689e-05 1.151158e-05
11405.425245 8.380469e-01 8.862076e-01 1.163803e+00 1.563240e-01 3.581833e-06 -4.730529e-05 2.962419e-05 1.054301e-05
11410.425245 8.351443e-01 8.852600e-01 1.165305e+00 1.564468e-01 -1.217467e-06 -4.676130e-05 2.437657e-05 1.190643e-05
11415.425245 8.268821e-01 8.784790e-01 1.158979e+00 1.553789e-01 7.909045e-07 -4.502953e-05 2.075893e-05 1.611850e-05
11420.425245 8.269760e-01 8.806572e-01 1.164723e+00 1.556997e-01 -2.763740e-06 -5.122916e-05 2.357276e-05 1.692655e-05
11425.425245 8.339400e-01 8.904540e-01 1.181079e+00 1.579049e-01 1.438002e-05 -4.041884e-05 2.779621e-05 1.180586e-05
11430.425245 8.349916e-01 8.938565e-01 1.188652e+00 1.585927e-01 1.108412e-05 -3.696830e-05 1.464880e-05 1.053433e-05
11435.425245 8.332365e-01 8.940781e-01 1.191793e+00 1.590691e-01 1.538842e-05 -4.160977e-05 1.630184e-05 1.111766e-05
11440.425245 8.317161e-01 8.945488e-01 1.195412e+00 1.590253e-01 1.515442e-05 -4.455150e-05 2.073946e-05 1.131650e-05
11445.425245 8.317644e-01 8.967862e-01 1.201569e+00 1.593538e-01 1.170413e-05 -5.023561e-05 2.633403e-05 1.695642e-05
11450.425245 8.305683e-01 8.976927e-01 1.205794e+00 1.601490e-01 1.649279e-05 -5.457346e-05 2.718119e-05 4.581573e-06
11455.425245 8.290574e-01 8.980881e-01 1.209028e+00 1.604168e-01 2.228030e-05 -5.328269e-05 2.119346e-05 5.794577e-06
11460.425245 8.279839e-01 8.989994e-01 1.212806e+00 1.604933e-01 2.371794e-05 -4.845422e-05 2.502319e-05 1.415871e-05
11465.425245 8.267399e-01 8.997214e-01 1.216657e+00 1.605488e-01 1.315143e-05 -4.533925e-05 1.991791e-05 1.354817e-05
11470.425245 8.259046e-01 9.009344e-01 1.221008e+00 1.604582e-01 1.219596e-05 -4.227500e-05 2.103876e-05 1.522423e-05
11475.425245 8.246628e-01 9.017701e-01 1.224783e+00 1.607341e-01 4.191101e-06 -4.976148e-05 2.333743e-05 3.962796e-06
11480.425245 8.245179e-01 9.037960e-01 1.229972e+00 1.615816e-01 -4.896202e-06 -4.769053e-05 3.240376e-05 -4.250970e-06
11485.425245 8.240034e-01 9.053343e-01 1.234443e+00 1.623866e-01 -6.783117e-06 -4.650524e-05 3.424468e-05 -5.629494e-06
11490.425245 8.229442e-01 9.062530e-01 1.238104e+00 1.628581e-01 -6.023957e-06 -4.264973e-05 2.276566e-05 -4.200091e-06
11495.425245 8.219234e-01 9.071606e-01 1.241360e+00 1.640316e-01 -1.577253e-05 -3.954490e-05 1.530717e-05 -3.354812e-06
11500.425245 8.206279e-01 9.078219e-01 1.243901e+00 1.649003e-01 -1.859100e-05 -3.118318e-05 1.602413e-05 3.459722e-06
11505.425245 8.194940e-01 9.086655e-01 1.246557e+00 1.654982e-01 -9.129856e-06 -2.872666e-05 8.471008e-06 -1.528200e-07
11510.425245 8.181718e-01 9.092463e-01 1.248299e+00 1.663163e-01 -1.223781e-05 -2.818914e-05 1.910876e-05 4.883717e-06
11515.425245 8.172990e-01 9.102763e-01 1.250352e+00 1.677619e-01 -1.246699e-05 -3.708390e-05 1.838102e-05 1.546446e-05
11520.425245 8.174930e-01 9.125509e-01 1.252861e+00 1.693666e-01 -9.116683e-06 -3.991486e-05 1.812041e-05 1.541804e-05
11525.425245 8.163391e-01 9.131894e-01 1.252075e+00 1.714221e-01 -1.983408e-06 -4.443390e-05 1.617151e-05 9.594364e-06
11530.425245 8.149630e-01 9.134882e-01 1.248729e+00 1.734932e-01 -8.520641e-07 -3.501382e-05 1.486457e-05 9.450133e-06
11534.000000 8.147660e-01 9.145863e-01 1.245915e+00 1.751240e-01 -1.103757e-05 -3.527364e-05 1.473504e-05 1.071886e-05
11535.000000 8.148941e-01 9.149590e-01 1.245014e+00 1.761192e-01 -9.573417e-06 -3.832652e-05 2.034464e-05 1.182471e-05
11536.000000 8.142660e-01 9.146407e-01 1.242714e+00 1.768877e-01 -1.105176e-05 -4.027823e-05 2.628027e-05 -1.174650e-05
11537.000000 8.146675e-01 9.154786e-01 1.242246e+00 1.780475e-01 -1.653417e-05 -3.256297e-05 3.936209e-05 -2.317382e-05
11538.000000 8.156273e-01 9.169869e-01 1.241908e+00 1.801408e-01 -1.531673e-05 -2.649926e-05 2.755739e-05 -2.122372e-05
11539.000000 8.151988e-01 9.166546e-01 1.238847e+00 1.802409e-01 -1.331247e-05 -3.340476e-05 3.959576e-05 -1.930300e-05
11540.000000 8.141372e-01 9.157563e-01 1.234662e+00 1.818221e-01 -5.130957e-06 -4.200846e-05 4.097252e-05 -9.379727e-06
11541.000000 8.135286e-01 9.154611e-01 1.231127e+00 1.824819e-01 -1.420858e-05 -5.385067e-05 3.036876e-05 2.669915e-06
11541.200000 8.121390e-01 9.140782e-01 1.228403e+00 1.819094e-01 -2.386657e-05 -5.006170e-05 1.402310e-05 -5.288535e-06
11541.400000 8.140733e-01 9.162736e-01 1.230745e+00 1.818904e-01 -2.203888e-05 -5.354703e-05 3.094080e-05 3.614764e-06
11541.600000 8.110087e-01 9.125726e-01 1.224661e+00 1.810013e-01 -2.463640e-05 -4.750463e-05 4.708299e-05 1.089703e-05
11541.800000 8.100400e-01 9.117360e-01 1.223105e+00 1.821693e-01 -1.880500e-05 -4.535013e-05 4.290037e-05 5.351641e-06
11542.000000 8.248343e-01 9.285615e-01 1.244904e+00 1.870020e-01 -1.830906e-05 -4.688519e-05 3.063239e-05 9.368715e-06
11542.200000 8.082130e-01 9.098182e-01 1.219219e+00 1.827453e-01 -2.846297e-05 -4.367871e-05 3.334502e-05 7.369450e-07
11542.400000 8.219403e-01 9.254945e-01 1.239242e+00 1.861080e-01 -1.134158e-05 -5.057269e-05 3.620116e-05 -3.786354e-06
11542.600000 8.112097e-01 9.131097e-01 1.221496e+00 1.842087e-01 -1.908330e-05 -5.738514e-05 3.497125e-05 7.714139e-06
11542.800000 8.141834e-01 9.162465e-01 1.225842e+00 1.859143e-01 -1.564475e-05 -4.694136e-05 4.004470e-05 1.166728e-05
11543.000000 8.143925e-01 9.172953e-01 1.225883e+00 1.835211e-01 -2.720505e-05 -3.828144e-05 3.768494e-05 3.949652e-06
11543.200000 8.087591e-01 9.106521e-01 1.216335e+00 1.846439e-01 -2.208879e-05 -3.598920e-05 3.449068e-05 7.067659e-07
11543.400000 8.128391e-01 9.148542e-01 1.221069e+00 1.847710e-01 -2.391465e-05 -4.063847e-05 4.414869e-05 1.489587e-05
