# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270841
# UID: 9daa453d-caf1-4156-a66a-ea74e7ef0e94
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:47:26
# Stop time: 10/18/2023  14:47:58
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.556242 4.227069e-01 4.419343e-01 5.737658e-01 7.836378e-02 -3.787903e-06 -1.771539e-05 1.332474e-05 4.920806e-06
11385.556242 8.298540e-01 8.689130e-01 1.129716e+00 1.547180e-01 -1.734678e-07 -3.378341e-05 2.485094e-05 1.332567e-05
11390.556242 8.367185e-01 8.780605e-01 1.144522e+00 1.558419e-01 -5.602045e-06 -2.931852e-05 2.812793e-05 1.625106e-05
11395.556242 8.434373e-01 8.874900e-01 1.159967e+00 1.569076e-01 -1.530608e-05 -2.528999e-05 3.974283e-05 2.135972e-05
11400.556242 8.420109e-01 8.882151e-01 1.163716e+00 1.571692e-01 -8.453592e-06 -3.008338e-05 3.226644e-05 1.742954e-05
11405.556242 8.403846e-01 8.887131e-01 1.167069e+00 1.569657e-01 -2.521172e-06 -1.929743e-05 3.229953e-05 1.338445e-05
11410.556242 8.377328e-01 8.880212e-01 1.169000e+00 1.568792e-01 -7.035487e-06 -2.280270e-05 3.349645e-05 2.228214e-05
11415.556242 8.289061e-01 8.805582e-01 1.161607e+00 1.551165e-01 -5.915600e-06 -3.260436e-05 3.384695e-05 1.716997e-05
11420.556242 8.290796e-01 8.828813e-01 1.167826e+00 1.562228e-01 -6.238330e-06 -2.790592e-05 3.136153e-05 2.358103e-05
11425.556242 8.360499e-01 8.927281e-01 1.184249e+00 1.581035e-01 -8.842751e-06 -1.889599e-05 2.576676e-05 3.893706e-05
11430.556242 8.366712e-01 8.955506e-01 1.191051e+00 1.588378e-01 -7.490832e-06 -1.038239e-05 2.096499e-05 3.393628e-05
11435.556242 8.356580e-01 8.966450e-01 1.195363e+00 1.594304e-01 -1.255450e-05 -1.580731e-05 3.646537e-05 2.528182e-05
11440.556242 8.345502e-01 8.975902e-01 1.199717e+00 1.590942e-01 -1.868012e-05 -1.682769e-05 3.464327e-05 2.228743e-05
11445.556242 8.334857e-01 8.986300e-01 1.203915e+00 1.596662e-01 -2.498329e-05 -2.848387e-05 1.742761e-05 1.840985e-05
11450.556242 8.322151e-01 8.993815e-01 1.207724e+00 1.602959e-01 -3.190532e-05 -2.377488e-05 2.023663e-05 1.952867e-05
11455.556242 8.310423e-01 9.002190e-01 1.211667e+00 1.601052e-01 -3.361994e-05 -2.434264e-05 2.170058e-05 1.889128e-05
11460.556242 8.300403e-01 9.012448e-01 1.215870e+00 1.606834e-01 -3.246506e-05 -3.128429e-05 2.562492e-05 1.521178e-05
11465.556242 8.293308e-01 9.026213e-01 1.220618e+00 1.605959e-01 -2.589002e-05 -3.651499e-05 3.041339e-05 2.179351e-05
11470.556242 8.286589e-01 9.040437e-01 1.225203e+00 1.615014e-01 -2.593399e-05 -3.046283e-05 2.623463e-05 2.448060e-05
11475.556242 8.272037e-01 9.045200e-01 1.228528e+00 1.621276e-01 -2.690079e-05 -3.033877e-05 2.454924e-05 2.959146e-05
11480.556242 8.268825e-01 9.063404e-01 1.233656e+00 1.625876e-01 -2.781772e-05 -1.671757e-05 2.922917e-05 4.611282e-05
11485.556242 8.257866e-01 9.072918e-01 1.237362e+00 1.632345e-01 -2.200203e-05 -2.679895e-05 3.065835e-05 4.899841e-05
11490.556242 8.249322e-01 9.084901e-01 1.241097e+00 1.636207e-01 -1.321176e-05 -3.282981e-05 4.303217e-05 4.130283e-05
11495.556242 8.235646e-01 9.090732e-01 1.243883e+00 1.641927e-01 -1.506792e-05 -3.879893e-05 3.747925e-05 3.411927e-05
11500.556242 8.225847e-01 9.100686e-01 1.247066e+00 1.649127e-01 -1.760482e-05 -3.183962e-05 3.961841e-05 3.022744e-05
11505.556242 8.210650e-01 9.104506e-01 1.249227e+00 1.656865e-01 -2.563541e-05 -3.975469e-05 5.299995e-05 3.264292e-05
11510.556242 8.200671e-01 9.113606e-01 1.251548e+00 1.669866e-01 -1.969625e-05 -3.383475e-05 5.074536e-05 3.965122e-05
11515.556242 8.193548e-01 9.126272e-01 1.253681e+00 1.681623e-01 -2.424286e-05 -3.207938e-05 4.541661e-05 3.372764e-05
11520.556242 8.191095e-01 9.143068e-01 1.255388e+00 1.699118e-01 -2.668550e-05 -3.576883e-05 4.074183e-05 2.867850e-05
11525.556242 8.186046e-01 9.157772e-01 1.255550e+00 1.717485e-01 -1.599567e-05 -3.571203e-05 3.586940e-05 2.800752e-05
11530.556242 8.176161e-01 9.165352e-01 1.252977e+00 1.742636e-01 -1.349619e-05 -4.295088e-05 4.052672e-05 1.977460e-05
11534.000000 8.168769e-01 9.169205e-01 1.249381e+00 1.754222e-01 -1.833318e-05 -3.865490e-05 2.933814e-05 -1.083669e-06
11535.000000 8.157041e-01 9.158914e-01 1.246595e+00 1.758323e-01 -1.821395e-05 -3.948544e-05 2.812233e-05 1.928559e-06
11536.000000 8.153293e-01 9.158939e-01 1.244426e+00 1.772907e-01 -1.982193e-05 -3.843983e-05 2.291809e-05 5.951231e-07
11537.000000 8.140282e-01 9.146762e-01 1.240690e+00 1.774615e-01 -1.146179e-05 -4.298106e-05 2.970343e-05 4.894663e-06
11538.000000 8.138233e-01 9.146430e-01 1.238530e+00 1.783891e-01 -1.247146e-05 -4.761700e-05 2.782646e-05 -6.202854e-06
11539.000000 8.156045e-01 9.169978e-01 1.239406e+00 1.806337e-01 -1.066952e-05 -4.504784e-05 3.264955e-05 2.413153e-06
11540.000000 8.162775e-01 9.181366e-01 1.238002e+00 1.811539e-01 -5.784885e-06 -4.124852e-05 2.674599e-05 1.492060e-05
11541.000000 8.167653e-01 9.189863e-01 1.235975e+00 1.830140e-01 -7.829940e-06 -3.790165e-05 3.477151e-05 2.183416e-05
