# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270843
# UID: 084f0816-6ba1-4ad9-89cb-bf7344eb0001
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:48:36
# Stop time: 10/18/2023  14:49:08
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.220034e-01 4.412631e-01 5.728778e-01 7.835183e-02 -1.749996e-06 -1.428226e-05 1.291136e-05 1.060166e-05
11385.425245 8.294073e-01 8.685742e-01 1.129271e+00 1.549541e-01 -1.160232e-05 -2.740757e-05 1.915727e-05 1.278818e-05
11390.425245 8.353332e-01 8.767601e-01 1.142652e+00 1.551639e-01 -1.600433e-05 -2.503412e-05 1.643591e-05 2.647541e-07
11395.425245 8.426587e-01 8.868968e-01 1.158991e+00 1.567543e-01 -1.442712e-05 -1.696538e-05 2.116065e-05 8.841896e-06
11400.425245 8.412299e-01 8.875812e-01 1.162640e+00 1.570100e-01 -8.508431e-06 -2.131452e-05 2.490065e-05 -1.010744e-06
11405.425245 8.392775e-01 8.876128e-01 1.165464e+00 1.569377e-01 -1.060320e-05 -2.193954e-05 2.360723e-05 -6.057237e-06
11410.425245 8.366273e-01 8.869764e-01 1.167462e+00 1.569345e-01 -1.304724e-05 -2.346424e-05 2.254576e-05 1.340480e-06
11415.425245 8.284799e-01 8.802248e-01 1.161400e+00 1.556723e-01 -8.648583e-06 -2.897249e-05 2.191036e-05 1.005687e-05
11420.425245 8.283621e-01 8.821090e-01 1.166718e+00 1.561558e-01 -5.055129e-06 -2.567613e-05 1.638302e-05 1.399389e-05
11425.425245 8.348146e-01 8.913747e-01 1.182336e+00 1.583261e-01 -2.606892e-06 -2.315416e-05 1.420033e-05 1.317992e-05
11430.425245 8.361704e-01 8.950090e-01 1.190138e+00 1.588997e-01 -7.972063e-06 -1.787488e-05 2.523719e-05 1.603783e-05
11435.425245 8.346183e-01 8.954778e-01 1.193671e+00 1.587858e-01 -4.726089e-06 -2.379470e-05 2.546308e-05 2.212251e-05
11440.425245 8.329042e-01 8.958511e-01 1.196910e+00 1.594004e-01 2.417709e-06 -2.243410e-05 4.222222e-05 1.475862e-05
11445.425245 8.314666e-01 8.965171e-01 1.200791e+00 1.594218e-01 -4.857076e-06 -2.314898e-05 4.382958e-05 1.188316e-05
11450.425245 8.312650e-01 8.984889e-01 1.206376e+00 1.598539e-01 -1.318615e-05 -1.775570e-05 4.221768e-05 1.096861e-05
11455.425245 8.302942e-01 8.996133e-01 1.210822e+00 1.599878e-01 -7.218588e-06 -2.327035e-05 4.126096e-05 1.065729e-05
11460.425245 8.282856e-01 8.995159e-01 1.213514e+00 1.601723e-01 -3.410578e-06 -2.622877e-05 3.783417e-05 1.289116e-05
11465.425245 8.278590e-01 9.012428e-01 1.218698e+00 1.606453e-01 -1.092827e-05 -3.168705e-05 3.580662e-05 8.797773e-06
11470.425245 8.275723e-01 9.030601e-01 1.224019e+00 1.619124e-01 -5.627924e-06 -3.093810e-05 3.174081e-05 1.655873e-05
11475.425245 8.264531e-01 9.039257e-01 1.227785e+00 1.621115e-01 -1.090068e-05 -3.537281e-05 2.334817e-05 2.078310e-05
11480.425245 8.256201e-01 9.050721e-01 1.231797e+00 1.624985e-01 -3.214016e-06 -3.881391e-05 1.008196e-05 1.475230e-05
11485.425245 8.249146e-01 9.065405e-01 1.236434e+00 1.629310e-01 -1.677579e-07 -4.627273e-05 5.884741e-06 1.779153e-05
11490.425245 8.236213e-01 9.072064e-01 1.239480e+00 1.634992e-01 -3.859091e-06 -3.852241e-05 1.531984e-05 1.456408e-05
11495.425245 8.224314e-01 9.080008e-01 1.242630e+00 1.643374e-01 -5.994302e-06 -4.079042e-05 1.604685e-05 5.509191e-06
11500.425245 8.219100e-01 9.095094e-01 1.246513e+00 1.649683e-01 -4.589622e-06 -3.790219e-05 1.532994e-05 3.732407e-06
11505.425245 8.203006e-01 9.097954e-01 1.248242e+00 1.653731e-01 -1.511141e-05 -3.289190e-05 1.186909e-05 -5.626684e-07
11510.425245 8.198466e-01 9.112743e-01 1.251236e+00 1.664995e-01 -1.667424e-05 -3.660598e-05 1.611206e-05 -6.263222e-06
11515.425245 8.186690e-01 9.119776e-01 1.252521e+00 1.679775e-01 -1.829727e-05 -3.712743e-05 2.476110e-05 1.180904e-05
11520.425245 8.186735e-01 9.140938e-01 1.255012e+00 1.695851e-01 -1.535730e-05 -4.050689e-05 1.453955e-05 1.492831e-05
11525.425245 8.172184e-01 9.142619e-01 1.253467e+00 1.715096e-01 -1.385547e-05 -3.791221e-05 1.571041e-05 1.051550e-05
11530.425245 8.162163e-01 9.150997e-01 1.250974e+00 1.738060e-01 -1.453908e-05 -3.772358e-05 3.170759e-05 1.527344e-05
11534.000000 8.153016e-01 9.153557e-01 1.247079e+00 1.757369e-01 -1.251201e-05 -4.110548e-05 3.282146e-05 1.663894e-05
11535.000000 8.155612e-01 9.160405e-01 1.246540e+00 1.763164e-01 -1.528892e-05 -4.618626e-05 3.355986e-05 1.596840e-05
11536.000000 8.145782e-01 9.151168e-01 1.243365e+00 1.768976e-01 -1.757819e-05 -4.367789e-05 3.674290e-05 1.660601e-05
11537.000000 8.141343e-01 9.149910e-01 1.240984e+00 1.774436e-01 -2.098771e-05 -4.128723e-05 3.700950e-05 2.425024e-05
11538.000000 8.143430e-01 9.154237e-01 1.239488e+00 1.780683e-01 -1.060868e-05 -4.766682e-05 3.273576e-05 1.831117e-05
11539.000000 8.152432e-01 9.168138e-01 1.238746e+00 1.802556e-01 -3.618822e-06 -4.178436e-05 2.927746e-05 1.998970e-05
11540.000000 8.149016e-01 9.167393e-01 1.235890e+00 1.809604e-01 -5.682897e-06 -4.364996e-05 1.692545e-05 1.198543e-05
11541.000000 8.159360e-01 9.182759e-01 1.234987e+00 1.820152e-01 -1.003177e-06 -4.876772e-05 2.013484e-05 1.567484e-06
11541.200000 8.163480e-01 9.190819e-01 1.235374e+00 1.821193e-01 -1.122065e-05 -4.369973e-05 2.984763e-05 1.041069e-05
11541.400000 8.112790e-01 9.128621e-01 1.226821e+00 1.832612e-01 4.453336e-06 -4.858476e-05 2.364467e-05 1.139268e-05
11541.600000 8.233998e-01 9.271863e-01 1.244180e+00 1.878144e-01 -8.744610e-06 -4.090520e-05 2.686339e-05 8.734252e-06
11541.800000 8.209470e-01 9.240022e-01 1.239724e+00 1.834056e-01 -1.575402e-05 -4.412943e-05 2.132344e-05 5.967321e-06
11542.000000 8.174380e-01 9.200299e-01 1.233168e+00 1.844650e-01 -7.887807e-07 -4.160914e-05 1.957495e-05 -3.867045e-06
11542.200000 8.175900e-01 9.205737e-01 1.233406e+00 1.845300e-01 9.723241e-07 -2.981957e-05 7.350188e-06 -9.223816e-06
11542.400000 8.181736e-01 9.209630e-01 1.233180e+00 1.846003e-01 9.661393e-06 -4.469916e-05 2.306892e-05 -1.414376e-06
11542.600000 8.159288e-01 9.189921e-01 1.229639e+00 1.857091e-01 -1.349494e-05 -4.093908e-05 2.995577e-05 4.548731e-06
11542.800000 8.152607e-01 9.182053e-01 1.228877e+00 1.847264e-01 -8.068981e-06 -3.930411e-05 3.678729e-05 1.533047e-06
11543.000000 8.174074e-01 9.207182e-01 1.230331e+00 1.844743e-01 -6.278159e-06 -4.321475e-05 3.288292e-05 1.732617e-05
11543.200000 8.179836e-01 9.210690e-01 1.229782e+00 1.854765e-01 -8.169177e-06 -3.706199e-05 2.344196e-05 2.103688e-05
11543.400000 8.142775e-01 9.165736e-01 1.223517e+00 1.845361e-01 -6.584336e-06 -3.571013e-05 2.942561e-05 1.074561e-05
11543.600000 8.165497e-01 9.195402e-01 1.226710e+00 1.891948e-01 -6.950735e-06 -4.273960e-05 1.724584e-07 -5.993785e-06
11543.800000 8.101355e-01 9.124521e-01 1.216093e+00 1.850460e-01 3.661808e-06 -3.602814e-05 1.091257e-05 -9.871644e-06
