# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270844
# UID: 5bc6842c-bf83-4eb2-9e54-672c3e4ccf38
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:49:11
# Stop time: 10/18/2023  14:49:43
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.383847 4.219877e-01 4.412197e-01 5.728588e-01 7.841640e-02 -7.426133e-07 -1.635702e-05 7.954086e-06 3.739033e-05
11385.383847 8.290910e-01 8.681146e-01 1.128790e+00 1.550099e-01 -1.355506e-06 -2.798061e-05 1.912942e-05 7.373404e-05
11390.383847 8.347403e-01 8.760012e-01 1.142040e+00 1.554346e-01 3.026297e-06 -2.994965e-05 2.285044e-05 7.301507e-05
11395.383847 8.425760e-01 8.867214e-01 1.158964e+00 1.561279e-01 -5.042442e-07 -2.067956e-05 2.039114e-05 6.919818e-05
11400.383847 8.405158e-01 8.866838e-01 1.161542e+00 1.568154e-01 -1.643641e-06 -2.580394e-05 2.140458e-05 7.259604e-05
11405.383847 8.387383e-01 8.869371e-01 1.164694e+00 1.568464e-01 3.055114e-06 -3.474466e-05 1.732219e-05 7.260930e-05
11410.383847 8.362848e-01 8.864692e-01 1.166775e+00 1.568951e-01 2.626467e-07 -3.818569e-05 1.329709e-05 7.122939e-05
11415.383847 8.282770e-01 8.799196e-01 1.160798e+00 1.557329e-01 4.129273e-06 -2.227438e-05 9.272229e-06 7.962668e-05
11420.383847 8.273675e-01 8.810000e-01 1.165086e+00 1.561359e-01 5.127755e-06 -1.665383e-05 1.704268e-05 7.801687e-05
11425.383847 8.341348e-01 8.906171e-01 1.181007e+00 1.580306e-01 7.304619e-06 -2.557117e-05 2.271251e-05 7.533699e-05
11430.383847 8.354887e-01 8.943648e-01 1.189196e+00 1.590843e-01 6.342393e-06 -1.765638e-05 9.758281e-06 6.127230e-05
11435.383847 8.345541e-01 8.954952e-01 1.193644e+00 1.587996e-01 -4.142514e-06 -1.498509e-05 1.343263e-05 5.623986e-05
11440.383847 8.333637e-01 8.963566e-01 1.197710e+00 1.589846e-01 -4.461470e-06 -1.797629e-05 1.750786e-05 5.570296e-05
11445.383847 8.318412e-01 8.967911e-01 1.201273e+00 1.596146e-01 2.736869e-06 -2.623457e-05 1.008561e-05 4.515662e-05
11450.383847 8.311085e-01 8.980903e-01 1.205851e+00 1.600625e-01 1.020721e-05 -2.612931e-05 6.904676e-06 4.534586e-05
11455.383847 8.299245e-01 8.989077e-01 1.209662e+00 1.605439e-01 9.990163e-06 -2.178304e-05 5.116500e-06 4.229928e-05
11460.383847 8.289040e-01 8.999329e-01 1.213964e+00 1.605045e-01 3.073705e-06 -1.694934e-05 8.462954e-06 4.820444e-05
11465.383847 8.271731e-01 9.001931e-01 1.216872e+00 1.608985e-01 1.037533e-05 -1.457618e-05 9.709929e-06 4.250556e-05
11470.383847 8.263573e-01 9.013472e-01 1.221198e+00 1.613876e-01 1.058160e-05 -1.855609e-05 2.264869e-05 3.880686e-05
11475.383847 8.257897e-01 9.029009e-01 1.226138e+00 1.618708e-01 1.194366e-05 -8.188109e-06 3.310460e-05 4.276094e-05
11480.383847 8.259774e-01 9.052799e-01 1.231825e+00 1.619910e-01 1.702789e-05 -8.343581e-06 2.976241e-05 4.538549e-05
11485.383847 8.245074e-01 9.057397e-01 1.234877e+00 1.628386e-01 4.207472e-06 -1.936113e-05 3.487267e-05 5.423957e-05
11490.383847 8.235611e-01 9.067711e-01 1.238632e+00 1.634211e-01 -6.140315e-07 -8.604459e-06 3.178999e-05 5.256264e-05
11495.383847 8.219786e-01 9.072113e-01 1.241259e+00 1.637705e-01 5.607330e-06 -1.146620e-05 1.574025e-05 4.640024e-05
11500.383847 8.210531e-01 9.081310e-01 1.244355e+00 1.648166e-01 4.772162e-06 -6.970490e-06 8.572047e-06 5.235327e-05
11505.383847 8.203539e-01 9.094857e-01 1.247683e+00 1.657758e-01 2.428109e-06 -7.401220e-06 2.121931e-05 5.129582e-05
11510.383847 8.193272e-01 9.104474e-01 1.249954e+00 1.667135e-01 5.951872e-06 -1.506479e-05 2.028637e-05 4.873346e-05
11515.383847 8.181971e-01 9.111491e-01 1.251248e+00 1.675858e-01 9.051058e-06 -1.921915e-05 2.694300e-05 4.564076e-05
11520.383847 8.182504e-01 9.133018e-01 1.253923e+00 1.692654e-01 2.275922e-06 -1.046325e-05 3.471641e-05 4.780249e-05
11525.383847 8.168516e-01 9.136756e-01 1.252591e+00 1.714153e-01 -4.511314e-07 -9.429470e-06 2.616534e-05 5.690697e-05
11530.383847 8.162570e-01 9.148813e-01 1.250484e+00 1.737784e-01 7.888000e-07 -8.726090e-06 1.510554e-05 5.471858e-05
11534.000000 8.162200e-01 9.160531e-01 1.247888e+00 1.761585e-01 -1.788049e-06 -1.532989e-05 1.295756e-05 6.452865e-05
11535.000000 8.159369e-01 9.161103e-01 1.246337e+00 1.767548e-01 -8.067416e-06 -2.017710e-05 1.247021e-05 7.278017e-05
11536.000000 8.156314e-01 9.160034e-01 1.244403e+00 1.772816e-01 -2.301237e-06 -1.506005e-05 2.192294e-05 7.294551e-05
11537.000000 8.148545e-01 9.154469e-01 1.241736e+00 1.767443e-01 5.955126e-07 -1.067322e-05 2.299489e-05 7.643590e-05
11538.000000 8.141208e-01 9.149174e-01 1.238679e+00 1.785061e-01 6.224359e-06 -8.413455e-06 1.378453e-05 7.644191e-05
11539.000000 8.138360e-01 9.148975e-01 1.235939e+00 1.787423e-01 2.098087e-05 -1.739245e-05 2.918005e-05 7.871478e-05
11540.000000 8.142626e-01 9.157378e-01 1.234394e+00 1.805458e-01 2.024884e-05 -2.616582e-05 4.438368e-05 6.551314e-05
11541.000000 8.132038e-01 9.147723e-01 1.230044e+00 1.811420e-01 1.801093e-05 -2.724533e-05 3.946504e-05 6.966647e-05
11541.200000 8.203315e-01 9.229949e-01 1.240386e+00 1.824336e-01 1.841561e-05 -2.437375e-05 3.255369e-05 5.605298e-05
11541.400000 8.056251e-01 9.061095e-01 1.217627e+00 1.791245e-01 2.609804e-05 -1.172268e-05 2.325857e-05 6.631025e-05
11541.600000 8.229140e-01 9.260160e-01 1.243690e+00 1.837497e-01 2.310676e-05 -7.266192e-06 3.235583e-05 5.695636e-05
11541.800000 8.137167e-01 9.151139e-01 1.228139e+00 1.827297e-01 1.613268e-05 -1.736958e-05 3.668026e-05 6.560151e-05
11542.000000 8.153120e-01 9.173493e-01 1.230396e+00 1.809200e-01 2.280577e-05 -2.293626e-05 2.726992e-05 7.357068e-05
11542.200000 8.096177e-01 9.109522e-01 1.220854e+00 1.816493e-01 1.328212e-05 -1.716535e-05 2.364279e-05 6.350139e-05
11542.400000 8.184719e-01 9.206003e-01 1.233115e+00 1.847387e-01 3.117941e-05 -2.260424e-05 2.973577e-05 6.941715e-05
11542.600000 8.161178e-01 9.184094e-01 1.229372e+00 1.855257e-01 2.784607e-05 -2.147665e-05 3.962043e-05 6.164839e-05
11542.800000 8.086296e-01 9.099974e-01 1.217162e+00 1.828857e-01 2.676406e-05 -2.622312e-05 4.132336e-05 5.867052e-05
11543.000000 8.218196e-01 9.251380e-01 1.236211e+00 1.874812e-01 1.505183e-05 -3.421590e-05 3.518621e-05 6.255943e-05
11543.200000 8.052566e-01 9.063228e-01 1.209967e+00 1.823823e-01 1.023938e-05 -3.090054e-05 3.735365e-05 4.741176e-05
11543.400000 8.149192e-01 9.171212e-01 1.224411e+00 1.833535e-01 2.151324e-05 -3.313938e-05 3.301029e-05 5.236923e-05
11543.600000 8.171974e-01 9.201398e-01 1.227138e+00 1.845392e-01 1.101469e-05 -3.232020e-05 4.068913e-05 7.472887e-05
11543.800000 8.079128e-01 9.090078e-01 1.212507e+00 1.855709e-01 2.592095e-05 -3.523494e-05 3.545514e-05 7.240039e-05
11544.000000 8.187845e-01 9.219626e-01 1.227527e+00 1.863889e-01 3.342545e-06 -3.250630e-05 3.388982e-05 5.788541e-05
11544.200000 8.117342e-01 9.137570e-01 1.215323e+00 1.855940e-01 4.237665e-06 -3.206763e-05 5.017355e-05 5.762123e-05
11544.400000 8.147531e-01 9.172536e-01 1.219572e+00 1.864783e-01 1.375743e-05 -4.147977e-05 4.511611e-05 5.842970e-05
11544.600000 8.148848e-01 9.176538e-01 1.218327e+00 1.863080e-01 1.196751e-05 -3.271586e-05 3.274397e-05 5.859468e-05
11544.800000 8.139424e-01 9.161035e-01 1.216067e+00 1.879195e-01 1.439555e-05 -2.640441e-05 3.008771e-05 5.316510e-05
11545.000000 8.133227e-01 9.158586e-01 1.213495e+00 1.903179e-01 1.038969e-05 -2.299111e-05 3.298615e-05 5.639814e-05
11545.200000 8.159897e-01 9.188453e-01 1.216845e+00 1.922341e-01 2.296402e-05 -2.380164e-05 3.668743e-05 2.137878e-05
11545.400000 8.116370e-01 9.140014e-01 1.209601e+00 1.898103e-01 9.815513e-06 -1.412599e-05 4.582811e-05 5.424308e-05
11545.600000 8.157534e-01 9.187088e-01 1.214724e+00 1.909460e-01 1.304458e-05 -1.746680e-05 4.154263e-05 6.030071e-05
11545.800000 8.166112e-01 9.198111e-01 1.214411e+00 1.893679e-01 1.497208e-05 -1.813947e-05 4.701212e-05 6.786535e-05
11546.000000 8.084820e-01 9.104973e-01 1.201859e+00 1.887483e-01 1.467805e-05 -2.270091e-05 3.943005e-05 7.223484e-05
11546.200000 8.062052e-01 9.078164e-01 1.196496e+00 1.884758e-01 1.969046e-05 -2.937364e-05 2.906063e-05 7.039035e-05
11546.400000 8.118636e-01 9.142155e-01 1.203685e+00 1.885762e-01 1.433972e-05 -2.906673e-05 2.279133e-05 6.578854e-05
11546.600000 8.142529e-01 9.169257e-01 1.205897e+00 1.929632e-01 2.686113e-05 -2.026125e-05 2.386340e-05 5.942028e-05
11546.800000 8.100738e-01 9.124573e-01 1.197980e+00 1.909499e-01 1.591964e-05 -1.465904e-05 2.067538e-05 6.038392e-05
11547.000000 8.141018e-01 9.167499e-01 1.202507e+00 1.927754e-01 9.856500e-06 -1.548896e-05 1.909005e-05 6.762583e-05
11547.200000 8.117335e-01 9.141209e-01 1.198420e+00 1.898752e-01 6.728848e-06 -1.113318e-05 4.380100e-05 5.725997e-05
11547.400000 8.144116e-01 9.170572e-01 1.199960e+00 1.929085e-01 1.007999e-07 -1.294816e-05 4.702943e-05 6.776014e-05
11547.600000 8.165922e-01 9.200689e-01 1.202125e+00 1.968065e-01 8.337170e-06 -8.317976e-06 3.963433e-05 6.297306e-05
11547.800000 8.052391e-01 9.067005e-01 1.183132e+00 1.923891e-01 5.795313e-06 -4.195754e-07 3.246581e-05 6.422927e-05
11548.000000 8.169981e-01 9.205066e-01 1.199966e+00 1.954994e-01 1.082160e-06 -7.154437e-06 4.769571e-05 6.555838e-05
11548.200000 8.191127e-01 9.228291e-01 1.201017e+00 1.972219e-01 -1.371105e-05 -8.744355e-06 3.382642e-05 5.599088e-05
11548.400000 7.883676e-01 8.876484e-01 1.153373e+00 1.911149e-01 1.022945e-05 -1.863370e-05 3.735657e-05 4.837119e-05
11548.600000 8.313449e-01 9.367095e-01 1.216552e+00 2.038662e-01 4.174434e-06 -1.289990e-05 4.943136e-05 5.786414e-05
