# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270845
# UID: 52b3b8a2-2df5-4e69-aafe-deba1dae2407
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:49:46
# Stop time: 10/18/2023  14:50:18
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.225541e-01 4.418294e-01 5.734862e-01 7.852504e-02 -2.800876e-06 -9.699229e-06 1.204136e-05 3.836349e-05
11385.425245 8.304862e-01 8.697047e-01 1.130451e+00 1.550973e-01 -7.842338e-06 -1.416577e-05 2.739173e-05 7.497125e-05
11390.425245 8.365802e-01 8.781058e-01 1.144186e+00 1.555692e-01 1.085138e-06 -1.204981e-05 2.724459e-05 7.909954e-05
11395.425245 8.440760e-01 8.884786e-01 1.160948e+00 1.566332e-01 5.571643e-06 -7.777904e-06 2.337138e-05 7.835221e-05
11400.425245 8.421981e-01 8.886237e-01 1.163810e+00 1.571606e-01 -6.967350e-06 -8.395840e-06 1.552262e-05 6.992853e-05
11405.425245 8.401960e-01 8.886233e-01 1.166539e+00 1.572402e-01 -1.805447e-06 -1.446847e-05 1.084539e-05 6.153775e-05
11410.425245 8.375713e-01 8.879775e-01 1.168377e+00 1.572792e-01 7.748341e-08 -1.372162e-05 1.782829e-05 5.668042e-05
11415.425245 8.302520e-01 8.822636e-01 1.163565e+00 1.558704e-01 -1.197643e-05 -1.303589e-05 2.325450e-05 6.150612e-05
11420.425245 8.290393e-01 8.829382e-01 1.167391e+00 1.561284e-01 -8.944613e-06 -1.200073e-05 3.864525e-05 5.679676e-05
11425.425245 8.363368e-01 8.930966e-01 1.184118e+00 1.582356e-01 -1.133248e-06 -1.311372e-05 3.902056e-05 6.051540e-05
11430.425245 8.377570e-01 8.967996e-01 1.192193e+00 1.591397e-01 1.990318e-06 -7.487694e-06 2.835272e-05 6.239422e-05
11435.425245 8.361532e-01 8.972508e-01 1.195854e+00 1.596226e-01 3.338843e-06 -2.964284e-06 4.061953e-05 6.197962e-05
11440.425245 8.354012e-01 8.986750e-01 1.200534e+00 1.600904e-01 1.568210e-06 -1.389476e-05 2.643352e-05 6.546769e-05
11445.425245 8.333024e-01 8.985069e-01 1.203363e+00 1.599600e-01 -7.448640e-06 -1.580839e-05 3.177449e-05 5.178006e-05
11450.425245 8.326031e-01 8.998424e-01 1.208107e+00 1.600098e-01 -3.533508e-06 -1.710052e-05 2.391093e-05 4.181509e-05
11455.425245 8.318459e-01 9.011947e-01 1.212689e+00 1.608266e-01 2.737775e-06 -1.522457e-05 2.240831e-05 5.466676e-05
11460.425245 8.305216e-01 9.018870e-01 1.216368e+00 1.609363e-01 -1.051654e-05 -3.267118e-06 2.006244e-05 5.579849e-05
11465.425245 8.296045e-01 9.029715e-01 1.220744e+00 1.609626e-01 -8.077597e-06 -1.266759e-06 2.548120e-05 6.325921e-05
11470.425245 8.281756e-01 9.035051e-01 1.224296e+00 1.612519e-01 -7.657237e-06 -7.019617e-06 3.472929e-05 6.672688e-05
11475.425245 8.273917e-01 9.048947e-01 1.228792e+00 1.618324e-01 -4.921368e-06 1.279129e-06 3.306217e-05 5.649889e-05
11480.425245 8.264592e-01 9.059171e-01 1.232660e+00 1.622486e-01 -9.715305e-06 -3.590943e-06 4.073695e-05 5.258606e-05
11485.425245 8.258021e-01 9.073138e-01 1.237035e+00 1.635355e-01 -1.582383e-06 -6.338072e-06 2.747207e-05 6.287277e-05
11490.425245 8.247370e-01 9.082618e-01 1.240972e+00 1.637576e-01 6.544667e-06 -9.068632e-06 2.211854e-05 6.969309e-05
11495.425245 8.238779e-01 9.093590e-01 1.244351e+00 1.642339e-01 -5.732723e-07 -4.354576e-06 2.610724e-05 6.200481e-05
11500.425245 8.230069e-01 9.104171e-01 1.247510e+00 1.650959e-01 -1.220857e-05 -4.798186e-06 2.647484e-05 6.512874e-05
11505.425245 8.215153e-01 9.107669e-01 1.249341e+00 1.657693e-01 -1.069027e-05 -1.147062e-05 3.899000e-05 7.299630e-05
11510.425245 8.203766e-01 9.115669e-01 1.251655e+00 1.670971e-01 -4.874888e-06 -1.217501e-05 3.624965e-05 6.872142e-05
11515.425245 8.199306e-01 9.131719e-01 1.254108e+00 1.683287e-01 9.606007e-07 -1.550430e-05 3.733014e-05 5.790771e-05
11520.425245 8.195404e-01 9.147742e-01 1.255837e+00 1.698825e-01 1.305050e-06 -1.007423e-05 3.545590e-05 5.261713e-05
