# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270846
# UID: ff1dab61-f9df-4a6d-8945-f0a9462271b9
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:50:21
# Stop time: 10/18/2023  14:50:53
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.215303e-01 4.407056e-01 5.722185e-01 7.822241e-02 2.617199e-06 -1.028083e-05 1.329190e-05 2.660067e-05
11385.425245 8.287521e-01 8.678110e-01 1.128342e+00 1.547463e-01 2.860244e-06 -1.411108e-05 2.690149e-05 6.210188e-05
11390.425245 8.346131e-01 8.758440e-01 1.141541e+00 1.553351e-01 6.713548e-06 -1.372550e-05 2.374516e-05 5.727398e-05
11395.425245 8.419409e-01 8.857791e-01 1.157638e+00 1.562051e-01 -4.988224e-06 -1.496444e-05 2.434961e-05 5.747950e-05
11400.425245 8.402561e-01 8.861835e-01 1.160847e+00 1.566511e-01 -1.674055e-06 -2.648987e-05 3.141057e-05 5.938512e-05
11405.425245 8.389379e-01 8.867802e-01 1.164499e+00 1.570802e-01 -1.171910e-06 -2.142031e-05 3.111901e-05 5.933513e-05
11410.425245 8.360708e-01 8.857666e-01 1.166022e+00 1.570502e-01 1.669945e-06 -2.601661e-05 2.336332e-05 5.664672e-05
11415.425245 8.276668e-01 8.787670e-01 1.159578e+00 1.558788e-01 -1.658426e-07 -1.745370e-05 2.817499e-05 5.161947e-05
11420.425245 8.274507e-01 8.807757e-01 1.165004e+00 1.561655e-01 -4.021447e-06 -1.949730e-05 3.601489e-05 5.648189e-05
11425.425245 8.341339e-01 8.903940e-01 1.180972e+00 1.581484e-01 -2.994458e-07 -1.795063e-05 3.203257e-05 6.182799e-05
11430.425245 8.359182e-01 8.946758e-01 1.189566e+00 1.590252e-01 -9.538209e-06 -5.690628e-06 2.527663e-05 6.523225e-05
11435.425245 8.351741e-01 8.959939e-01 1.194457e+00 1.595425e-01 -4.069895e-06 -1.122195e-05 1.663167e-05 5.784101e-05
11440.425245 8.331737e-01 8.959156e-01 1.197322e+00 1.593035e-01 -5.454216e-06 -2.428408e-05 2.739283e-05 5.833435e-05
11445.425245 8.322264e-01 8.970775e-01 1.201663e+00 1.595939e-01 -1.968702e-06 -2.509835e-05 2.914890e-05 6.652066e-05
11450.425245 8.316347e-01 8.985241e-01 1.206462e+00 1.600162e-01 -1.569366e-06 -1.742496e-05 2.542863e-05 6.643524e-05
11455.425245 8.300789e-01 8.989261e-01 1.209806e+00 1.599656e-01 1.135094e-06 -1.709257e-05 2.875330e-05 6.722583e-05
11460.425245 8.281863e-01 8.991288e-01 1.212880e+00 1.603830e-01 7.380800e-06 -1.782712e-05 3.390342e-05 6.608098e-05
11465.425245 8.278301e-01 9.008537e-01 1.218265e+00 1.608604e-01 6.414518e-06 -1.769835e-05 4.127631e-05 6.193124e-05
11470.425245 8.272459e-01 9.023318e-01 1.223039e+00 1.616327e-01 5.082595e-06 -1.705789e-05 4.586384e-05 6.751454e-05
11475.425245 8.258081e-01 9.028196e-01 1.226250e+00 1.620429e-01 6.298462e-07 -2.067427e-05 3.823065e-05 5.901579e-05
11480.425245 8.256457e-01 9.047869e-01 1.231637e+00 1.626077e-01 2.112325e-06 -1.334335e-05 4.180880e-05 4.838375e-05
11485.425245 8.243910e-01 9.055399e-01 1.234907e+00 1.631286e-01 3.963495e-06 -4.804561e-06 3.709810e-05 5.335149e-05
11490.425245 8.230398e-01 9.061343e-01 1.237928e+00 1.634753e-01 9.713493e-06 -6.904252e-06 3.815154e-05 5.975071e-05
11495.425245 8.220878e-01 9.071756e-01 1.241431e+00 1.640304e-01 9.188470e-07 -7.780269e-06 3.701150e-05 5.610375e-05
11500.425245 8.210073e-01 9.080422e-01 1.244295e+00 1.647970e-01 -2.181144e-07 -1.938480e-05 3.412587e-05 5.508019e-05
11505.425245 8.206222e-01 9.098008e-01 1.248231e+00 1.658110e-01 3.059007e-06 -2.396304e-05 3.591600e-05 6.292628e-05
11510.425245 8.196710e-01 9.107901e-01 1.250586e+00 1.667020e-01 -5.029124e-06 -1.492914e-05 3.764579e-05 6.681554e-05
11515.425245 8.189235e-01 9.120694e-01 1.252714e+00 1.682651e-01 4.223338e-06 -3.821867e-06 3.847861e-05 6.843686e-05
11520.425245 8.173442e-01 9.123634e-01 1.252590e+00 1.692641e-01 1.564356e-08 -1.202407e-05 2.767470e-05 6.956983e-05
11525.425245 8.169797e-01 9.138777e-01 1.252887e+00 1.709828e-01 -7.595324e-06 -2.404503e-05 3.239460e-05 6.463681e-05
11530.425245 8.159259e-01 9.145442e-01 1.250122e+00 1.738349e-01 -1.232612e-05 -1.839355e-05 4.650118e-05 7.816658e-05
11534.000000 8.151342e-01 9.148136e-01 1.246094e+00 1.757060e-01 -7.860728e-06 -2.381775e-05 4.194390e-05 8.097633e-05
11535.000000 8.141549e-01 9.139972e-01 1.243344e+00 1.756105e-01 -1.965500e-05 -2.616878e-05 3.999042e-05 7.355115e-05
11536.000000 8.146280e-01 9.149799e-01 1.243116e+00 1.776737e-01 -1.982762e-05 -2.761083e-05 3.171365e-05 6.694712e-05
11537.000000 8.151090e-01 9.158889e-01 1.242162e+00 1.787839e-01 -2.027683e-05 -2.152391e-05 3.295309e-05 6.517372e-05
11538.000000 8.150635e-01 9.161612e-01 1.240346e+00 1.784983e-01 -1.290718e-05 -1.653818e-05 3.756153e-05 6.451658e-05
11539.000000 8.144121e-01 9.156396e-01 1.237421e+00 1.790749e-01 -1.450272e-05 -1.115271e-05 4.278154e-05 4.480045e-05
11540.000000 8.146319e-01 9.162442e-01 1.235335e+00 1.808154e-01 2.577010e-06 -1.547355e-05 3.222872e-05 7.070206e-05
11541.000000 8.130568e-01 9.148347e-01 1.230164e+00 1.824909e-01 6.669806e-06 -1.439351e-05 4.082306e-05 8.035042e-05
11541.200000 8.179566e-01 9.203383e-01 1.237089e+00 1.822482e-01 1.307357e-05 -1.253876e-05 5.735774e-05 8.842518e-05
11541.400000 8.155647e-01 9.176491e-01 1.232001e+00 1.856572e-01 -9.914703e-06 -7.967072e-06 5.058139e-05 8.286375e-05
11541.600000 8.070298e-01 9.079509e-01 1.219316e+00 1.814266e-01 -1.068963e-05 -9.778315e-06 4.111578e-05 8.026770e-05
11541.800000 8.229322e-01 9.260438e-01 1.242486e+00 1.865194e-01 1.086623e-05 -1.210046e-05 3.669805e-05 7.984868e-05
11542.000000 8.121810e-01 9.140973e-01 1.226528e+00 1.834799e-01 -1.692271e-05 -1.700039e-05 4.454608e-05 6.938758e-05
11542.200000 8.110063e-01 9.125116e-01 1.223349e+00 1.832022e-01 -1.085732e-05 -1.594665e-05 4.354512e-05 6.335011e-05
11542.400000 8.136152e-01 9.158510e-01 1.226279e+00 1.849591e-01 -2.007117e-05 -1.780133e-05 4.325833e-05 8.098142e-05
11542.600000 8.164074e-01 9.189334e-01 1.229525e+00 1.843158e-01 -1.747757e-05 -2.303005e-05 4.990275e-05 7.263645e-05
11542.800000 7.854992e-01 8.843562e-01 1.183497e+00 1.795654e-01 -1.709034e-05 -2.218548e-05 5.274749e-05 7.825194e-05
11543.000000 8.319253e-01 9.365844e-01 1.251700e+00 1.867900e-01 -2.653598e-05 -1.886463e-05 4.897072e-05 7.130072e-05
11543.200000 8.173601e-01 9.199620e-01 1.229120e+00 1.867395e-01 -2.766537e-06 -5.869135e-06 4.509332e-05 7.639245e-05
