# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270847
# UID: fdb766fd-c628-4a22-87d6-381f511f1e33
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:50:57
# Stop time: 10/18/2023  14:51:28
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.554047 4.207729e-01 4.400076e-01 5.711470e-01 7.808635e-02 4.697440e-06 -1.777497e-05 4.139888e-06 2.376328e-05
11385.554047 8.269075e-01 8.660589e-01 1.125687e+00 1.547377e-01 6.929846e-06 -4.505695e-05 9.232373e-06 4.886520e-05
11390.554047 8.332734e-01 8.747158e-01 1.139733e+00 1.554611e-01 1.271050e-05 -5.091997e-05 1.333876e-05 5.320609e-05
11395.554047 8.407451e-01 8.850235e-01 1.156170e+00 1.562863e-01 7.154347e-06 -3.992275e-05 2.558784e-06 5.165898e-05
11400.554047 8.383478e-01 8.846044e-01 1.158327e+00 1.562477e-01 6.274482e-06 -3.583563e-05 1.105548e-05 6.078951e-05
11405.554047 8.368523e-01 8.851474e-01 1.161903e+00 1.566095e-01 1.250020e-05 -4.218907e-05 1.631425e-05 5.221030e-05
11410.554047 8.345729e-01 8.849070e-01 1.164484e+00 1.569671e-01 9.522774e-06 -4.786424e-05 1.484381e-05 4.831763e-05
11415.554047 8.257137e-01 8.773939e-01 1.157030e+00 1.555911e-01 9.559939e-06 -4.452943e-05 1.046663e-05 5.363483e-05
11420.554047 8.258422e-01 8.795819e-01 1.162774e+00 1.557588e-01 5.769315e-06 -3.983533e-05 3.647182e-06 5.551547e-05
11425.554047 8.332474e-01 8.898116e-01 1.179815e+00 1.575995e-01 8.905455e-06 -4.565438e-05 7.501610e-06 5.001444e-05
