# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270848
# UID: 28d7aa86-f493-45a6-8859-88f5d445f5cf
# Comment: Zn filter 3 um
# Start time: 10/18/2023  14:51:32
# Stop time: 10/18/2023  14:52:03
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.199824e-01 4.390796e-01 5.699138e-01 7.796946e-02 5.226423e-06 -2.396211e-05 6.673917e-06 4.014533e-05
11385.425245 8.253020e-01 8.641153e-01 1.123336e+00 1.543037e-01 1.440803e-05 -4.048017e-05 2.253581e-05 7.638301e-05
11390.425245 8.314014e-01 8.725255e-01 1.137062e+00 1.549830e-01 1.882961e-05 -3.025934e-05 2.925994e-05 5.725813e-05
11395.425245 8.392539e-01 8.832214e-01 1.154322e+00 1.559639e-01 2.339415e-05 -2.520255e-05 3.550503e-05 6.092896e-05
11400.425245 8.378766e-01 8.839371e-01 1.158182e+00 1.566474e-01 1.813088e-05 -2.008908e-05 3.605007e-05 6.081290e-05
11405.425245 8.361025e-01 8.841637e-01 1.161141e+00 1.565288e-01 1.278480e-05 -2.618775e-05 1.872483e-05 5.866200e-05
11410.425245 8.326474e-01 8.826017e-01 1.161508e+00 1.563643e-01 1.461948e-05 -2.536730e-05 1.427557e-05 5.808762e-05
11415.425245 8.243442e-01 8.757279e-01 1.155193e+00 1.548791e-01 2.053566e-05 -2.566237e-05 2.096626e-05 5.199593e-05
11420.425245 8.242588e-01 8.776486e-01 1.160679e+00 1.555018e-01 2.193428e-05 -2.798046e-05 1.838274e-05 6.225082e-05
11425.425245 8.317279e-01 8.879880e-01 1.177726e+00 1.578722e-01 1.898432e-05 -3.279035e-05 2.798397e-05 6.020066e-05
