# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270789
# UID: 7ca64de9-92a5-475e-a16b-135400203163
# Comment: Zn filter 3 um
# Start time: 10/18/2023  13:21:54
# Stop time: 10/18/2023  13:22:26
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.218657e-01 4.414337e-01 5.727114e-01 8.132894e-02 4.569343e-06 -3.470355e-05 5.664698e-06 5.394050e-05
11385.596982 8.285989e-01 8.682579e-01 1.128009e+00 1.608736e-01 1.531868e-05 -7.291711e-05 7.915420e-06 1.110869e-04
11390.596982 8.359777e-01 8.780511e-01 1.143720e+00 1.618131e-01 1.722593e-05 -6.930321e-05 8.051044e-07 1.021252e-04
11395.596982 8.430517e-01 8.879871e-01 1.159868e+00 1.629398e-01 9.385064e-06 -7.518076e-05 -1.108181e-05 8.755100e-05
11400.596982 8.410007e-01 8.879997e-01 1.162747e+00 1.630632e-01 1.302350e-05 -7.502922e-05 -1.319961e-05 9.169134e-05
11405.596982 8.391799e-01 8.882513e-01 1.165889e+00 1.632100e-01 5.235442e-06 -7.696801e-05 -6.057790e-06 9.279327e-05
11410.596982 8.363582e-01 8.873829e-01 1.167572e+00 1.633303e-01 1.184811e-05 -8.034773e-05 -1.271070e-05 8.258777e-05
11415.596982 8.279380e-01 8.803819e-01 1.160684e+00 1.618841e-01 5.521609e-06 -8.031880e-05 -1.547871e-05 8.718057e-05
11420.596982 8.274432e-01 8.819534e-01 1.165741e+00 1.622932e-01 1.440923e-06 -7.606944e-05 -1.282953e-05 9.689114e-05
11425.596982 8.355359e-01 8.929937e-01 1.183817e+00 1.647055e-01 6.838298e-06 -7.775762e-05 -6.574339e-06 8.680662e-05
11430.596982 8.370161e-01 8.967838e-01 1.191873e+00 1.654804e-01 1.352543e-06 -7.643444e-05 2.941217e-06 8.873331e-05
11435.596982 8.351109e-01 8.968162e-01 1.194859e+00 1.655035e-01 5.592852e-06 -7.642650e-05 6.732923e-06 8.435035e-05
11440.596982 8.339024e-01 8.976723e-01 1.198954e+00 1.659621e-01 6.694035e-06 -7.796525e-05 1.549267e-05 8.797990e-05
11445.596982 8.320540e-01 8.978041e-01 1.201913e+00 1.657528e-01 3.903395e-06 -7.510733e-05 8.756416e-06 8.460882e-05
11450.596982 8.307749e-01 8.986214e-01 1.205767e+00 1.657152e-01 7.008368e-06 -7.735890e-05 1.188910e-05 8.409187e-05
11455.596982 8.299985e-01 8.998721e-01 1.210335e+00 1.665276e-01 9.630370e-07 -7.219609e-05 1.479433e-05 8.586930e-05
11460.596982 8.294405e-01 9.014026e-01 1.215211e+00 1.667282e-01 -2.137140e-06 -6.862807e-05 1.355354e-05 8.001107e-05
11465.596982 8.289669e-01 9.030657e-01 1.220350e+00 1.677992e-01 4.956081e-06 -6.708505e-05 1.136779e-05 8.958610e-05
11470.596982 8.279603e-01 9.040670e-01 1.224438e+00 1.680934e-01 1.050831e-05 -7.329952e-05 6.965072e-06 9.059627e-05
11475.596982 8.265260e-01 9.046328e-01 1.227753e+00 1.685028e-01 8.016040e-06 -8.005569e-05 -2.531409e-07 9.121559e-05
11480.596982 8.254089e-01 9.056001e-01 1.231449e+00 1.683932e-01 5.853720e-06 -8.452434e-05 1.705826e-05 9.954033e-05
11485.596982 8.241886e-01 9.063936e-01 1.234717e+00 1.687629e-01 1.102008e-05 -7.613074e-05 1.062435e-05 1.010241e-04
11490.596982 8.234836e-01 9.077174e-01 1.238813e+00 1.696657e-01 8.224078e-06 -6.586463e-05 9.719129e-07 1.039412e-04
11495.596982 8.223222e-01 9.084967e-01 1.241943e+00 1.705069e-01 1.483516e-05 -7.619249e-05 1.740091e-06 1.031996e-04
11500.596982 8.219175e-01 9.102090e-01 1.246121e+00 1.710433e-01 6.628300e-06 -6.722002e-05 1.227603e-05 1.046897e-04
11505.596982 8.214537e-01 9.118250e-01 1.249961e+00 1.722837e-01 7.461607e-06 -7.124088e-05 1.438167e-05 9.982398e-05
11510.596982 8.202688e-01 9.125185e-01 1.251808e+00 1.734623e-01 3.388111e-06 -7.314424e-05 1.252659e-05 9.634102e-05
11515.596982 8.190595e-01 9.131956e-01 1.252964e+00 1.742027e-01 7.780446e-06 -7.512364e-05 1.069842e-05 8.954230e-05
11520.596982 8.184698e-01 9.145333e-01 1.254554e+00 1.759140e-01 1.391207e-05 -7.519632e-05 5.981848e-06 9.389863e-05
11525.596982 8.167889e-01 9.146303e-01 1.252737e+00 1.776687e-01 1.557217e-05 -6.967092e-05 1.181232e-05 9.610090e-05
