# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270792
# UID: 5440ecae-1a63-41f0-9962-c72903b652e0
# Comment: Zn filter 3 um
# Start time: 10/18/2023  13:23:40
# Stop time: 10/18/2023  13:24:11
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.203582e-01 4.391475e-01 5.702339e-01 8.092931e-02 -6.360146e-06 -2.321049e-05 7.219198e-06 4.273210e-05
11385.425245 8.265447e-01 8.647993e-01 1.124640e+00 1.599440e-01 3.098541e-06 -3.847934e-05 1.281298e-05 7.574139e-05
11390.425245 8.321624e-01 8.726694e-01 1.137641e+00 1.606744e-01 3.464618e-06 -4.420190e-05 3.633949e-06 8.805605e-05
11395.425245 8.398542e-01 8.831838e-01 1.154399e+00 1.615331e-01 3.650975e-07 -4.165711e-05 7.334385e-06 8.194875e-05
11400.425245 8.384035e-01 8.837639e-01 1.158021e+00 1.620326e-01 -3.104069e-07 -3.134766e-05 6.444942e-06 7.730102e-05
11405.425245 8.362694e-01 8.836465e-01 1.160608e+00 1.621944e-01 -7.383893e-06 -3.557725e-05 1.226895e-05 7.775826e-05
11410.425245 8.335511e-01 8.829469e-01 1.162551e+00 1.619470e-01 -1.431289e-05 -3.533256e-05 1.594449e-05 6.462796e-05
11415.425245 8.260087e-01 8.770069e-01 1.157068e+00 1.606089e-01 -1.263919e-06 -4.147092e-05 1.179661e-05 5.965679e-05
11420.425245 8.248205e-01 8.777231e-01 1.160977e+00 1.611369e-01 1.053232e-05 -5.288308e-05 8.951709e-06 6.545317e-05
11425.425245 8.326757e-01 8.885209e-01 1.178805e+00 1.634737e-01 5.204466e-06 -4.916989e-05 1.844411e-05 7.124104e-05
