# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270793
# UID: 9af4cd48-757c-40df-8df8-bb28ac40c813
# Comment: Zn filter 3 um
# Start time: 10/18/2023  13:24:15
# Stop time: 10/18/2023  13:24:48
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.203324e-01 4.391566e-01 5.702356e-01 8.084732e-02 4.160222e-06 -1.956049e-05 1.772508e-05 4.652485e-05
11385.425245 8.265617e-01 8.649354e-01 1.124790e+00 1.597835e-01 1.671439e-05 -4.136497e-05 3.978449e-05 9.373428e-05
11390.425245 8.323583e-01 8.729781e-01 1.138134e+00 1.603299e-01 2.453621e-05 -3.357629e-05 3.984028e-05 9.205230e-05
11395.425245 8.402717e-01 8.837254e-01 1.155328e+00 1.612060e-01 2.538908e-05 -4.090347e-05 2.272479e-05 9.502251e-05
11400.425245 8.387314e-01 8.842506e-01 1.158706e+00 1.615540e-01 2.070020e-05 -4.644019e-05 4.317678e-05 9.470364e-05
11405.425245 8.366847e-01 8.841799e-01 1.161271e+00 1.620066e-01 2.343689e-05 -4.341737e-05 5.428111e-05 9.471317e-05
11410.425245 8.342037e-01 8.836254e-01 1.163406e+00 1.618607e-01 1.386247e-05 -4.627926e-05 4.435335e-05 9.784273e-05
11415.425245 8.258442e-01 8.767541e-01 1.157003e+00 1.603975e-01 1.836267e-05 -3.676250e-05 4.173252e-05 9.484383e-05
11420.425245 8.253309e-01 8.782623e-01 1.161743e+00 1.610887e-01 9.183339e-06 -3.423029e-05 4.206035e-05 9.143565e-05
11425.425245 8.329904e-01 8.888014e-01 1.179150e+00 1.629165e-01 1.519512e-05 -2.959615e-05 4.023925e-05 8.480446e-05
