# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270794
# UID: 77f1b26f-f69f-4f6e-8a60-232ef7fc2b2e
# Comment: Zn filter 3 um
# Start time: 10/18/2023  13:24:51
# Stop time: 10/18/2023  13:25:23
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.200384e-01 4.387606e-01 5.696791e-01 8.052076e-02 3.158301e-06 -2.506056e-05 1.758046e-05 4.369571e-05
11385.425245 8.254781e-01 8.635652e-01 1.122780e+00 1.591917e-01 3.557071e-06 -4.796179e-05 2.361805e-05 9.714506e-05
11390.425245 8.316595e-01 8.720414e-01 1.136659e+00 1.601372e-01 -2.224172e-06 -5.771543e-05 2.256310e-05 9.988160e-05
11395.425245 8.390397e-01 8.822219e-01 1.153016e+00 1.609457e-01 -9.772839e-06 -6.160432e-05 1.729856e-05 8.152005e-05
11400.425245 8.372518e-01 8.824404e-01 1.156111e+00 1.613353e-01 -9.972346e-06 -5.173690e-05 2.382179e-05 8.826351e-05
11405.425245 8.348495e-01 8.820494e-01 1.158293e+00 1.613379e-01 -3.878964e-06 -4.198044e-05 3.683170e-05 8.601373e-05
11410.425245 8.328944e-01 8.821740e-01 1.161161e+00 1.613976e-01 -1.400180e-06 -4.268990e-05 4.419091e-05 9.138203e-05
11415.425245 8.250904e-01 8.758657e-01 1.155541e+00 1.600231e-01 3.076695e-06 -3.526859e-05 3.475025e-05 8.899775e-05
11420.425245 8.244848e-01 8.772564e-01 1.160314e+00 1.606655e-01 9.435685e-07 -4.396533e-05 3.432780e-05 8.951282e-05
11425.425245 8.323917e-01 8.881252e-01 1.178136e+00 1.631571e-01 1.721203e-05 -4.022517e-05 3.842874e-05 7.732810e-05
11430.425245 8.325589e-01 8.903885e-01 1.184266e+00 1.636868e-01 1.672215e-05 -2.998522e-05 2.419707e-05 7.698594e-05
11435.425245 8.306232e-01 8.903248e-01 1.187063e+00 1.638633e-01 8.301421e-06 -3.402946e-05 3.658048e-05 8.923513e-05
11440.425245 8.293779e-01 8.912360e-01 1.190924e+00 1.641356e-01 9.623902e-06 -4.298263e-05 4.284222e-05 9.038396e-05
11445.425245 8.290958e-01 8.930650e-01 1.196247e+00 1.643361e-01 8.525553e-06 -4.404006e-05 4.444588e-05 9.062729e-05
11450.425245 8.278795e-01 8.938456e-01 1.200290e+00 1.645685e-01 2.068865e-05 -4.988030e-05 3.986726e-05 8.643043e-05
11455.425245 8.266922e-01 8.946574e-01 1.204300e+00 1.649178e-01 1.692141e-05 -4.469813e-05 4.450758e-05 8.730974e-05
11460.425245 8.257097e-01 8.957195e-01 1.208651e+00 1.653520e-01 1.560013e-05 -4.664414e-05 5.376784e-05 8.071730e-05
11465.425245 8.248882e-01 8.969959e-01 1.213138e+00 1.654533e-01 1.466151e-05 -5.395794e-05 4.216908e-05 7.398245e-05
11470.425245 8.238261e-01 8.979713e-01 1.217048e+00 1.662485e-01 1.070313e-05 -5.771456e-05 3.569838e-05 7.684916e-05
11475.425245 8.223073e-01 8.984990e-01 1.220261e+00 1.661487e-01 1.198318e-05 -5.426872e-05 3.534224e-05 7.618160e-05
11480.425245 8.215934e-01 8.998275e-01 1.224462e+00 1.665533e-01 1.085627e-05 -5.298298e-05 4.047967e-05 8.438090e-05
11485.425245 8.208683e-01 9.010937e-01 1.228683e+00 1.675879e-01 1.593848e-05 -5.050779e-05 3.910589e-05 7.838664e-05
11490.425245 8.201545e-01 9.023795e-01 1.232915e+00 1.681544e-01 2.098568e-05 -4.591833e-05 4.266868e-05 6.670511e-05
11495.425245 8.191946e-01 9.033967e-01 1.236279e+00 1.685702e-01 1.471059e-05 -4.764623e-05 4.274761e-05 7.515618e-05
11500.425245 8.178074e-01 9.039376e-01 1.238799e+00 1.692331e-01 8.853499e-06 -4.512214e-05 4.306903e-05 8.889247e-05
11505.425245 8.171069e-01 9.052776e-01 1.242088e+00 1.704259e-01 9.746242e-06 -5.887450e-05 3.869118e-05 8.488594e-05
11510.425245 8.158639e-01 9.059092e-01 1.243836e+00 1.713373e-01 2.121114e-05 -6.222487e-05 3.894205e-05 8.051769e-05
11515.425245 8.151968e-01 9.071495e-01 1.245946e+00 1.726445e-01 2.541578e-05 -6.230747e-05 3.600667e-05 8.153259e-05
11520.425245 8.145720e-01 9.084667e-01 1.247303e+00 1.740234e-01 2.028754e-05 -6.161307e-05 3.154489e-05 7.929835e-05
11525.425245 8.139590e-01 9.097806e-01 1.247302e+00 1.760919e-01 5.853189e-06 -4.843228e-05 3.030009e-05 8.252032e-05
11530.425245 8.128508e-01 9.103501e-01 1.244464e+00 1.779594e-01 7.898065e-06 -4.149590e-05 3.778960e-05 8.750721e-05
11534.000000 8.118132e-01 9.105344e-01 1.240266e+00 1.809856e-01 8.397855e-06 -3.559229e-05 2.923442e-05 8.661837e-05
11535.000000 8.114828e-01 9.104635e-01 1.238410e+00 1.816827e-01 -8.134836e-07 -3.266516e-05 3.466081e-05 8.068370e-05
11536.000000 8.120858e-01 9.114007e-01 1.238538e+00 1.820340e-01 -2.848160e-06 -4.453515e-05 4.810604e-05 8.154833e-05
11537.000000 8.121618e-01 9.118095e-01 1.236796e+00 1.832706e-01 5.348526e-06 -4.487239e-05 4.416961e-05 7.967668e-05
11538.000000 8.115362e-01 9.114442e-01 1.233890e+00 1.834354e-01 6.185007e-06 -3.135026e-05 3.558542e-05 8.594929e-05
