# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270795
# UID: 5379f2b5-388d-4f93-b13d-884b854dff20
# Comment: Zn filter 3 um
# Start time: 10/18/2023  13:25:26
# Stop time: 10/18/2023  13:25:59
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.195114e-01 4.381220e-01 5.690402e-01 8.038015e-02 -2.257626e-07 -2.285133e-05 1.829350e-05 4.549745e-05
11385.596982 8.242685e-01 8.621491e-01 1.121294e+00 1.588646e-01 -1.495073e-06 -4.881997e-05 3.762906e-05 8.608425e-05
11390.596982 8.310749e-01 8.712888e-01 1.135987e+00 1.595725e-01 3.370228e-06 -4.742731e-05 2.771344e-05 8.239318e-05
11395.596982 8.383400e-01 8.813670e-01 1.152365e+00 1.608612e-01 1.811469e-07 -4.335420e-05 2.897432e-05 7.933521e-05
11400.596982 8.364298e-01 8.814440e-01 1.155082e+00 1.612567e-01 8.255873e-06 -5.009519e-05 2.736598e-05 8.581928e-05
11405.596982 8.350049e-01 8.820561e-01 1.158727e+00 1.613351e-01 1.131752e-05 -5.588899e-05 3.633693e-05 8.455670e-05
11410.596982 8.318828e-01 8.807905e-01 1.159753e+00 1.610879e-01 1.491174e-05 -5.571429e-05 3.707394e-05 9.373993e-05
11415.596982 8.237303e-01 8.741507e-01 1.153711e+00 1.596822e-01 6.025669e-06 -5.504021e-05 3.895771e-05 8.988978e-05
11420.596982 8.237721e-01 8.762404e-01 1.159410e+00 1.601228e-01 4.912552e-06 -5.759169e-05 3.482523e-05 8.345094e-05
11425.596982 8.313120e-01 8.866655e-01 1.176339e+00 1.627476e-01 1.120381e-05 -5.838236e-05 4.256896e-05 8.498549e-05
11430.596982 8.326182e-01 8.902403e-01 1.184199e+00 1.635307e-01 1.387131e-05 -5.208882e-05 4.312962e-05 8.779803e-05
