# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270796
# UID: 2b9adc4a-2763-4104-bd05-d936003fa7a6
# Comment: Zn filter 3 um
# Start time: 10/18/2023  13:26:03
# Stop time: 10/18/2023  13:26:35
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.554047 4.196725e-01 4.383544e-01 5.693476e-01 8.044508e-02 9.783109e-06 -3.608051e-05 2.228934e-05 4.900395e-05
11385.554047 8.246080e-01 8.626065e-01 1.121921e+00 1.588112e-01 3.155570e-05 -8.141415e-05 5.638208e-05 9.849138e-05
11390.554047 8.308652e-01 8.711583e-01 1.135947e+00 1.593101e-01 4.244333e-05 -7.699670e-05 6.299872e-05 1.077278e-04
11395.554047 8.380026e-01 8.810489e-01 1.151928e+00 1.604555e-01 3.988641e-05 -7.433292e-05 5.301049e-05 1.009072e-04
11400.554047 8.363481e-01 8.814812e-01 1.155182e+00 1.608561e-01 3.085346e-05 -6.601269e-05 4.035451e-05 9.859274e-05
11405.554047 8.348795e-01 8.820506e-01 1.158808e+00 1.609968e-01 3.497093e-05 -5.850955e-05 3.124493e-05 1.038610e-04
11410.554047 8.318268e-01 8.809309e-01 1.159994e+00 1.608213e-01 3.542434e-05 -7.080521e-05 3.751239e-05 9.658352e-05
11415.554047 8.235006e-01 8.740488e-01 1.153391e+00 1.594144e-01 3.290754e-05 -6.907526e-05 3.130803e-05 1.072237e-04
11420.554047 8.236735e-01 8.762952e-01 1.159197e+00 1.601483e-01 2.780278e-05 -6.743119e-05 3.472901e-05 1.015069e-04
11425.554047 8.306441e-01 8.860421e-01 1.175382e+00 1.623183e-01 2.659424e-05 -6.549276e-05 3.214636e-05 9.857729e-05
11430.554047 8.313421e-01 8.890237e-01 1.182348e+00 1.628565e-01 2.320084e-05 -6.438261e-05 2.750254e-05 8.986225e-05
11435.554047 8.295268e-01 8.892344e-01 1.185587e+00 1.627712e-01 3.014630e-05 -6.721118e-05 3.146583e-05 9.177399e-05
11440.554047 8.286878e-01 8.904021e-01 1.190143e+00 1.628432e-01 3.744058e-05 -6.782517e-05 4.039127e-05 8.884446e-05
11445.554047 8.278571e-01 8.916417e-01 1.194698e+00 1.636507e-01 3.495091e-05 -7.634358e-05 4.847605e-05 9.170385e-05
11450.554047 8.262261e-01 8.920097e-01 1.197979e+00 1.636336e-01 2.575281e-05 -7.143969e-05 4.279788e-05 9.265965e-05
11455.554047 8.251541e-01 8.929225e-01 1.202068e+00 1.640616e-01 3.074203e-05 -5.929417e-05 2.905425e-05 9.655518e-05
11460.554047 8.237672e-01 8.935460e-01 1.205646e+00 1.646617e-01 4.504537e-05 -5.671430e-05 2.532589e-05 9.323481e-05
11465.554047 8.228255e-01 8.946906e-01 1.209925e+00 1.647401e-01 3.442159e-05 -5.616365e-05 3.319308e-05 9.277901e-05
11470.554047 8.220233e-01 8.959414e-01 1.214349e+00 1.653902e-01 2.493096e-05 -5.250794e-05 4.149460e-05 9.705608e-05
11475.554047 8.212451e-01 8.972052e-01 1.218554e+00 1.657842e-01 2.946495e-05 -4.738523e-05 3.637866e-05 1.011597e-04
11480.554047 8.211975e-01 8.992621e-01 1.223999e+00 1.663616e-01 2.428130e-05 -5.260535e-05 2.662247e-05 1.066876e-04
11485.554047 8.198744e-01 8.999022e-01 1.227282e+00 1.668388e-01 3.247486e-05 -5.325398e-05 2.595701e-05 1.015566e-04
11490.554047 8.188768e-01 9.008776e-01 1.231028e+00 1.677297e-01 3.420484e-05 -6.076455e-05 2.937105e-05 1.043278e-04
