# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 270798
# UID: d27c8f18-46d9-4d20-bfd4-08b7e2ea0e7f
# Comment: Zn filter 3 um
# Start time: 10/18/2023  13:27:13
# Stop time: 10/18/2023  13:27:45
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.22 mm Vertical: 15.30 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.209888e-01 4.394825e-01 5.708478e-01 8.051260e-02 1.106032e-05 -1.883980e-05 1.453530e-05 4.150538e-05
11385.596982 8.271539e-01 8.648480e-01 1.125006e+00 1.590612e-01 2.311448e-05 -3.120612e-05 3.110973e-05 8.599649e-05
11390.596982 8.338814e-01 8.739719e-01 1.139754e+00 1.599439e-01 3.157144e-05 -2.792686e-05 3.458663e-05 9.231952e-05
11395.596982 8.411689e-01 8.840551e-01 1.155952e+00 1.609942e-01 3.584735e-05 -2.999533e-05 3.726944e-05 8.776160e-05
11400.596982 8.391794e-01 8.841189e-01 1.158710e+00 1.612422e-01 2.692716e-05 -3.067320e-05 3.328327e-05 8.198482e-05
11405.596982 8.380478e-01 8.851601e-01 1.162951e+00 1.612276e-01 2.624773e-05 -2.684406e-05 3.477843e-05 8.121716e-05
11410.596982 8.350384e-01 8.840807e-01 1.164389e+00 1.611226e-01 3.219161e-05 -3.742962e-05 3.755128e-05 7.391257e-05
11415.596982 8.266269e-01 8.771514e-01 1.157731e+00 1.601406e-01 3.246248e-05 -3.617036e-05 4.340603e-05 8.038907e-05
11420.596982 8.266594e-01 8.792443e-01 1.163401e+00 1.606088e-01 3.509610e-05 -3.177876e-05 4.338685e-05 8.495873e-05
11425.596982 8.338612e-01 8.892441e-01 1.179983e+00 1.625128e-01 3.652658e-05 -3.217992e-05 4.809473e-05 7.680782e-05
11430.596982 8.351165e-01 8.927775e-01 1.187796e+00 1.633387e-01 3.799925e-05 -4.491820e-05 5.111933e-05 8.642391e-05
11435.596982 8.329977e-01 8.925778e-01 1.190460e+00 1.633152e-01 3.949673e-05 -4.581204e-05 5.670358e-05 9.379843e-05
11440.596982 8.314096e-01 8.930391e-01 1.193963e+00 1.635365e-01 3.625431e-05 -3.879052e-05 4.736770e-05 8.669973e-05
11445.596982 8.303308e-01 8.940277e-01 1.197955e+00 1.637264e-01 3.214737e-05 -2.708308e-05 4.285278e-05 8.404763e-05
11450.596982 8.302715e-01 8.962239e-01 1.203819e+00 1.647101e-01 3.508808e-05 -2.245323e-05 4.342903e-05 8.376753e-05
11455.596982 8.287174e-01 8.966270e-01 1.207353e+00 1.644296e-01 2.210653e-05 -2.134200e-05 3.259307e-05 6.393886e-05
11460.596982 8.275083e-01 8.974805e-01 1.211380e+00 1.646307e-01 2.467082e-05 -1.366116e-05 4.418658e-05 6.075502e-05
11465.596982 8.264881e-01 8.986302e-01 1.215393e+00 1.652823e-01 2.273746e-05 -8.608441e-06 5.380245e-05 7.526034e-05
11470.596982 8.250104e-01 8.990835e-01 1.218895e+00 1.654130e-01 2.683094e-05 -8.456121e-06 4.709861e-05 7.768331e-05
11475.596982 8.245077e-01 9.006637e-01 1.223809e+00 1.657574e-01 3.120478e-05 -8.130345e-06 5.234932e-05 7.557989e-05
11480.596982 8.243345e-01 9.026513e-01 1.229131e+00 1.664316e-01 4.001203e-05 -1.000907e-05 4.985659e-05 7.556532e-05
11485.596982 8.230132e-01 9.032732e-01 1.232536e+00 1.672350e-01 4.143242e-05 -1.840359e-05 3.717785e-05 7.198324e-05
11490.596982 8.216960e-01 9.039462e-01 1.235720e+00 1.673686e-01 4.203578e-05 -1.940346e-05 2.890357e-05 6.157990e-05
11495.596982 8.207457e-01 9.049790e-01 1.239237e+00 1.678313e-01 3.579644e-05 -3.324133e-05 3.965719e-05 7.071273e-05
11500.596982 8.201900e-01 9.064982e-01 1.242930e+00 1.691194e-01 3.674906e-05 -3.917210e-05 3.246415e-05 7.388218e-05
11505.596982 8.191293e-01 9.073620e-01 1.245488e+00 1.699283e-01 3.943062e-05 -3.897694e-05 2.775577e-05 6.120613e-05
11510.596982 8.175551e-01 9.076314e-01 1.246801e+00 1.707097e-01 2.533964e-05 -3.454000e-05 1.931235e-05 6.070182e-05
11515.596982 8.169917e-01 9.090360e-01 1.249078e+00 1.721110e-01 1.069772e-05 -3.082079e-05 3.219104e-05 6.579190e-05
11520.596982 8.168486e-01 9.109452e-01 1.251230e+00 1.736385e-01 1.627766e-05 -2.718905e-05 3.739487e-05 6.142110e-05
11525.596982 8.164841e-01 9.125009e-01 1.251826e+00 1.761090e-01 2.295728e-05 -3.331775e-05 5.056575e-05 7.193050e-05
11530.596982 8.144389e-01 9.119905e-01 1.247418e+00 1.781611e-01 1.837500e-05 -3.989548e-05 5.148963e-05 8.184877e-05
11534.000000 8.141888e-01 9.129834e-01 1.244535e+00 1.797068e-01 2.241655e-05 -4.822385e-05 4.472976e-05 7.660774e-05
11535.000000 8.142294e-01 9.133729e-01 1.243483e+00 1.803223e-01 3.526065e-05 -4.759070e-05 3.894550e-05 6.407991e-05
11536.000000 8.137344e-01 9.131680e-01 1.241526e+00 1.826371e-01 3.536639e-05 -3.622535e-05 4.737602e-05 7.595985e-05
11537.000000 8.127290e-01 9.122474e-01 1.238346e+00 1.824885e-01 2.623912e-05 -4.065242e-05 4.004357e-05 7.162091e-05
11538.000000 8.128710e-01 9.127158e-01 1.236758e+00 1.831684e-01 2.107002e-05 -3.849251e-05 2.609648e-05 6.682482e-05
